numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Chair salée,Marseille,Hollande,150,livres,"0,15",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Canelle,Marseille,Hollande,673,livres,4,
3,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Epicerie douce,Marseille,Hollande,353,livres,5,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Geroffle,Marseille,Hollande,1407,livres,6,
5,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Garans fort,Marseille,Hollande,4660,en nombre,"0,015",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Muscade,Marseille,Hollande,517,livres,6,
7,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Poivre,Marseille,Hollande,90350,livres,"0,55",
8,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Saumon salé,Marseille,Hollande,105,barils,40,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Saumon salé,Marseille,Hollande,39565,livres,"0,1",
10,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Sperme de baleine,Marseille,Hollande,12,livres,5,
11,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Argent vif,Marseille,Hollande,280,livres,"3,75",
12,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Azur fin,Marseille,Hollande,13,livres,"0,45",
13,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Azur commun,Marseille,Hollande,1200,livres,"0,3",
14,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Amidon,Marseille,Hollande,7650,livres,"0,12",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Arcenic,Marseille,Hollande,25,livres,"0,12","Erreur dans la source, oubli de la division par 100"
16,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Acier,Marseille,Hollande,300,livres,"0,2",
