numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,Unité de poids/quantité,prix_unitaire,value,probleme,remarks
24,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Ceruse,Marseille,Hollande,"4 650,00",livres,"0,1800000","837,00","0,00",
25,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Couperose verte,Marseille,Hollande,"18 800,00",livres,"0,0600000","1128,00","0,00",
26,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Crin,Marseille,Hollande,"3 233,00",livres,"0,3000000","969,90","0,00",
27,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Charbon de terre,Marseille,Hollande,"280,00",barils,"1,5000000","420,00","0,00",
28,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Charbon de terre,Marseille,Hollande,"96,00",mesures,"0,2500000","24,00","0,00",
29,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Etain en bloc,Marseille,Hollande,"515,00",livres,"0,6500000","334,75","0,00",
30,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Etain de glace,Marseille,Hollande,"300,00",livres,"0,9000000","270,00","0,00",
31,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Fil cru,Marseille,Hollande,"175,00",livres,"1,5000000","262,50","0,00",
32,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Fayence,Marseille,Hollande,"42,00",livres,"0,2000000","8,40","0,00",
33,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Fer en plaques,Marseille,Hollande,"600,00",livres,"0,2400000","144,00","0,00",
34,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Fer en barres,Marseille,Hollande,"850,00",livres,"0,1500000","128,00","0,50",
35,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Garence,Marseille,Hollande,"6 450,00",livres,"0,4000000","2580,00","0,00",
36,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Gomme elemi,Marseille,Hollande,"21,00",livres,"1,5000000","31,50","0,00",
37,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Huille de poisson,Marseille,Hollande,"650,00",livres,"0,6000000","390,00","0,00",
38,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Moulins a caffé,Marseille,Hollande,"6,00",pièces,"6,0000000","36,00","0,00",
39,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Noir de fumée,Marseille,Hollande,"185,00",livres,"0,6000000","111,00","0,00",
40,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Plomb en saumon,Marseille,Hollande,"216 880,00",livres,"0,1500000","32532,00","0,00",
41,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Pipes a fumer,Marseille,Hollande,"703,00",grosses,"3,0000000","2109,00","0,00",
42,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Vermillon,Marseille,Hollande,"9,00",livres,"2,2500000","20,25","0,00",
