numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,azur fin,Hollande,6,6,livres,1,0,
2,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,azur commun,Hollande,1152,1920,livres,0.6,0,
3,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,amidon,Hollande,15,75,livres,0.2,0,en quintal
4,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,argent vif,Hollande,250,50,livres,5,0,
5,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,acier,Hollande,211,660,livres,0.32,-0.200000000000017,en quintal
6,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,arcenic,Hollande,335,1675,livres,0.2,0,
7,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,antimoine cru,Hollande,500,50,livres,10,0,
8,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,beurre,Hollande,1518,6075,livres,0.25,-0.75,en quintal
9,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,bas de coton,Hollande,144,36,paires,4,0,
10,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,baleine coupée,Hollande,2820,940,livres,3,0,
11,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,Local,1733,Import,Marseille,1,bois de chesne pour construction,Hollande,544,136,pièces,4,0,
