numrodeligne,dataentryby,source,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Remarques
1,Hasna,CCI Marseille - I 29,1,1741,Import,Arcenic,Marseille,Hollande,"900,00",livres,"0,3000000","270,00","0,00",
2,Hasna,CCI Marseille - I 29,1,1741,Import,Agaric,Marseille,Hollande,"500,00",livres,"2,2500000","1125,00","0,00",
3,Hasna,CCI Marseille - I 29,1,1741,Import,Alun,Marseille,Hollande,"1 300,00",livres,"0,1700000","221,00","0,00",
4,Hasna,CCI Marseille - I 29,1,1741,Import,Azur fin,Marseille,Hollande,"2 500,00",livres,"5,0000000","12500,00","0,00",
5,Hasna,CCI Marseille - I 29,1,1741,Import,Azur commun,Marseille,Hollande,"2 300,00",livres,"0,6000000","1380,00","0,00",
6,Hasna,CCI Marseille - I 29,1,1741,Import,Amidon,Marseille,Hollande,"4 505,00",livres,"0,2000000","901,00","0,00",
7,Hasna,CCI Marseille - I 29,1,1741,Import,Ambre jaune,Marseille,Hollande,"250,00",livres,"2,5000000","625,00","0,00",
8,Hasna,CCI Marseille - I 29,1,1741,Import,Argent vif,Marseille,Hollande,"1 150,00",livres,"5,0000000","5750,00","0,00",
9,Hasna,CCI Marseille - I 29,1,1741,Import,Arquifou,Marseille,Hollande,"16 800,00",livres,"0,1500000","2520,00","0,00",
10,Hasna,CCI Marseille - I 29,1,1741,Import,Ancres de fer,Marseille,Hollande,"6 500,00",livres,"0,2000000","1300,00","0,00",
11,Hasna,CCI Marseille - I 29,1,1741,Import,Beurre,Marseille,Hollande,"22 000,00",livres,"0,2500000","5500,00","0,00",
12,Hasna,CCI Marseille - I 29,1,1741,Import,Biere,Marseille,Hollande,"7,00",barriques,"21,0000000","147,00","0,00",
13,Hasna,CCI Marseille - I 29,1,1741,Import,Biere,Marseille,Hollande,"103 900,00",livres,"0,0500000","5195,00","0,00",
14,Hasna,CCI Marseille - I 29,1,1741,Import,Benjoin,Marseille,Hollande,"750,00",livres,"6,0000000","4500,00","0,00",
15,Hasna,CCI Marseille - I 29,1,1741,Import,Baume,Marseille,Hollande,"300,00",livres,"5,0000000","1500,00","0,00",
16,Hasna,CCI Marseille - I 29,1,1741,Import,Borax,Marseille,Hollande,"300,00",livres,"1,0000000","300,00","0,00",
17,Hasna,CCI Marseille - I 29,1,1741,Import,Bas de fil,Marseille,Hollande,"150,00",livres,"5,0000000","750,00","0,00",
18,Hasna,CCI Marseille - I 29,1,1741,Import,Baleine coupée,Marseille,Hollande,"21 680,00",livres,"4,7500000","102980,00","0,00",
19,Hasna,CCI Marseille - I 29,2,1741,Import,Bois de campech,Marseille,Hollande,"496 675,00",livres,"0,1500000","74501,00","-0,25",arrondi
20,Hasna,CCI Marseille - I 29,2,1741,Import,Bois de Brezil,Marseille,Hollande,"201 350,00",livres,"0,2500000","40270,00","-10 067,50",erreur de calcul
21,Hasna,CCI Marseille - I 29,2,1741,Import,Bois de caliatour,Marseille,Hollande,"7 200,00",livres,"0,2000000","1440,00","0,00",
22,Hasna,CCI Marseille - I 29,2,1741,Import,Bois de sandal moulu,Marseille,Hollande,"6 650,00",livres,"0,2500000","1662,00","-0,50",
23,Hasna,CCI Marseille - I 29,2,1741,Import,Bois jaune,Marseille,Hollande,"15 000,00",livres,"0,1200000","1800,00","0,00",
24,Hasna,CCI Marseille - I 29,2,1741,Import,Bois a teindre,Marseille,Hollande,"15 500,00",livres,"0,1250000","1937,00","-0,50",
25,Hasna,CCI Marseille - I 29,2,1741,Import,Bois pour mature,Marseille,Hollande,"126,00",douzaines,"100,0000000","12600,00","0,00",
26,Hasna,CCI Marseille - I 29,2,1741,Import,Boulets de canon,Marseille,Hollande,"7 200,00",livres,"0,1200000","864,00","0,00",
27,Hasna,CCI Marseille - I 29,2,1741,Import,Chocolat,Marseille,Hollande,"150,00",livres,"3,0000000","450,00","0,00",
28,Hasna,CCI Marseille - I 29,2,1741,Import,Cacao,Marseille,Hollande,"48 190,00",livres,"1,3000000","62647,00","0,00",
29,Hasna,CCI Marseille - I 29,2,1741,Import,Canelle,Marseille,Hollande,"25 200,00",livres,"6,0000000","151200,00","0,00",
30,Hasna,CCI Marseille - I 29,2,1741,Import,Cochenille,Marseille,Hollande,"700,00",livres,"20,0000000","14000,00","0,00",
31,Hasna,CCI Marseille - I 29,2,1741,Import,Cinabrium,Marseille,Hollande,"5 850,00",livres,"5,0000000","29250,00","0,00",
32,Hasna,CCI Marseille - I 29,2,1741,Import,Cassialignea,Marseille,Hollande,"250,00",livres,"2,0000000","500,00","0,00",
33,Hasna,CCI Marseille - I 29,2,1741,Import,Contrahierva,Marseille,Hollande,"250,00",livres,"1,5000000","375,00","0,00",
34,Hasna,CCI Marseille - I 29,2,1741,Import,Cantarides,Marseille,Hollande,"300,00",livres,"4,0000000","1200,00","0,00",
35,Hasna,CCI Marseille - I 29,2,1741,Import,Cinabre,Marseille,Hollande,"3 600,00",livres,"0,4000000","1440,00","0,00",
36,Hasna,CCI Marseille - I 29,2,1741,Import,Ceruse,Marseille,Hollande,"37 600,00",livres,"0,2000000","7520,00","0,00",
37,Hasna,CCI Marseille - I 29,2,1741,Import,Couperoze verte,Marseille,Hollande,"47 250,00",livres,"0,0900000","4252,00","-0,50",
38,Hasna,CCI Marseille - I 29,2,1741,Import,Cire blanche,Marseille,Hollande,"200,00",livres,"1,5000000","300,00","0,00",
39,Hasna,CCI Marseille - I 29,2,1741,Import,Cole forte,Marseille,Hollande,"63 400,00",livres,"0,4000000","25360,00","0,00",
40,Hasna,CCI Marseille - I 29,2,1741,Import,Cole de poisson,Marseille,Hollande,"500,00",livres,"3,0000000","1500,00","0,00",
41,Hasna,CCI Marseille - I 29,2,1741,Import,Crin de cheval,Marseille,Hollande,"1 900,00",livres,"0,6000000","1140,00","0,00",
42,Hasna,CCI Marseille - I 29,2,1741,Import,Chanvre cru,Marseille,Hollande,"126 400,00",livres,"0,1700000","21488,00","0,00",
43,Hasna,CCI Marseille - I 29,2,1741,Import,Cordages de chanvre,Marseille,Hollande,"423,00",livres,"0,3000000","126,00","-0,90",
44,Hasna,CCI Marseille - I 29,2,1741,Import,Cuirs en poil,Marseille,Hollande,"20,00",nombre,"18,0000000","360,00","0,00",
45,Hasna,CCI Marseille - I 29,2,1741,Import,Couteaux communs,Marseille,Hollande,"502,50",grosses,"30,0000000","15075,00","0,00",
46,Hasna,CCI Marseille - I 29,2,1741,Import,Couteaux communs,Marseille,Hollande,"400,00",livres,"0,2500000","100,00","0,00",
47,Hasna,CCI Marseille - I 29,2,1741,Import,Cuivre neuf,Marseille,Hollande,"13 275,00",livres,"1,5000000","19912,00","-0,50",
48,Hasna,CCI Marseille - I 29,2,1741,Import,Clous de fer,Marseille,Hollande,"12 500,00",livres,"0,2000000","2500,00","0,00",
