numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
13,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,bois d'Inde,Hollande,794,3970,livres,"0,2",0,
14,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,chair salée,Hollande,609,3585,livres,"0,17","-0,45",en quintal
15,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,canelle,Hollande,7386,1231,livres,6,0,
16,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,cinabre,Hollande,402,134,livres,3,0,
17,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,ceruze,Hollande,1127,5635,livres,"0,2","0,2",arrondi
18,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,couperose,Hollande,8,200,livres,"0,04",0,en quintal
19,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,colle forte,Hollande,1458,3645,livres,"0,4",0,
20,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,colle commune,Hollande,1670,4175,livres,"0,4",0,
21,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,colle de poisson,Hollande,524,131,livres,4,0,
22,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,crin de cheval,Hollande,174,290,livres,"0,6",0,
23,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,cuir de roussy,Hollande,260,13,pièces,20,0,
24,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,cuir de roussy,Hollande,900,1000,livres,"0,9",0,
25,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,cuivre ouvré,Hollande,481,301,livres,"1,6","-0,6",
26,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,cuivre en planches,Hollande,21121,14081,livres,"1,5","-0,5",
27,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,corne de cerf,Hollande,39,130,livres,"0,3",0,en quintal
28,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,creusets de terre,Hollande,27,550,pièces,"0,05","-0,5",
29,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,charbon de terre,Hollande,34,3420,livres,"0,01","-0,2",en quintal
30,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,epicerie,Hollande,423,"141,5",livres,3,0,
31,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,eau forte,Hollande,37,37,livres,1,0,
32,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,emery,Hollande,108,1815,livres,"0,06","-0,9",en quintal
33,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,etain neuf,Hollande,2831,2574,livres,"1,1","-0,4",
34,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,fromage,Hollande,12,40,livres,"0,3",0,
35,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,fil blanc,Hollande,51462,10585,livres,"2,5","-0,5",
36,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,fil de fer,Hollande,100,200,livres,"0,5",0,
37,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,fer en poisles,Hollande,268,670,livres,"0,4",0,
38,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,fer en plaques,Hollande,149,1495,livres,"0,1","-0,5",
39,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,fayence,Hollande,615,820,livres,"0,75",0,
40,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,geroffle,Hollande,15968,1996,livres,8,0,
41,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,garance,Hollande,3544,8860,livres,"0,4",0,
42,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,harans sors,Hollande,5200,208,barrils,25,0,
43,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,harans sors,Hollande,8706,217650,pièces,"0,04",0,en quintal
44,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,huille de poisson,Hollande,2,16,livres,"0,16","-0,54",en quintal
45,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,litarge,Hollande,389,1947,livres,"0,2","-0,4",en quintal
46,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,latton neuf,Hollande,98,70,livres,"1,4",0,
47,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,muscade,Hollande,1216,152,livres,8,0,
48,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,miny,Hollande,129,1080,livres,"0,12","-0,6",en quintal
49,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,moulins à caffé,Hollande,100,25,pièces,4,0,
50,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,noir de fumée,Hollande,8,20,livres,"0,4",0,
51,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,orpiment,Hollande,65,65,livres,1,0,
52,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,poivre,Hollande,133520,"133520,5",livres,1,0,
53,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,poivre en grabeau,Hollande,1145,2290,livres,"0,5",0,
54,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,poil de lievre,Hollande,3900,1300,livres,3,0,
55,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,plomb en saumon,Hollande,51636,322730,livres,"0,16","-0,8",en quintal
56,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,pipes à fumer,Hollande,1236,"412,5",grosses,3,0,
57,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,quincaille de fer,Hollande,375,750,livres,"0,5",0,
58,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,saumon salé,Hollande,2232,9300,livres,"0,24",0,en quintal
59,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,sandal,Hollande,1500,6000,livres,"0,25",0,
60,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,2,verres cristalins,Hollande,184,92,livres,2,0,
61,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,anchois,Espagne,1200,200,barrils,6,0,
62,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,anis vert,Espagne,1880,12535,livres,"0,15","-0,25",en quintal
63,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,ails,Espagne,69,1735,livres,"0,04","-0,4",en quintal
64,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,aristoloche,Espagne,22,150,livres,"0,15","-0,5",en quintal
65,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,arquifou,Espagne,24305,270060,livres,"0,09","-0,4",en quintal
66,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,auf,Espagne,43800,547500,livres,"0,08",0,en quintal
67,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,brun rouge,Espagne,225,7500,livres,"0,03",0,en quintal
68,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,bois de reglisse,Espagne,1875,18750,livres,"0,1",0,
69,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,bois à tonneaux,Espagne,20,5,canelles,4,0,
70,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,balais de palme,Espagne,3132,3780,douzaines,"0,9",0,
71,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,cochenlle fine,Espagne,410184,22788,livres,18,0,
72,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,cochenille silvestre,Espagne,6296,787,livres,8,0,
73,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,cochenille en grabeau,Espagne,56016,6224,livres,9,0,
74,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,cumin,Espagne,611,3820,livres,"0,16","-0,2",en quintal
75,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,cordes d'auf,Espagne,"393,03",3280,livres,"0,12","-0,57",en quintal
76,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,cabas de palme,Espagne,"77,07",31,douzaines,"2,5","-0,43",arrondi
77,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,eau de roze,Espagne,4,44,livres,"0,1","-0,4",arrondi
78,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,fer en barres,Espagne,324,2700,livres,"0,12",0,en quintal
79,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,jalap,Espagne,6578,3289,livres,2,0,
80,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,jonquine,Espagne,1564,19550,livres,"0,08",0,en quintal
81,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,laine lavée,Espagne,151866,138060,livres,"1,1",0,
82,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,laine demi lavée,Espagne,3325,4750,livres,"0,7",0,
83,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,liege en planches,Espagne,2023,20230,livres,"0,1",0,
84,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,mouchoirs de soye,Espagne,192,8,douz,24,0,
85,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,noisettes,Espagne,895,17900,livres,"0,05",0,en quintal
86,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,ouvrage de soye,Espagne,320,8,onces,40,0,
87,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,os de seché,Espagne,320,800,livres,"0,4",0,en quintal
88,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,pignons cassés,Espagne,66,330,livres,"0,2",0,
89,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,quinquina,Espagne,4532,1295,livres,"3,5","-0,5",arrondi
90,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1738.csv,Local,1738,Imports,Marseille,3,rusque de pin,Espagne,102,1700,livres,"0,06",0,en quintal
