numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks
1,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,argent vif,Hollande,435,87,livres,5,0,
2,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,azur commun,Hollande,435,725,livres,0.6,0,
3,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,amidon,Hollande,6.8,34,livres,0.2,0,
4,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,acier,Hollande,205,1525,livres,0.2,-100,erreur de calcul
5,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,arcenic,Hollande,4500,750,livres,6,0,
6,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,beure salé,Hollande,563,2500,livres,0.35,-312,erreur de calcul
7,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,bierre,Hollande,490,7,barriques,70,0,
8,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,baleine coupée,Hollande,933.25,3733,livres,0.25,0,en quintal
9,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,bas de coton,Hollande,6,6,paires,0,0,marchandises en estimation
10,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,chair salée,Hollande,671.25,4473,livres,0.15,0.300000000000068,"en quintal, arrondi"
11,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,canelle,Hollande,4020,670,livres,6,0,
12,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,cuire de russy,Hollande,2515.2,3144,livres,0.8,0,
13,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,1,crin,Hollande,385.5,514,livres,0.75,0,
14,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,cabarets vernis,Hollande,52,13,pièces,4,0,
15,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,cuivre ouvré,Hollande,520,325,livres,1.6,0,
16,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,cuivre en planches,Hollande,4795.5,3197,livres,1.5,0,
17,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,canavettes vuides,Hollande,182,182,pièces,1,0,
18,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,corne de cerf,Hollande,321.25,1285,livres,0.25,0,
19,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,colle de poisson,Hollande,170,34,livres,5,0,
20,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,colle commune,Hollande,1472,3680,livres,0.4,0,
21,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,ceruse,Hollande,1044,8700,livres,0.12,0,en quintal
22,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,couperose verte,Hollande,1440,28800,livres,0.05,0,en quintal
23,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,charbon de terre,Hollande,1481.25,1185,barils,1.25,0,
24,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,charbon de terre,Hollande,9.25,95,quintaux,0.01,8.3,arrondi
25,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,epicerie fine,Hollande,1378,344.5,livres,4,0,344 livres et 1/2
26,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,etain,Hollande,134,134,livres,1,0,
27,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,fayence,Hollande,108,720,livres,0.15,0,en quintal
28,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,geroffle,Hollande,8080,1010,livres,8,0,
29,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,garance,Hollande,1812.6,5035,livres,0.36,0,en quintal
30,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,harans,Hollande,5050,202,barils,25,0,
31,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,harans,Hollande,64.05,4300,pièces,0.015,-0.450000000000003,en millier
32,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,litarge,Hollande,72,600,livres,0.12,0,en quintal
33,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,muscade,Hollande,744,93,livres,8,0,
34,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,mercerie grossiere,Hollande,447,447,livres,1,0,
35,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,miny,Hollande,38.25,255,livres,0.15,0,en quintal
36,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,moulins à caffé,Hollande,60,10,pièces,6,0,
37,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,noir de fumée,Hollande,54,135,livres,0.4,0,
38,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,poivre,Hollande,178860,178860,livres,1,0,
39,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,plumes à écrire,Hollande,1260,420,livres,3,0,
40,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,poil de sanglier,Hollande,12,24,livres,0.5,0,
41,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,plomb en saumon,Hollande,33757,241123,livres,0.14,-0.220000000001164,en quintal
42,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,pipes à fumer,Hollande,3102,1128,grosses,2.75,0,1128 grosses à 55 sous la grosse
43,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,poterie de gray,Hollande,125.8,6290,livres,0.02,0,en quintal
44,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,ruban de fil,Hollande,42.025,42,livres,1,0.0249999999999986,arrondi
45,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,saumon salé,Hollande,400,10,barils,40,0,
46,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,saumon salé,Hollande,1249.05,8330,livres,0.15,-0.450000000000046,en quintal
47,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,vermillon,Hollande,100,20,livres,5,0,
48,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,verre cristalin,Hollande,166,83,livres,2,0,
49,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,anchoix,Espagne,1440,360,barils,4,0,
