numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Argent vif,Marseille,Hollande,263,livres,"2,5","657,5",0,
2,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Acier,Marseille,Hollande,1715,livres,"0,22","377,3",0,
3,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Ambre jaune,Marseille,Hollande,20,livres,"1,25",25,0,
4,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Azur fin,Marseille,Hollande,8,livres,"0,75",6,0,
5,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Azur commun,Marseille,Hollande,1170,livres,"0,4",468,0,
6,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Amidon,Marseille,Hollande,5425,livres,"0,14","759,5",0,
7,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Antimoine cru,Marseille,Hollande,2325,livres,"0,1","232,5",0,
8,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Baleine coupée,Marseille,Hollande,380,livres,"2,25",855,0,
9,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Chair salée,Marseille,Hollande,1400,livres,"0,2",280,0,
10,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Canelle,Marseille,Hollande,2064,livres,"3,5",7224,0,
11,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,1,1728,Imports,Cuir de roussy,Marseille,Hollande,55,livres,"0,9","49,5",0,
12,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Crin,Marseille,Hollande,6385,livres,"0,24","1532,4",0,
13,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Colle de poisson,Marseille,Hollande,120,livres,6,720,0,
14,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Colle forte,Marseille,Hollande,880,livres,"0,35",308,0,
15,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Ceruze,Marseille,Hollande,665,livres,"0,15","99,75",0,
16,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Couperose verte,Marseille,Hollande,22600,livres,"0,05",1130,0,
17,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Cuivre neuf,Marseille,Hollande,10410,livres,1,10410,0,
18,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Canne amarin,Marseille,Hollande,30,livres,10,300,0,
19,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Epicerie,Marseille,Hollande,154,livres,5,770,0,
20,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Etain,Marseille,Hollande,282,livres,"0,78","219,96",0,
21,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Fil de fer,Marseille,Hollande,10,livres,"0,3",3,0,
22,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Fayence,Marseille,Hollande,80,livres,"0,4",32,0,
23,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Geroffle,Marseille,Hollande,2937,livres,"6,5","19090,5",0,
24,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Garance,Marseille,Hollande,9065,livres,"0,45","4079,25",0,
25,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Laton,Marseille,Hollande,50,livres,"0,8",40,0,
26,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Muscade,Marseille,Hollande,821,livres,8,6568,0,
27,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Morue,Marseille,Hollande,4575,livres,"0,15","686,25",0,
28,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Noir de fumée,Marseille,Hollande,35,livres,"0,36","12,6",0,
29,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Poivre noir,Marseille,Hollande,148855,livres,"0,9","133969,5",0,
30,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Plomb en saumon,Marseille,Hollande,192900,livres,"0,15",28935,0,
31,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Plaques de cheminée,Marseille,Hollande,280,livres,"0,12","33,6",0,
32,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Pipes a fumer,Marseille,Hollande,576,grosses,"2,5",1440,0,
33,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Plumes a escrire,Marseille,Hollande,42,livres,3,126,0,
34,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Saumon salé,Marseille,Hollande,762,livres,"0,25","190,5",0,
35,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Tables d'ardoise,Marseille,Hollande,12,en nombre,5,60,0,
36,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Vermillon,Marseille,Hollande,5,livres,6,30,0,
37,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Crin,Marseille,Angleterre,170,livres,"0,24","40,8",0,
38,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Corne a lanterne,Marseille,Angleterre,42,livres,3,126,0,
39,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Couperose,Marseille,Angleterre,335,livres,"0,05","16,75",0,
40,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Charbon de terre,Marseille,Angleterre,608,barrils,"1,75",1064,0,
41,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Charbon de terre,Marseille,Angleterre,2150,livres,"0,025","53,75",0,
42,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Etain,Marseille,Angleterre,1015,livres,1,1015,0,
43,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Saumon salé,Marseille,Angleterre,8,barrils,50,400,0,
44,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Saumon salé,Marseille,Angleterre,22100,livres,"0,25",5525,0,
45,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1728.csv,Local,2,1728,Imports,Suif,Marseille,Angleterre,415,livres,"0,2",83,0,
