numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,unit_price,value,probleme,remarks
1,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,acier,Marseille,Hollande,"8 500,00",livres,"0,35000","2975,00","0,00",
2,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,amandes cassées,Marseille,Hollande,"23 500,00",livres,"0,20000","4700,00","0,00",
3,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,amidon,Marseille,Hollande,"4 000,00",livres,"0,20000","800,00","0,00",
4,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,ancre de fer,Marseille,Hollande,"56 100,00",livres,"0,20000","11220,00","0,00",
5,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,arquifou,Marseille,Hollande,"5 075,00",livres,"0,15000","761,00","-0,25",
6,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,arsenic,Marseille,Hollande,"7 760,00",livres,"0,30000","2328,00","0,00",
7,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,avoine,Marseille,Hollande,"1 843,00",charges,"10,00000","18430,00","0,00",
8,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,azur commun,Marseille,Hollande,"2 500,00",livres,"0,60000","1500,00","0,00",
9,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,baleine coupée,Marseille,Hollande,"12 250,00",livres,"4,75000","58187,00","-0,50",
10,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,benjoin,Marseille,Hollande,"250,00",livres,"6,00000","1500,00","0,00",
11,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,beurre,Marseille,Hollande,"45 120,00",livres,"0,30000","13536,00","0,00",
12,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bierre,Marseille,Hollande,"125 000,00",livres,"0,05000","6250,00","0,00",
13,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,blés froments,Marseille,Hollande,"27 273,00",charges,"18,00000","490914,00","0,00",
14,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bois de Brezil,Marseille,Hollande,"354 000,00",livres,"0,25000","88500,00","0,00",
15,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bois de calliatour,Marseille,Hollande,"3 000,00",livres,"0,15000","450,00","0,00",
