numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks
1,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,azur commun,Hollande,504,840,livres,0.6,0,
2,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,arcenic,Hollande,85.5,475,livres,0.18,0,en quintal
3,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,acier,Hollande,66,300,livres,0.22,0,en quintal
4,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,bas de coton,Hollande,255,612,pièces,0.416666666666666,3.97903932025656E-13,
5,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,baleine coupée,Hollande,3286,1643,livres,2,0,
6,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,chair salée,Hollande,714,4200,livres,0.17,0,en quintal
7,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,canelle,Hollande,8970,1495,livres,6,0,
8,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,cuir de roussy,Hollande,1256,1570,livres,0.8,0,
9,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,colle de poisson,Hollande,1175,235,livres,5,0,
10,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,colle commnue,Hollande,1320,3300,livres,0.4,0,
11,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,ceruze,Hollande,363.75,2425,livres,0.15,0,
12,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,couperose verte,Hollande,700,14000,livres,0.05,0,en quintal
13,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,cuivre en planche,Hollande,16839,11226,livres,1.5,0,
14,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,1,canevettes vuide,Hollande,30,30,pièces,1,0,
15,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,cabarets vernis,Hollande,120,40,pièces,3,0,
16,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,charbon de terre,Hollande,201,134,barils,1.5,0,
17,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,charbon de terre,Hollande,1.15,163,quintaux,0.8,-129.25,en quintal
18,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,epicerie fine,Hollande,884,221,livres,4,0,
19,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,fromage,Hollande,285,2375,livres,0.12,0,en quintal
20,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,fayence,Hollande,231.25,925,livres,0.25,0,
21,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,fer en plaques,Hollande,493.75,1975,livres,0.25,0,en quintal
