numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,unit_price,value,probleme,remarks
1,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,arquifou,Marseille,Angleterre,89600,livres,"0,15",13440,0,
2,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,bœuf salé,Marseille,Angleterre,65,barils,35,2275,0,
3,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,caffé,Marseille,Angleterre,9000,livres,"1,3",11700,0,
4,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,cuirs de beuf en poil,Marseille,Angleterre,2000,en nombre,14,28000,0,
5,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,cuirs de beuf tannés,Marseille,Angleterre,200,en nombre,24,4800,0,
6,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,eau de vie,Marseille,Angleterre,300,livres,"0,2",60,0,
7,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,etain,Marseille,Angleterre,400,livres,1,400,0,
8,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,etoffe de soye,Marseille,Angleterre,90,pieces,300,27000,0,
9,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,figues,Marseille,Angleterre,150,livres,"0,1",15,0,
10,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,gigembre,Marseille,Angleterre,2800,livres,"0,6",1680,0,
11,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,pipes a fumer,Marseille,Angleterre,120,grosses,4,480,0,
12,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,plomp en saumon,Marseille,Angleterre,361400,livres,"0,2",72280,0,
13,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,sucre blanc,Marseille,Angleterre,52500,livres,"0,75",39375,0,
14,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,vermillon,Marseille,Angleterre,800,livres,5,4000,0,
15,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,1,1758,Imports,vin de malaga,Marseille,Angleterre,4,barils,40,160,0,
16,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,2,1758,Imports,merluche,Marseille,Danemark,21400,livres,"0,2",4280,0,
17,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,2,1758,Imports,alun,Marseille,Espagne,240488,livres,"0,12",28858,"-0,56",
18,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,2,1758,Imports,amandes,Marseille,Espagne,39976,livres,"0,2",7995,"-0,2",
19,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,2,1758,Imports,anis,Marseille,Espagne,12569,livres,"0,2",2513,"-0,8",
20,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1758.csv,Local,2,1758,Imports,arquifou,Marseille,Espagne,245300,livres,"0,15",36795,0,
