numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,argent vif,Hollande,550,110,livres,5,0,
2,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,acier,Hollande,3434,10100,livres,0.34,0,en pourcentage
3,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,azur commun,Hollande,1965,3275,livres,0.6,0,
4,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,azur fin,Hollande,20,25,livres,0.8,0,en quintal
5,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,amidon,Hollande,54,300,livres,0.18,0,en quintal
6,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,arcenic,Hollande,290,1450,livres,0.2,0,
7,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,biere,Hollande,800,10,barriques,80,0,
8,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,biere,Hollande,87,290,bouteilles,0.3,0,
9,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,baleine coupée,Hollande,8648,2162,livres,4,0,
10,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,bois du Brezil,Hollande,1447,14475,livres,0.1,-0.5,en quintal
11,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,bois de campesche,Hollande,2089,34825,livres,0.06,-0.5,en quintal
12,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,chair salée,Hollande,360,1800,livres,0.2,0,en pourcentage
13,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,1,canelle,Hollande,7119,1186.5,livres,6,0,1186 livres et 1/2
14,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,2,cuir de roussy,Hollande,2480,3100,livres,0.8,0,
15,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,2,cuir doré,Hollande,1275,425,livres,3,0,
16,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,2,colle de poisson,Hollande,824,206,livres,4,0,
17,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,Local,1735,Import,Marseille,2,colle commune,Hollande,1504,3760,livres,0.4,0,
