numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,direction,sheet,year,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Amidon,Holande,23457,livres,"0,2",4691,"-0,4",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Antimoine cru,Holande,977,livres,"0,15",146,"-0,55",
3,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Argent vif,Holande,500,livres,5,2500,0,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Arsenic,Holande,7300,livres,"0,3",2190,0,
5,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Avoine ,Holande,20,charges,14,280,0,
6,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Azur commun,Holande,11400,livres,"0,6",6840,0,
7,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Baleine coupée,Holande,3300,livres,"4,75",15675,0,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Bœuf salé,Holande,16750,livres,"0,2",3350,0,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Beurre,Holande,4756,livres,"0,3",1426,"-0,8",
10,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Bierre,Holande,124000,livres,"0,05",6200,0,
11,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Bled froment,Holande,11750,charges,18,211500,0,
12,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Bois de campesche,Holande,12000,livres,"0,15",1800,0,
