numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
1,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Argent vif,Marseille,Hollande,"360,00",livres,"5,0000000","1800,00","0,00",
2,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Ambre jaune,Marseille,Hollande,"250,00",livres,"2,5000000","625,00","0,00",
3,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Amidon,Marseille,Hollande,"1 200,00",livres,"0,2000000","240,00","0,00",
4,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bled froment,Marseille,Hollande,"466,00",charges,"18,0000000","8388,00","0,00",
5,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Beurre,Marseille,Hollande,"3 350,00",livres,"0,3000000","1005,00","0,00",
6,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Biere,Marseille,Hollande,"120 500,00",livres,"0,0500000","6025,00","0,00",
7,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bray gras,Marseille,Hollande,"8 000,00",livres,"0,0900000","720,00","0,00",
8,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Benjoin,Marseille,Hollande,"376,00",livres,"5,0000000","1880,00","0,00",
9,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Brun rouge,Marseille,Hollande,"600,00",livres,"0,0300000","18,00","0,00",
10,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Baleine coupée,Marseille,Hollande,"9 850,00",livres,"4,7500000","46787,00","-0,50",
11,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Balais de palme,Marseille,Hollande,"662,00",douzaines,"3,0000000","1986,00","0,00",
12,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bois de brezil,Marseille,Hollande,"41 275,00",livres,"0,2500000","10318,00","-0,75",
13,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bois de caliatour,Marseille,Hollande,"475,00",livres,"0,2000000","95,00","0,00",
14,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bois de rose,Marseille,Hollande,"600,00",livres,"0,2500000","150,00","0,00",
15,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bois jaune,Marseille,Hollande,"6 000,00",livres,"0,1300000","780,00","0,00",
16,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bois de campeche,Marseille,Hollande,"703 016,00",livres,"0,1500000","105452,00","-0,40",
17,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bois de sandal,Marseille,Hollande,"8 100,00",livres,"0,2400000","1944,00","0,00",
18,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,1,1742,Import,Bois de sandal moulû,Marseille,Hollande,"10 400,00",livres,"0,2500000","2600,00","0,00",
19,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Bois a teindre,Marseille,Hollande,"24 350,00",livres,"0,1250000","3043,00","-0,75",
20,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Bureaux,Marseille,Hollande,"4,00",estimés,,"240,00",,
21,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Confitures,Marseille,Hollande,"350,00",livres,"1,0000000","350,00","0,00",
22,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Cacao,Marseille,Hollande,"71 186,00",livres,"1,3000000","925418,00","832 876,20",s'est trompé d'un 0.
23,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Canelle,Marseille,Hollande,"6 038,00",livres,"6,0000000","36228,00","0,00",
24,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Curcuma,Marseille,Hollande,"300,00",livres,"0,5000000","150,00","0,00",
25,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Ceruse,Marseille,Hollande,"13 000,00",livres,"0,2000000","2600,00","0,00",
26,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Cinabrium,Marseille,Hollande,"4 850,00",livres,"5,0000000","24250,00","0,00",
27,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Camphre,Marseille,Hollande,"568,00",livres,"2,5000000","1420,00","0,00",
