numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,argent vif,Hollande,1895,379,livres,5,0,
2,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,acier,Hollande,750,3263,livres,0.23,-0.490000000000009,en quintal
3,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,azur commun,Hollande,1992,3622.5,livres,0.55,-0.375000000000227,arrondi
4,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,amidon,Hollande,61,306,livres,0.2,-0.200000000000003,en quintal
5,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,antimoine,Hollande,810,810,livres,1,0,
6,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,arcenic,Hollande,464,2903,livres,0.16,-0.480000000000018,en quintal
7,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,amadoux,Hollande,100,400,livres,0.25,0,
8,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,alumettes de meche souffrée,Hollande,63,159,livres,0.4,-0.600000000000001,arrondi
9,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,bierre,Hollande,380,19,bariques,20,0,
10,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,Local,1737,Import,Marseille,1,bierre,Hollande,100,500,livres,0.2,0,
