numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Beuf salé,Angleterre,"1 926,00",Barils,"38,0000000","73188,00","0,00",,,,
2,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Beuf salé,Angleterre,"94 800,00",Livres,"0,2100000","19908,00","0,00",,,,
3,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Beure salé,Angleterre,"1 119 425,00",Livres,"0,3500000","391798,75","0,00",,,,
4,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Cuirs de bœuf en poil,Angleterre,"66,00",Nombre,"18,0000000","1188,00","0,00",,,,
5,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Chandelle,Angleterre,"52 850,00",Livres,"0,3800000","20083,00","0,00",,,,
6,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Clouds de fer,Angleterre,"11 825,00",Livres,"0,2500000","2956,25","0,00",,,,
7,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Charbon de terre,Angleterre,"245,00",Tonneaux,"240,0000000","58800,00","0,00",,,,
8,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Charbon de terre,Angleterre,"280,00",razieres,"6,0000000","1680,00","0,00",,,,
9,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Etain en bloc,Angleterre,"12 830,00",Livres,"0,1700000","2181,00","-0,10",,,,
10,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Fromage,Angleterre,"565,00",Livres,"0,3300000","186,45","0,00",,,,
11,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Mercerie,Angleterre,"20,00",Livres,"0,6000000","12,00","0,00",,,,
12,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Piment,Angleterre,"1 585,00",Livres,"0,2000000","317,00","0,00",,,,
13,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Plomb en saumon,Angleterre,"100 200,00",Livres,"0,2100000","21042,00","0,00",,,,
14,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Quincaille de fer,Angleterre,"2 180,00",Livres,"0,3000000","654,00","0,00",,,,
15,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Saumon salé,Angleterre,"2,00",Barils,"70,0000000","140,00","0,00",,,,
16,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Suif,Angleterre,"64 000,00",Livres,"0,3500000","22400,00","0,00",,,,
17,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Souliers de cuir,Angleterre,"268,00",Paires,"3,0000000","804,00","0,00",,,,
18,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Salicor,Angleterre,"100,00",Tonneaux,"25,0000000","2500,00","0,00",,,,
19,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Tabac en feuilles de virginie,Angleterre,"2 347 950,00",Livres,"0,2500000","58698,75","-528 288,75",erreur de calcul,,,
20,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Avoine,Hollande,"166,00",Boisseaux,"3,0000000","498,00","0,00",,,,
21,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Argent vif,Hollande,"558,00",Livres,"4,5000000","2511,00","0,00",,,,
22,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Aiguilles a coudre,Hollande,"7 070,00",Livres,"5,0000000","35350,00","0,00",,,,
23,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Acier,Hollande,"66 760,00",Livres,"0,3000000","20028,00","0,00",,,,
24,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,1,Ancres de fer,Hollande,"200 050,00",Livres,"0,1800000","36009,00","0,00",,,,
25,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Azur commun,Hollande,"13 000,00",Livres,"0,6000000","7800,00","0,00",,,,
26,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Amidon,Hollande,"7 275,00",Livres,"0,2000000","1455,00","0,00",,,,
27,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Alun,Hollande,"13 725,00",Livres,"0,2500000","3431,00","-0,25",erreur de calcul,,,
28,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Alumettes a vin,Hollande,"700,00",Livres,"0,3000000","210,00","0,00",,,,
29,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Arcenic,Hollande,"7 650,00",Livres,"0,2500000","1912,50","0,00",,,,
30,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Biscuit de mer,Hollande,"900,00",Livres,"0,1000000","90,00","0,00",,,,
31,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Beurre,Hollande,"9 900,00",Livres,"0,3500000","3465,00","0,00",,,,
32,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Bierre,Hollande,"2 114,00",Barriques,"20,0000000","42280,00","0,00",,,,
33,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Blanc de baleine,Hollande,"323,00",livres,"3,0000000","969,00","0,00",,,,
34,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Benjoin,Hollande,"68,00",livres,"3,0000000","204,00","0,00",,,,
35,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Borax,Hollande,"185,00",livres,"1,6000000","296,00","0,00",,,,
36,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Brun rouge,Hollande,"37 750,00",livres,"0,0400000","1510,00","0,00",,,,
37,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Botines,Hollande,"5,00",Paires,"10,0000000","50,00","0,00",,,,
38,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Brosserie,Hollande,"2 556,00",livres,"1,2500000","3195,00","0,00",,,,
39,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Bourre de bœuf ,Hollande,"26 225,00",livres,"0,0750000","1966,85","-0,03",erreur de calcul,,,
40,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Boulets de canon,Hollande,"7 000,00",livres,"0,1000000","700,00","0,00",,,,
41,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Baleine coupée,Hollande,"21 685,00",livres,"3,7500000","80193,75","-1 125,00",erreur de calcul,,,
42,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Baleine en fanon,Hollande,"32 983,00",livres,"3,0000000","98949,00","0,00",,,,
43,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Bois de gerofflé,Hollande,"215,00",livres,"0,5000000","107,50","0,00",,,,
44,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Bois de bresil,Hollande,"21 875,00",livres,"0,5000000","10937,50","0,00",,,,
45,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Bois de Sandal moulu,Hollande,"271 325,00",livres,"0,2500000","67831,25","0,00",,,,
46,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1741.csv,Local,1741,Imports,Bordeaux,2,Bois de campesche,Hollande,"228 250,00",livres,"0,1600000","35520,00","-1 000,00",erreur de calcul,,,
