numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Eau de vie,Angleterre,"165,00",Barriques,"75,00","12375,00","0,00",,,,
2,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Eau de vie,Angleterre,"1 087,00",pots,"0,75","815,25","0,00",,,,
3,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Pruneaux,Angleterre,"27 100,00",Livres,"0,05","1355,00","0,00",,,,
4,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Vin de haut,Angleterre,"44,50",tonneaux,"300,00","13350,00","0,00",,,,
5,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Vin de haut,Angleterre,"9,25",tonneaux,"400,00","3700,00","0,00",,,,
6,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Vin de ville,Angleterre,"8,00",tonneaux,"400,00","3200,00","0,00",,,,
7,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Vin de ville,Angleterre,"131,25",tonneaux,"800,00","105000,00","0,00",,,,
8,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Vin de ville,Angleterre,"745,25",tonneaux,"600,00","447150,00","0,00",,,,
9,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,1,Vinaigre,Angleterre,"68,50",tonneaux,"130,00","8905,00","0,00",,,,
10,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,2,Cacao,Danemark,"1 260,00",Livres,"0,50","630,00","0,00",,,,
11,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,2,Caffé,Danemark,"50 775,00",Livres,"0,85","43158,75","0,00",,,,
12,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,2,Eau de vie,Danemark,"2 043,00",Barriques,"75,00","153225,00","0,00",,,,
13,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,2,Indigo,Danemark,"14 300,00",Livres,"8,00","114400,00","0,00",,,,
14,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,2,Pruneaux,Danemark,"3 813 000,00",Livres,"0,13","476625,00","0,00",,,,
15,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1757.csv,Local,1757,Exports,Bordeaux,2,Sucre blanc,Danemark,"131 955,00",Livres,"0,50","45977,50","-20 000,00",erreur de calcul,,,
