numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Bœuf salé,Angleterre,"28 157,00",Barils,"18,0000000","506826,00","0,00",,,,
2,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Beurre salé,Angleterre,"1 710 500,00",Livres,"0,2600000","444730,00","0,00",,,,
3,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Bouteilles de verre,Angleterre,"492,00",Douzaines,"2,4000000","1180,00","-0,80",erreur de calcul,,,
4,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Bourre de bœuf ,Angleterre,"8 600,00",Livres,"0,0700000","602,00","0,00",,,,
5,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Charbon de terre,Angleterre,"158,00",Tonneaux,"200,0000000","31600,00","0,00",,,,
6,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Clouds de fer,Angleterre,"18 500,00",Livres,"0,2000000","3700,00","0,00",,,,
7,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Fer en barre,Angleterre,"56 300,00",Livres,"0,1200000","6756,00","0,00",,,,
8,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Laine d'Espagne,Angleterre,"7 000,00",Livres,"2,0000000","14000,00","0,00",,,,
9,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Laine en suin,Angleterre,"57 300,00",Livres,"1,5000000","85950,00","0,00",,,,
10,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Mats de sapin ; de 45 pieds,Angleterre,"6,00",Nombre,"40,0000000","240,00","0,00",,,,
11,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Plomb en saumon,Angleterre,"20 000,00",Livres,"0,2000000","4000,00","0,00",,,,
12,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1736.csv,Local,1736,Imports,Bordeaux,1,Suif,Angleterre,"527 700,00",Livres,"0,2200000","116094,00","0,00",,,,
