numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Bœuf salé,Angleterre,37070,Livres,"0,3",11121,0,,,,
2,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Beurre,Angleterre,63340,Livres,"0,9",57006,0,,,,
3,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Bled froment,Angleterre,671230,Livres,"0,1",67123,0,,,,
4,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Bois de construction,Angleterre,,valeur,0,21615,21615,,,,
5,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Bois merrain,Angleterre,"17,25",Milliers,330,5692,"-0,5",erreur de calcul,,,
6,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Charbon de terre,Angleterre,1345,Tonneaux,460,618123,-577,erreur de calcul,,,
7,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Farine,Angleterre,25720,livres,"0,15",3858,0,,,,
8,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Indigo,Angleterre,18975,livres,6,113850,0,,,,
9,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Pelleterie,Angleterre,,valeur,0,11000,11000,,,,
10,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Planches de chesne,Angleterre,,valeur,0,10950,10950,,,,
11,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Plomb en saumon,Angleterre,120680,livres,"0,2",24136,0,,,,
12,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Ris,Angleterre,1829115,livres,"0,2",365823,0,,,,
13,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Suif,Angleterre,8115,livres,"0,5",4057,"-0,5",erreur de calcul,,,
14,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Soliveaux de chesne,Angleterre,273,Nombre,30,8190,0,,,,
15,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1777,Imports,Bordeaux,1,Tabac en feuilles,Angleterre,363730,livres,"0,8",290984,0,,,,
