numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Eau de vie,Angleterre,"1 238,00",Barriques,"100,00","123800,00","0,00",,,,
2,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Vin de haut,Angleterre,"294,00",tonneaux,"200,00","58800,00","0,00",,,,
3,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Vin de ville,Angleterre,"447,75",tonneaux,"500,00","223875,00","0,00",,,,
4,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Vin de ville,Angleterre,"1 311,50",tonneaux,"300,00","393450,00","0,00",,,,
5,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Vin de ville,Angleterre,"106,00",tonneaux,"200,00","21200,00","0,00",,,,
6,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Vin de ville,Angleterre,"384,00",tonneaux,"180,00","69120,00","0,00",,,,
7,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Vinaigre,Angleterre,"200,25",tonneaux,"200,00","40050,00","0,00",,,,
8,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Cacao,Danemark,"1 316,00",Livres,"0,50","658,00","0,00",,,,
9,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Caffé,Danemark,"132 040,00",Livres,"0,85","112234,00","0,00",,,,
10,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Eau de vie,Danemark,"921,00",Barriques,"100,00","92100,00","0,00",,,,
11,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Indigo,Danemark,"15 011,00",Livres,"8,00","120088,00","0,00",,,,
12,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,1,Pruneaux,Danemark,"279 600,00",Livres,"0,13","34950,00","0,00",,,,
13,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,2,Sucre blanc,Danemark,"140 984,00",Livres,"0,50","70492,00","0,00",,,,
14,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1756.csv,Local,1756,Exports,Bordeaux,2,Sucre brun,Danemark,"51 897,00",Livres,"0,35","18163,95","0,00",,,,
