numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Beuf sallé,Angleterre,"5 406,00",Barils,"22,0000000","118932,00","0,00",,,,
2,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Beurre salé,Angleterre,"1 328 500,00",Livres,"0,2800000","371980,00","0,00",,,,
3,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Farine,Angleterre,"1 180,00",Boisseaux,"12,0000000","14160,00","0,00",,,,
4,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Fromage,Angleterre,"31 325,00",Livres,"0,2000000","6260,00","-5,00",erreur de calcul,,,
5,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Muscade,Angleterre,"113,00",Livres,"8,0000000","904,00","0,00",,,,
6,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Saumon salé,Angleterre,"138,00",Barils,"50,0000000","6900,00","0,00",,,,
7,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Thé,Angleterre,"30,00",Livres,"6,0000000","180,00","0,00",,,,
8,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Bourre de bouef,Angleterre,"1 050,00",Livres,"0,0800000","84,00","0,00",,,,
9,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Bouteilles de verre,Angleterre,"398,00",Douzaines,"23,0000000","6916,00","-2 238,00",erreur de calcul,,,
10,Demba,AD 33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Barriques vuides,Angleterre,"277,00",Nombre,"1,0000000","277,00","0,00",,,,
