numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Caffé,Angleterre,29946,Livres,"0,9","26951,4",0,,,,
2,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Eau de vie,Angleterre,3281,Barriques,120,393720,0,,,20,
3,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Indigo,Angleterre,36462,Livres,5,182310,0,,,,
4,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Pruneaux,Angleterre,24000,Livres,"0,18",4200,0,,,,
5,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Rocou,Angleterre,700,Livres,"0,5",350,0,,,,
6,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Sucre blanc,Angleterre,8411,Livres,"0,3","2523,3",0,,,,
7,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Sucre brut,Angleterre,25081,Livres,"0,25","6270,25",0,,,,
8,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Sucre en pain,Angleterre,29217,Livres,"0,75","21912,75",0,,,,
9,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Vin de haut,Angleterre,"165,5",Tonneaux,400,66200,0,,,"11,45",
10,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Vin de haut,Angleterre,168,Tonneaux,300,50400,0,,,"11,45",
11,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,1,Vin de haut,Angleterre,5,Tonneaux,200,1000,0,,,"11,45",
12,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de ville,Angleterre,"2002,5",Tonneaux,1000,2002500,0,,,"20,3583333333",
13,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de ville,Angleterre,1673,Tonneaux,800,1338400,0,,,"20,3583333333",
14,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de ville,Angleterre,"443,75",Tonneaux,600,266250,0,,,"20,3583333333",
15,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de ville,Angleterre,"2910,25",Tonneaux,500,1455125,0,,,"20,3583333333",
16,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de ville,Angleterre,129,Tonneaux,400,51600,0,,,"20,3583333333",
17,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vinaigre,Angleterre,"309,5",Tonneaux,200,61900,0,,,15,
18,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vinaigre,Angleterre,115,Tonneaux,150,17250,0,,,15,
19,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Cacao,Danemark,390,Livres,"0,45","175,5",0,,,,
20,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Caffé des Isles,Danemark,143281,Livres,"0,9","128952,9",0,,,,
21,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Eau de vie,Danemark,1898,Barriques,120,227760,0,,,20,
22,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Gingembre sec,Danemark,1680,Livres,"0,6",1008,0,,,,
23,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Indigo,Danemark,40613,Livres,5,203065,0,,,,
24,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Pruneaux,Danemark,113300,Livres,"0,18","19827,5",0,,,,
25,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Rocou,Danemark,2991,Livres,"0,5","1495,5",0,,,,
26,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Sucre blanc,Danemark,62865,Livres,"0,35","22002,75",0,,,,
27,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Sucre brut,Danemark,87273,Livres,"0,25","21818,25",0,,,,
28,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de haut,Danemark,587,Tonneaux,150,88050,0,,,"11,45",
29,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de ville,Danemark,5033,Tonneaux,200,1006600,0,,,"20,3583333333",
30,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vinaigre,Danemark,"306,25",Tonneaux,200,61250,0,,,15,
31,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vinaigre,Danemark,"19,5",Tonneaux,150,2925,0,,,15,
32,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Bled d'Inde,Espagne,800,boisseaux,5,4000,0,,,,
33,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Cacao,Espagne,84950,Livres,"0,45","38227,5",0,,,,
34,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Rocou,Espagne,3700,Livres,"0,5",1850,0,,,,
35,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Sucre blanc,Espagne,1854157,Livres,"0,3","556242,1",-5,erreur de calcul,,,
36,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Sucre en pain,Espagne,2658,Livres,"0,75","1993,5",0,,,,
37,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de Blaye,Espagne,"339,75",Tonneaux,75,"25481,25",0,,,"20,3583333333",
38,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de haut,Espagne,5,Tonneaux,150,750,0,,,"11,45",
39,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vin de ville,Espagne,730,Tonneaux,200,146000,0,,,"20,3583333333",
40,Demba,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties – 1753.csv,Local,1753,Exports,Bordeaux,2,Vinaigre,Espagne,5,Tonneaux,200,1000,0,,,15,
