numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Bas de soye,Angleterre,"120,00",paires,"10,0000000","1200,00","0,00",,,,
2,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Bled froment,Angleterre,"345 000,00",Livres,"0,1000000","34500,00","0,00",,,,
3,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Caffé des Isles,Angleterre,"12 452,00",Livres,"0,7500000","9339,00","0,00",,,,
4,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Cotonne,Angleterre,"350,00",Aunes,"4,0000000","1400,00","0,00",,,,
5,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Eau de vie,Angleterre,"299,00",Barriques,"150,0000000","44850,00","0,00",,,,
6,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Indigo,Angleterre,"30 156,00",Livres,"5,0000000","150780,00","0,00",,,,
7,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Toile Batiste,Angleterre,"250,00",Aunes,"6,0000000","1500,00","0,00",,,,
8,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Vin de Bordeaux ; de haut,Angleterre,"81,00",tonneaux,"300,0000000","24300,00","0,00",,,,
9,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Vin de Bordeaux ; de ville,Angleterre,"201,00",tonneaux,"800,0000000","160800,00","0,00",,,,
10,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Vin de Bordeaux ; de ville,Angleterre,"271,00",tonneaux,"600,0000000","162600,00","0,00",,,,
11,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Caffé des Isles,Danemark,"335 565,00",Livres,"0,7500000","251673,75","0,00",,,,
12,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Eau de vie,Danemark,"717,00",Barriques,"150,0000000","107550,00","0,00",,,,
13,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Indigo,Danemark,"12 991,00",Livres,"5,0000000","64955,00","0,00",,,,
14,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,1,Pruneaux,Danemark,"91 100,00",Livres,"0,1000000","9110,00","0,00",,,,
15,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,2,Sucre blanc,Danemark,"2 699 330,00",Livres,"0,4000000","1079732,00","0,00",,,,
16,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1768.csv,Local,1768,Exports,Bordeaux,2,Sucre brut,Danemark,"963 390,00",Livres,"0,2500000","240847,50","0,00",,,,
