numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Bœuf salé,Angleterre,"17 023 521,00",livres,"0,1000000","1702352,10","0,00",,,,
2,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Beurre,Angleterre,"3 541 752,00",livres,"0,5000000","1770876,00","0,00",,,,
3,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Bled froment,Angleterre,"1 125,00",livres,"0,1000000","112,50","0,00",,,,
4,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Chandelle,Angleterre,"7 040,00",livres,"0,5000000","352,00","-3 168,00",erreur de calcul,,,
5,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Charbon de terre,Angleterre,"1 509,00",tonnes,"3,0000000","4527,00","0,00","doute sur l'unité (il est indiqué ""ton ?"")",,,
6,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Patates,Angleterre,"75,00",Boisseaux,"5,0000000","375,00","0,00",,,,
7,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Ris,Angleterre,"165 592,00",livres,"0,2500000","41398,00","0,00",,,,
8,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Tabac en feuilles,Angleterre,"4 885 686,00",livres,"0,2000000","977137,20","0,00",,,,
9,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Acier,Danemark,"6 922,00",livres,"0,5000000","3461,00","0,00",,,,
10,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Azur,Danemark,"11 752,00",livres,"0,5000000","5876,00","0,00",,,,
11,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Barres de guindeau,Danemark,"710,00",Nombre,"2,0000000","1420,00","0,00",,,,
12,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Bled froment,Danemark,"460 000,00",livres,"0,1000000","46000,00","0,00",,,,
13,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Bled seigle,Danemark,"396 000,00",livres,"0,0750000","27200,00","-2 500,00",erreur de calcul,,,
14,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Cuivre en feuilles,Danemark,"16 144,00",livres,"1,3500000","21794,40","0,00",,,,
15,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Cuivre en rosette,Danemark,"5 887,00",livres,"1,3000000","7653,10","0,00",,,,
16,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Planches de sapin,Danemark,"3 898,00",cent,"1,5000000","5847,00","0,00",,,,
17,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Soliveaux,Danemark,"249,00",Nombre,"25,0000000","6235,00","10,00",erreur de calcul,,,
18,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Avirons,Espagnes,"997,00",traques,"19,0000000","18943,00","0,00",,,,
19,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Fer en barre,Espagnes,"5 005 193,00",livres,"0,1500000","750778,95","0,00",,,,
20,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Laine d'Espagne,Espagnes,"254,00",Balles,"350,0000000","88900,00","0,00",,,,
21,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Meules a faire,Espagnes,"152,00",Nombre,"5,0000000","760,00","0,00",,,,
22,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Reglisse,Espagnes,"21 024,00",livres,"0,1200000","2422,48","-100,40",erreur de calcul,,,
23,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Lin,Espagnes,"1 920,00",livres,"0,2500000","480,00","0,00",,,,
24,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Rognures de cartes ,Espagnes,"4 549,00",livres,"0,0300000","13647,00","13 510,53",erreur de calcul,,,
25,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Vin d'alicante,Espagnes,"21,00",Pots,"6,0000000","126,00","0,00",,,,
26,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Vin de Chypre,Espagnes,"16,00",Pots,"8,0000000","128,00","0,00",,,,
27,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Vin de Constance,Espagnes,"70,00",Pots,"4,0000000","280,00","0,00",,,,
28,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Vin d'Espagne,Espagnes,"462,00",Pots,"3,0000000","1386,00","0,00",,,,
29,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Acier,Hollande,"1 365,00",Livres,"0,5000000","682,50","0,00",,,,
30,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Aiguilles,Hollande,"244,00",Livres,"5,0000000","1220,00","0,00",,,,
31,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Aloes,Hollande,"1 393,00",Livres,"4,0000000","5572,00","0,00",,,,
32,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Allumettes,Hollande,"2 454,00",Livres,"0,2500000","613,50","0,00",,,,
33,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Alun,Hollande,"5 122,00",Livres,"0,1500000","718,30","-50,00",erreur de calcul,,,
34,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Avoine,Hollande,"103 600,00",Livres,"0,0375000","3885,00","0,00",,,,
35,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Baleines en fanon,Hollande,"18 282,00",Livres,"1,3000000","23766,60","0,00",,,,
36,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Bœuf fumé,Hollande,"2 411,00",Livres,"0,4000000","964,40","0,00",,,,
37,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Beurre,Hollande,"801 446,00",Livres,"0,5000000","400723,00","0,00",,,,
38,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Bled froment,Hollande,"28 104,00",Boisseaux,"14,0000000","393456,00","0,00",,,,
39,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Bled froment,Hollande,"9 717 175,00",Livres,"0,1000000","971717,50","0,00",,,,
40,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Bled seigle,Hollande,"6 986,00",Boisseaux,"8,0000000","55888,00","0,00",,,,
41,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Bled seigle,Hollande,"1 287 956,00",Livres,"0,0750000","96596,70","0,00",,,,
42,Demba,AD 33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,2,Bois ; merrain ; a barriques,Hollande,"125,00",Milliers,"360,0000000","45000,00","0,00",,,,
