numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Eau de vie,Angleterre,"711,00",Barriques,"125,00","88875,00","0,00",,,,
2,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Eau de vie,Angleterre,"4 314,00",Pots,"0,80","3451,00","-0,20",erreur de calcul,,,
3,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de haut,Angleterre,"3,50",Tonneaux,"400,00","1400,00","0,00",,,,
4,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de haut,Angleterre,"4,75",Tonneaux,"300,00","1425,00","0,00",,,,
5,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de ville,Angleterre,"84,00",Tonneaux,"1 300,00","109200,00","0,00",,,,
6,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de ville,Angleterre,"49,25",Tonneaux,"1 000,00","49250,00","0,00",,,,
7,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de ville,Angleterre,"86,25",Tonneaux,"800,00","69000,00","0,00",,,,
8,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de ville,Angleterre,"21,00",Tonneaux,"600,00","12600,00","0,00",,,,
9,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vinaigre,Angleterre,"2,00",Tonneaux,"120,00","240,00","0,00",,,,
10,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Caffé des Isles,Danemark,"42 534,00",Livres,"0,85","36153,90","0,00",,,,
11,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Eau de vie,Danemark,"3 522,00",Barriques,"125,00","440250,00","0,00",,,,
12,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Indigo,Danemark,"2 377,00",Livres,"8,00","19016,00","0,00",,,,
13,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Pruneaux,Danemark,"285 900,00",Livres,"0,10","28590,00","0,00",,,,
14,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Sucre blanc,Danemark,"4 578,00",Livres,"0,50","2289,00","0,00",,,,
15,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Sucre brut,Danemark,"2 333,00",Livres,"0,35","816,55","0,00",,,,
16,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de haut,Danemark,"331,75",Tonneaux,"150,00","49762,50","0,00",,,,
17,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de ville,Danemark,"320,00",Tonneaux,"600,00","192000,00","0,00",,,,
18,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de ville,Danemark,"216,00",Tonneaux,"400,00","86400,00","0,00",,,,
19,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de ville,Danemark,"914,00",Tonneaux,"300,00","274200,00","0,00",,,,
20,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de ville,Danemark,"3 821,00",Tonneaux,"200,00","764200,00","0,00",,,,
21,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vinaigre,Danemark,"175,50",Tonneaux,"120,00","21060,00","0,00",,,,
22,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Cacao,Espagne,"3 215,00",Livres,"0,50","1607,50","0,00",,,,
23,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Caffé des Isles,Espagne,"1 459,00",Livres,"0,85","1240,15","0,00",,,,
24,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Cuirs de bœuf en poil,Espagne,"700,00",Cottes,"6,00","4200,00","0,00",,,,
25,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Eau de vie,Espagne,"813,00",Barriques,"125,00","101625,00","0,00",,,,
26,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Farine,Espagne,"6 330,00",Boisseaux,"15,00","94950,00","0,00",,,,
27,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Pruneaux,Espagne,"107 700,00",Livres,"0,10","10770,00","0,00",,,,
28,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Sucre blanc,Espagne,"282 693,00",Livres,"0,50","141346,50","0,00",,,,
29,Demba,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de Blaye,Espagne,"375,25",Tonneaux,"90,00","33795,00","22,50",erreur de calcul,,,
