numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Bas de soye,Angleterre,"638,00",Douzaines,"100,0000000","63800,00","0,00",,,,
2,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Bazin,Angleterre,"760,00",aunes,"3,0000000","2280,00","0,00",,,,
3,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Bonnets de cotton,Angleterre,"91,00",Douzaines,"24,0000000","2184,00","0,00",,,,
4,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Caffé,Angleterre,"250 610,00",Livres,"0,5000000","125305,00","0,00",,,,
5,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Confitures,Angleterre,"778,00",Livres,"1,0000000","778,00","0,00",,,,
6,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Cotonne,Angleterre,"524,00",Aunes,"1,5000000","786,00","0,00",,,,
7,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Eau de vie,Angleterre,"360,00",Barriques,"120,0000000","43200,00","0,00",,,,
8,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Etoffe de soye,Angleterre,"431,00",Livres,"30,0000000","12930,00","0,00",,,,
9,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Gans de soye,Angleterre,"60,00",Douzaines,"24,0000000","1440,00","0,00",,,,
10,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Indigo,Angleterre,"21 175,00",Livres,"6,0000000","127050,00","0,00",,,,
11,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Mercerie,Angleterre,"975,00",Livres,"1,0000000","975,00","0,00",,,,
12,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Sucre blanc,Angleterre,"18 100,00",Livres,"0,5000000","9050,00","0,00",,,,
13,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Toille de batiste,Angleterre,"1 130,00",Aunes,"8,0000000","9040,00","0,00",,,,
14,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Vin de haut,Angleterre,"156,50",tonneaux,"200,0000000","31300,00","0,00",,,,
15,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Vin de ville,Angleterre,"1 019,50",tonneaux,"460,0000000","468970,00","0,00",,,,
16,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Vinaigre,Angleterre,"34,50",tonneaux,"100,0000000","3450,00","0,00",,,,
17,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,1,Cacao,Danemark,"5 630,00",Livres,"0,6500000","3659,50","0,00",,,,
18,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Caffé,Danemark,"1 892 785,00",Livres,"0,5000000","946392,50","0,00",,,,
19,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Eau de vie,Danemark,"766,00",Barriques,"120,0000000","91920,00","0,00",,,,
20,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Indigo,Danemark,"126 432,00",Livres,"6,5000000","821808,00","0,00",,,,
21,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Pruneaux,Danemark,"178 480,00",Livres,"0,0600000","10708,80","0,00",,,,
22,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Rocou,Danemark,"1 941,00",Livres,"0,5000000","970,50","0,00",,,,
23,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Sucre blanc,Danemark,"1 471 167,00",Livres,"0,5000000","735583,50","0,00",,,,
24,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Sucre brut,Danemark,"639 245,00",Livres,"0,3000000","191773,50","0,00",,,,
25,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Vin de haut,Danemark,"439,25",tonneaux,"200,0000000","87850,00","0,00",,,,
26,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Vin de ville,Danemark,"1 576,50",tonneaux,"250,0000000","394125,00","0,00",,,,
27,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Vinaigre,Danemark,"32,00",tonneaux,"100,0000000","3200,00","0,00",,,,
28,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Cacao,Espagne,"161 575,00",Livres,"0,6500000","105023,75","0,00",,,,
29,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Caffé,Espagne,"51 084,00",Livres,"0,5000000","25542,00","0,00",,,,
30,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Eau de vie,Espagne,"110,00",Barriques,"120,0000000","13200,00","0,00",,,,
31,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Etoffe de soye,Espagne,"66,00",Livres,"30,0000000","1980,00","0,00",,,,
32,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Indigo,Espagne,"10 041,00",Livres,"6,0000000","60246,00","0,00",,,,
33,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Sucre blanc,Espagne,"408 041,00",Livres,"0,5000000","204020,50","0,00",,,,
34,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Sucre brut,Espagne,"21 077,00",Livres,"0,2500000","5269,25","0,00",,,,
35,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Sucre en pain,Espagne,"10 998,00",Livres,"0,8000000","8798,40","0,00",,,,
36,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Vin de haut,Espagne,"108,25",tonneaux,"200,0000000","21650,00","0,00",,,,
37,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1773.csv,Local,1773,Exports,Bordeaux,2,Vin de ville,Espagne,"646,50",tonneaux,"200,0000000","129300,00","0,00",,,,
