numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Bœuf sallé,Angleterre,"3 104 960,00",Livres,"0,1500000","465744,00","0,00",,,,
2,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Beurre sallé,Angleterre,"477 660,00",Livres,"0,3500000","166181,00","-1 000,00",erreur calcul,,,
3,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Chandelle,Angleterre,"72 485,00",Livres,"0,5000000","36242,50","0,00",,,,
4,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Charbon de terre,Angleterre,"70,75",Tonneaux,"300,0000000","21225,00","0,00",,,,
5,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Cire blanche ouvrée,Angleterre,"40,00",Livres,"2,0000000","80,00","0,00",,,,
6,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Cire jaune,Angleterre,"2 575,00",Livres,"1,5000000","3862,50","0,00",,,,
7,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Etain en bloc,Angleterre,"5 720,00",Livres,"1,0000000","5720,00","0,00",,,,
8,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Fromage de chester,Angleterre,"1 525,00",Livres,"0,3500000","533,75","0,00",,,,
9,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Fromage commun,Angleterre,"10 775,00",Livres,"0,2200000","2370,50","0,00",,,,
10,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Langues de bœuf,Angleterre,"8 400,00",Livres,"0,3000000","2520,00","0,00",,,,
11,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Lard,Angleterre,"1 340,00",Livres,"0,1500000","201,00","0,00",,,,
12,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Saumon salé,Angleterre,"78 800,00",Livres,"0,3000000","23640,00","0,00",,,,
13,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Suif,Angleterre,"153 300,00",Livres,"0,4500000","62086,50","-6 898,50",erreur calcul,,,
14,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Tabac en feuilles de virginie,Angleterre,"1 602 050,00",Livres,"0,3000000","480615,00","0,00",,,,
15,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Acier,Hollande,"41 385,00",Livres,"0,3000000","12415,50","0,00",,,,
16,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Agaric,Hollande,"70,00",Livres,"2,2500000","157,50","0,00",,,,
17,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Aiguiller a coudre,Hollande,"6 373,00",Livres,"5,0000000","31865,00","0,00",,,,
18,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,1,Aloes,Hollande,"132,00",Livres,"1,5000000","198,00","0,00",,,,
19,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,2,Allumettes a vin,Hollande,"950,00",Livres,"0,3000000","285,00","0,00",,,,
20,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,2,Alun,Hollande,"750,00",Livres,"0,1800000","125,00","-10,00",erreur calcul,,,
21,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,2,Anabas,Hollande,"3 500,00",Pieces,"6,0000000","21000,00","0,00",,,,
22,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,2,Antimoine cru,Hollande,"200,00",Livres,"0,1600000","32,00","0,00",,,,
23,Demba,AD33C4389,Local/Bordeaux/Bordeaux - Entrées - 1744.csv,Local,1744,Imports,Bordeaux,2,Arcenic,Hollande,"6 175,00",Livres,"0,2500000","1543,55","-0,20",erreur calcul,,,
