numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Caffé des Isles,Danemark,"4 937,00",Livres,"0,8500000","4196,45","0,00",,,,
2,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Eau de vie,Danemark,"2 205,00",Barriques,"75,0000000","165375,00","0,00",,,,
3,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Eau de vie,Danemark,"5 770,00",pieces,"112,0000000","646240,00","0,00",,,,
4,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Indigo,Danemark,"6 079,00",livres,"7,0000000","42553,00","0,00",,,,
5,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Noix,Danemark,"65,00",Boisseaux,"10,0000000","650,00","0,00",,,,
6,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Pruneaux,Danemark,"367 600,00",livres,"0,1000000","36760,00","0,00",,,,
7,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Vin de haut,Danemark,"280,00",tonneaux,"100,0000000","24000,00","-4 000,00",erreur de calcul,,,
8,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Vin de ville,Danemark,"5 488,25",tonneaux,"120,0000000","658590,00","0,00",,,,
9,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Vinaigre,Danemark,"298,50",tonneaux,"100,0000000","29850,00","0,00",,,,
10,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Cacao,Espagne,"6 973,00",livres,"1,2000000","8367,60","0,00",,,,
11,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Chataignes,Espagne,"70,00",Boisseaux,"6,0000000","420,00","0,00",,,,
12,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Eau de vie,Espagne,"1 822,00",Barriques,"75,0000000","136650,00","0,00",,,,
13,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Eau de vie,Espagne,"187,00",pieces,"112,0000000","20944,00","0,00",,,,
14,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Farine,Espagne,"1 434,00",Boisseaux,"14,0000000","20076,00","0,00",,,,
15,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Legumes,Espagne,"1 886,00",Boisseaux,"6,0000000","11316,00","0,00",,,,
16,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,2,Pruneaux,Espagne,"204 751,00",livres,"0,1000000","20475,10","0,00",,,,
17,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,,Espagne,"3 435,00",livres,"0,7500000","2576,25","0,00","page déchirée, pas de nom de marchandise",,,
18,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,,Espagne,"26,50",Barriques,"50,0000000","1325,00","0,00","page déchirée, pas de nom de marchandise",,,
19,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Vin de Blaye,Espagne,"246,75",tonneaux,"100,0000000","24675,00","0,00",,,,
20,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Vin de haut,Espagne,"205,00",tonneaux,"100,0000000","20500,00","0,00",,,,
21,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Vin de ville,Espagne,"3 669,25",tonneaux,"120,0000000","440310,00","0,00",,,,
22,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Vinaigre,Espagne,"267,50",tonneaux,"100,0000000","26750,00","0,00",,,,
23,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Eau de vie,Flandre,"19,00",Barriques,"75,0000000","1425,00","0,00",,,,
24,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Eau de vie,Flandre,"150,00",pieces,"112,0000000","16800,00","0,00",,,,
25,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Vin de Blaye,Flandre,"64,00",tonneaux,"100,0000000","6400,00","0,00",,,,
26,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Vin de haut,Flandre,"96,00",tonneaux,"100,0000000","9600,00","0,00",,,,
27,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Vin de ville,Flandre,"1 045,00",tonneaux,"120,0000000","125400,00","0,00",,,,
28,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Vinaigre,Flandre,"8,25",tonneaux,"100,0000000","825,00","0,00",,,,
29,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Bouchons de liege,Hollande,"20,00",Milliers,"10,0000000","200,00","0,00",,,,
30,Demba,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1761.csv,Local,1761,Exports,Bordeaux,3,Caffé ,Hollande,"9 199,00",Livres,"0,8500000","7819,15","0,00",,,,
