numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks,Droits totaux indiqués,Droits unitaires,unité pour les droits,quantité pour les droits,remarks pour les droits
1,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Eau de vie,Angleterre,263250,4050,Bariques,65,ligne barrée où était indiqué le montant unitaire des droits (il est donné en 1732),,,,,
2,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Pruneaux,Angleterre,5910,98500,Livres,"0,06",ligne barrée où était indiqué le montant unitaire des droits (il est donné en 1732),,,,,
3,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Peaux de chevreau apretées,Angleterre,15508,31000,Livres,"0,5",8 erreur calcul,,,,,
4,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Sucre brut,Angleterre,4158,23100,Livres,"0,18",,,,,,
5,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Sirop de sucre,Angleterre,5700,57,Pièces,100,,,,,,
6,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Teinture préparée,Angleterre,14000,8000,Livres,"1,75",,,,,,
7,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Vin de haut,Angleterre,19500,130,Tonneaux,150,50 Ecus soit 150 livres,0,"11,45",Tonneaux,130,"-1488,5 droits non marqués"
8,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Vin de ville,Angleterre,867400,4337,Tonneaux,200,,0,"20,3583333",Tonneaux,4337,"-88294,09 droits non marqués"
9,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Vinaigre,Angleterre,31200,312,Tonneaux,100,,0,15,Tonneaux,312,-4680 droits non marqués
10,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Chataigne,Hollande,415,83,Boisseaux,5,,,,,,
