numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Avoine,Angleterre,450,Boisseaux,"3,5",1575,0,,,,
2,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Bœuf salé,Angleterre,7410000,livres,"0,125",926250,0,,,,
3,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Beurre salé,Angleterre,2378700,livres,"0,34",808758,0,,,,
4,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Bled froment,Angleterre,4702,Boisseaux,"8,5",39967,0,,,,
5,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Chandelle,Angleterre,132100,livres,"0,44",58124,0,,,,
6,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Charbon de terre,Angleterre,341,Tonneaux,265,90365,0,,,,
7,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Cire jaune,Angleterre,3675,livres,"1,5","5512,5",0,,,,
8,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Etain en bloc,Angleterre,17550,livres,"1,06",18603,0,,,,
9,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Fromage de chestes,Angleterre,20450,livres,"0,35","7157,5",0,,,,
10,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Langues de bœuf salées,Angleterre,10850,livres,"0,3",3255,0,,,,
11,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Lard,Angleterre,2325,livres,"0,18","418,5",0,,,,
12,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Planches de sapin communes,Angleterre,800,Nombre,"1,3",1040,0,,,,
13,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Plomb en saumon,Angleterre,101400,Livres,"0,2",20280,0,,,,
14,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Saumon salé,Angleterre,127500,Livres,"0,24",30600,0,,,,
15,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1743.csv,Local,1743,Imports,Bordeaux,1,Suif,Angleterre,206575,Livres,"0,4",82630,0,,,,
