numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Bas de laine,Angleterre,676,Douzaines,36,24336,0,,,,
2,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Bas de soye,Angleterre,441,Douzaines,100,44100,0,,,,
3,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Bonnets de cotton,Angleterre,1030,Douzaines,24,24720,0,,,,
4,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Bonnets de laine,Angleterre,286,Douzaines,24,6864,0,,,,
5,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Bray,Angleterre,444790,Livres,"0,1",44479,0,,,,
6,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Cacao,Angleterre,2830,Livres,"0,5",1415,0,,,,
7,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Caffé d'amerique,Angleterre,43173,Livres,"0,45",19427,"-0,85",erreur de calcul,,,
8,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Chapeaux,Angleterre,,valeurs,0,13200,13200,,,,
9,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Cordages de Chanvre,Angleterre,31615,Livres,"0,3","9484,5",0,,,,
10,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Cuivre en feuilles,Angleterre,13166,Livres,1,13166,0,,,,
11,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Cuivre ouvré,Angleterre,1914,Livres,"1,8","3445,2",0,,,,
12,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Draperie,Angleterre,,valeurs,0,58950,58950,,,,
13,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Eau de vie,Angleterre,1150,Barriques,120,138000,0,,,,
14,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Etoffe de soye,Angleterre,110,Livres,40,4400,0,,,,
15,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Fer ouvré,Angleterre,2156,Livres,"0,25",2534,1995,erreur de calcul,,,
16,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Indigo,Angleterre,5684,Livres,7,39788,0,,,,
17,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1777.csv,Local,1777,Exports,Bordeaux,1,Liqueurs ,Angleterre,681,pots,3,2043,0,,,,
