,Entré par,Source,,,Année,Export/Export,Direction,Page,Nom Marchandise,Pays/Région,Quantité,Unité de poids/quantité,Prix unitaire en  Lt (décimale)," Valeur en livres, sous et deniers ",Différence,Remarques
1,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,bas de soye,Angleterre,"437,00",douzaine,"100,00"," 43 700,00    ","0,00",
2,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,cacao,Angleterre,"1 314,00",livre,"0,60"," 788,40    ","0,00",
3,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,caffé,Angleterre,"197 561,00",livre,"0,50"," 98 780,50    ","0,00",
4,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,confitures,Angleterre,"390,00",livre,"1,00"," 390,00    ","0,00",
5,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,cotonille,Angleterre,"469,00",aune,"1,50"," 703,50    ","0,00",
6,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,eau de vie,Angleterre,"201,00",barriques,"120,00"," 24 120,00    ","0,00",
7,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,etoffes de soye,Angleterre,"303,00",livre,"40,00"," 12 120,00    ","0,00",
8,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,indigo,Angleterre,"51 752,00",livre,"6,00"," 310 512,00    ","0,00",
9,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,toille baptiste,Angleterre,"836,00",aune,"10,00"," 8 360,00    ","0,00",
10,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,velour,Angleterre,"116,00",aune,"20,00"," 2 320,00    ","0,00",
11,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,vin de haut,Angleterre,"451,00",Tonneau,"300,00"," 135 300,00    ","0,00",
12,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,vin de ville,Angleterre,"846,00",Tonneau,"600,00"," 507 600,00    ","0,00",
13,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,1,vinaigre,Angleterre,"18,50",Tonneau,"100,00"," 1 850,00    ","0,00",
14,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,Caffé,Danemark,"1 432 205,00",livre,"0,50"," 716 102,50    ","0,00",
15,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,eau de vie,Danemark,"927,00",barriques,"120,00"," 111 240,00    ","0,00",
16,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,Indigo,Danemark,"134 923,00",livre,"6,50"," 877 006,00    ","6,50",
17,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,pruneaux,Danemark,"99 085,00",livre,"0,06"," 5 945,10    ","0,00",
18,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,rocou,Danemark,"723,00",livre,"0,50"," 361,50    ","0,00",
19,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,Sucre Blanc,Danemark,"1 811 056,00",livre,"0,50"," 905 528,00    ","0,00",
20,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,sucre brut,Danemark,"418 765,00",livre,"0,30"," 125 629,50    ","0,00",
21,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,vin de haut,Danemark,"198,00",Tonneau,"200,00"," 39 600,00    ","0,00",
22,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,vin de ville,Danemark,"744,00",Tonneau,"250,00"," 186 000,00    ","0,00",
23,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,vinaigre,Danemark,"17,00",Tonneau,"100,00"," 1 700,00    ","0,00",
24,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,cacao,Espagne,"182 281,00",livre,"0,65"," 118 482,65    ","0,00",
25,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,Caffé,Espagne,"49 185,00",livre,"0,50"," 24 592,50    ","0,00",
26,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,eau de vie,Espagne,"50,00",barriques,"120,00"," 6 000,00    ","0,00",
27,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,farine,Espagne,"157 300,00",livre,"0,15"," 23 595,00    ","0,00",
28,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,Indigo,Espagne,"4 287,00",livre,"6,00"," 25 722,00    ","0,00",
29,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,Sucre Blanc,Espagne,"543 882,00",livre,"0,50"," 271 941,00    ","0,00",
30,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,Sucre brut,Espagne,"6 990,00",livre,"0,25"," 1 747,50    ","0,00",
31,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,sucre en pain,Espagne,"16 020,00",livre,"0,80"," 12 816,00    ","0,00",
32,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,vin de haut,Espagne,"120,00",Tonneau,"200,00"," 24 000,00    ","0,00",
33,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,vin de ville,Espagne,"708,00",Tonneau,"200,00"," 141 600,00    ","0,00",
34,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,2,vinaigre,Espagne,"1,50",Tonneau,"100,00"," 150,00    ","0,00",
35,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,Caffé,Flandre Autrichienne,"5 264 589,00",livre,"0,50"," 2 632 294,50    ","0,00",
36,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,eau de vie,Flandre Autrichienne,"987,00",barriques,"120,00"," 118 440,00    ","0,00",
37,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,Indigo,Flandre Autrichienne,"61 926,00",livre,"6,00"," 371 556,00    ","0,00",
38,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,pruneaux,Flandre Autrichienne,"92 720,00",livre,"0,10"," 9 272,00    ","0,00",
39,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,rocou,Flandre Autrichienne,"9 154,00",livre,"0,50"," 4 577,00    ","0,00",
40,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,Sucre Blanc,Flandre Autrichienne,"3 459 005,00",livre,"0,50"," 1 729 502,50    ","0,00",
41,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,Sucre brut,Flandre Autrichienne,"135 262,00",livre,"0,25"," 33 815,50    ","0,00",
42,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,vin de haut,Flandre Autrichienne,"212,00",Tonneau,"200,00"," 42 400,00    ","0,00",
43,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,vin de ville,Flandre Autrichienne,"476,00",Tonneau,"200,00"," 95 200,00    ","0,00",
44,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,vinaigre,Flandre Autrichienne,"28,00",Tonneau,"100,00"," 2 800,00    ","0,00",
45,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,Caffé,Genève,"286 147,00",livre,"0,50"," 143 073,50    ","0,00",
46,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,Indigo,Genève,"20 120,00",livre,"6,00"," 120 720,00    ","0,00",
47,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,Sucre Blanc,Genève,"51 989,00",livre,"0,50"," 25 994,50    ","0,00",
48,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,sucre en pain,Genève,"32 190,00",livre,"0,80"," 25 752,00    ","0,00",
49,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,cacao,Hollande,"1 621,00",livre,"0,65"," 1 053,65    ","0,00",
50,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,Caffé,Hollande,"2 681 336,00",livre,"0,50"," 1 340 668,00    ","0,00",
51,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,cuisses d'oye,Hollande,"13,00",barril,"12,00"," 156,00    ","0,00",
52,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,eau de vie,Hollande,"1 820,00",barriques,"120,00"," 218 400,00    ","0,00",
53,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,indigo,Hollande,"236 260,00",livre,"6,00"," 1 417 560,00    ","0,00",
54,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,3,pruneaux,Hollande,"845 480,00",livre,"0,10"," 84 548,00    ","0,00",
55,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,Rocou,Hollande,"7 009,00",livre,"0,50"," 3 504,50    ","0,00",
56,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,sucre blanc,Hollande,"5 206 704,00",livre,"0,50"," 2 603 352,00    ","0,00",oubli du %
57,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,Sucre brut,Hollande,"7 281 440,00",livre,"0,25"," 1 820 360,00    ","0,00",oubli du %
58,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,vin de haut,Hollande,"9 006,00",Tonneau,"200,00"," 1 801 200,00    ","0,00",
59,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,vin de ville,Hollande,"12 674,00",Tonneau,"200,00"," 2 534 800,00    ","0,00",
60,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,vinaigre,Hollande,"154,00",Tonneau,"100,00"," 15 400,00    ","0,00",
61,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,Caffé,Italie,"627 074,00",livre,"0,50"," 313 537,00    ","0,00",
62,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,indigo,Italie,"321 287,00",livre,"6,00"," 1 927 722,00    ","0,00",
63,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,Rocou,Italie,"1 178,00",livre,"0,50"," 589,00    ","0,00",
64,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,sucre blanc,Italie,"307 693,00",livre,"0,50"," 153 846,50    ","0,00",oubli du %
65,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,sucre en pain,Italie,"51 157,00",livre,"0,80"," 40 925,60    ","0,00",oubli du %
