numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,1,1726,Imports,Bled Froment,Bordeaux,Angleterre,13830,boisseaux,"8,5",117555,0,
2,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,1,1726,Imports,Bœuf salé,Bordeaux,Angleterre,9662,barrils,24,231888,0,
3,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,1,1726,Imports,Beurre,Bordeaux,Angleterre,205925,quintal,"0,25",51481,"-0,25",
4,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,Eau de vie d'Andaye,Bordeaux,Angleterre,160,pots,2,320,0,
5,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,Fromage,Bordeaux,Angleterre,47600,Livres,"0,25",11900,0,
6,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,Haricots,Bordeaux,Angleterre,140,boisseaux,"9,5",1340,10,
7,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,harans blancs,Bordeaux,Angleterre,112,barrils,25,2800,0,
8,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,pois verds,Bordeaux,Angleterre,1500,boisseaux,12,18000,0,
9,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,saumon salé,Bordeaux,Angleterre,586,barrils,70,41020,0,
10,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,thé,Bordeaux,Angleterre,2,Livres,6,12,0,
11,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,bray gras,Bordeaux,Angleterre,86,barrils,12,1032,0,
12,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,bois de teinture,Bordeaux,Angleterre,6000,livres,"0,15",900,0,
13,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,barriques vuides,Bordeaux,Angleterre,262,nombre,"1,25","327,5",0,
14,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,cheval,Bordeaux,Angleterre,1,nombre,300,300,0,
15,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,cuir bœuf en poil,Bordeaux,Angleterre,1034,nombre,7,7238,0,
16,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1727,Imports,cuir bœuf en poil,Bordeaux,Angleterre,13570,livres,"0,3",4071,0,
17,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,cire jaune,Bordeaux,Angleterre,80,livres,"1,4",112,0,
18,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,charbon de terre,Bordeaux,Angleterre,145,tonneaux,200,29000,0,
19,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,fer en barres,Bordeaux,Angleterre,54150,livres,"0,16",8664,0,
20,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,huile de poisson,Bordeaux,Angleterre,15825,livres,"0,15","2373,75",0,
21,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,huile de navette,Bordeaux,Angleterre,1900,Livres,"0,27",513,0,
22,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,laine en suin,Bordeaux,Angleterre,5275,Livres,"0,45","2373,75",0,
23,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,lin paigné,Bordeaux,Angleterre,25,livres,"0,6",15,0,
24,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,merain à barrique,Bordeaux,Angleterre,1050,douelles,"0,155","162,44",0,à 250 Lt les 1616 Douelles
25,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,meubles à coutelier,Bordeaux,Angleterre,36,nombre,5,180,0,
26,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,suif,Bordeaux,Angleterre,677210,livres,"0,34","230251,4",0,
27,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,tabac de Virginie,Bordeaux,Angleterre,788250,Livres,"0,45","254712,5",-100000,erreur de calcul
28,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,bouteilles de verre,Bordeaux,Angleterre,253,douzaine,"2,4","607,2",0,
29,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,clouds de fer,Bordeaux,Angleterre,830,Livres,"0,3",249,0,
30,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,chandelles,Bordeaux,Angleterre,68040,Livres,"0,35",23814,0,
31,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,laine filée,Bordeaux,Angleterre,11680,Livres,"1,75",20440,0,
32,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,mercerie,Bordeaux,Angleterre,1680,Livres,3,5040,0,
33,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,papier,Bordeaux,Angleterre,200,rames,20,4000,0,
34,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,2,1726,Imports,Savon,Bordeaux,Angleterre,1990,livres,"0,2",398,0,
35,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,Avoine,Bordeaux,Hollande,800,boisseaux,"2,75",2200,0,
36,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,Beurre,Bordeaux,Hollande,37355,livres,"0,25","9338,75",0,25 Lt le quintal
37,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,bierre,Bordeaux,Hollande,206,barriques,25,5150,0,
38,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,cannelle,Bordeaux,Hollande,2377,Livres,4,9508,0,
39,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,confitures,Bordeaux,Hollande,175,Livres,"0,75","131,25",0,
40,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,cabilau,Bordeaux,Hollande,550,Livres,"0,15","82,5",0,
41,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,feves,Bordeaux,Hollande,320,boisseaux,"4,5",1440,0,
42,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,fromage,Bordeaux,Hollande,417650,livres,"0,28",116942,0,
43,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,geroffle,Bordeaux,Hollande,17524,Livres,6,105144,0,
44,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,harricots,Bordeaux,Hollande,1311,boisseaux,"9,5","12454,5",0,
45,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,harrans blancs,Bordeaux,Hollande,1587,barrils,25,39675,0,
46,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,Harrans sors,Bordeaux,Hollande,5,barrils,26,130,0,
47,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,légumes,Bordeaux,Hollande,5,setiers,8,40,0,
48,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,muscade,Bordeaux,Hollande,4580,livres,6,27480,0,
49,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,pois verts,Bordeaux,Hollande,264,boisseaux,12,3168,0,
50,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,poivre,Bordeaux,Hollande,255435,livres,"0,85",21711,"-195408,75",erreur de calcul
51,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,thé,Bordeaux,Hollande,2972,Livres,7,27804,7000,erreur de calcul
52,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,acier,Bordeaux,Hollande,19550,Livres,"0,3",5865,0,
53,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,arcenic,Bordeaux,Hollande,1525,Livres,"0,3","457,5",0,
54,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,amidon,Bordeaux,Hollande,5000,Livres,"0,22",1100,0,
55,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,azur gros,Bordeaux,Hollande,380,Livres,"0,45",171,0,à 45Lt le Quintal
56,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,allumettes à vin,Bordeaux,Hollande,1600,Livres,"0,25",400,0,
57,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,avirons,Bordeaux,Hollande,229,nombre,1,229,0,
58,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,borax,Bordeaux,Hollande,260,Livres,"2,75",715,0,
59,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,brun rouge,Bordeaux,Hollande,36875,Livres,"0,04",1475,0,
60,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,bourre de bœuf,Bordeaux,Hollande,14940,Livres,"0,06","896,4",0,
61,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,bois de santal,Bordeaux,Hollande,19900,Livres,"0,32",6368,0,
62,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,bois de sandal moulu,Bordeaux,Hollande,96475,Livres,"0,325","31354,38",0,
63,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,bois de teinture,Bordeaux,Hollande,259175,Livres,"0,36","38876,25","-54426,75",erreur de calcul
64,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,bois de geroffle,Bordeaux,Hollande,150,Livres,"2,25","337,5",0,
65,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,barriques en bottes,Bordeaux,Hollande,1373,bottes,1,1373,0,
66,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,3,1726,Imports,bourdilles,Bordeaux,Hollande,4886,pièce,"2,177",10638,"-0,87",270 Lt les 124 pièces
67,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,bourdillons à barriques,Bordeaux,Hollande,15620,pièce,"0,968","15116,63","0,5",
68,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,bourdillons à tierçons,Bordeaux,Hollande,25340,pièce,"0,605","15326,61",0,
69,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,bourdillons à barrils,Bordeaux,Hollande,2760,pièce,"0,363","1001,61",0,
70,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1727,Imports,Colle de poisson forte,Bordeaux,Hollande,10400,livres,"0,55",5720,0,
71,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,colle de poisson,Bordeaux,Hollande,530,Livres,"1,75","927,5",0,
72,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,cire blanche et jaune,Bordeaux,Hollande,130,Livres,"1,4",182,0,
73,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,cire blanche  ,Bordeaux,Hollande,430,livres,"1,75","752,5",0,
74,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,ceruze,Bordeaux,Hollande,32825,livres,"0,25","8206,25",0,
75,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,coupé rose verte,Bordeaux,Hollande,227400,livres,"0,08",18192,0,
76,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,cuivre rouge,Bordeaux,Hollande,33064,livres,"1,25",41330,0,erreur d'écriture sur l'original: 225 au lieu de 125 le quintal
77,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,caboches,Bordeaux,Hollande,95575,livres,"0,15",14336,"-0,25",
78,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,charbon de terre,Bordeaux,Hollande,"22,5",tonneaux,200,4500,0,"""22: Tonneaux 72 en 200 Lt"" ?"
79,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,crin,Bordeaux,Hollande,2430,Livres,"0,5",1215,0,
80,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,chevron de chesne de 18 pieds,Bordeaux,Hollande,325,nombre,4,1300,0,
81,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,chevron de sapin,Bordeaux,Hollande,100,nombre,2,200,0,
82,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,droguerie,Bordeaux,Hollande,10055,Livres,"2,5","25137,5",0,
83,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,etain,Bordeaux,Hollande,13300,livres,"1,15",15295,0,
84,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,eau forte,Bordeaux,Hollande,740,livres,"1,25","937,5","12,5",
85,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,fer en barres,Bordeaux,Hollande,170900,livres,"0,16",27344,0,
86,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,fer en taule,Bordeaux,Hollande,15125,livres,"0,3",3637,"-900,5",erreur de calcul (%)
87,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,gaudron,Bordeaux,Hollande,109,barrils,16,1744,0,
88,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,garance non robée,Bordeaux,Hollande,169050,Livres,"0,445",75227,"-0,25",
89,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,huile de navette,Bordeaux,Hollande,1113360,Livres,"0,27",300607,"-0,2",
90,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,lin peigné,Bordeaux,Hollande,29755,Livres,"0,6",17853,0,
91,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,lin en rame,Bordeaux,Hollande,12200,livres,"0,35",3920,-350,erreur de calcul
92,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,mini,Bordeaux,Hollande,14000,livres,"0,25",350,-3150,erreur de calcul
93,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,Mas de Navire,Bordeaux,Hollande,1,nombre,300,300,0,1 mas de 60 pieds
94,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,manches de gaffes,Bordeaux,Hollande,70,nombre,"2,083","145,83",0,25 Lt la douzaine
95,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,merain à pipes,Bordeaux,Hollande,30820,douelles,"0,155","4767,94",0,
96,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,merain à barriques,Bordeaux,Hollande,115075,douelles,"0,124","14241,95",0,
97,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,merain foutaille,Bordeaux,Hollande,29900,pièce,"0,083","2466,99","-0,01",
98,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,ocre,Bordeaux,Hollande,3600,livres,"0,04",144,0,
99,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,poix de Bourgogne,Bordeaux,Hollande,7425,livres,"0,25","1856,25",0,
100,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,plomb en saumon,Bordeaux,Hollande,66560,livres,"0,22",14643,"-0,2",
101,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,planches de chesne de 28 pieds de long,Bordeaux,Hollande,1384,nombre,6,8304,0,
102,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,4,1726,Imports,planches de sapin,Bordeaux,Hollande,26773,nombre,3,80319,0,
103,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,suif,Bordeaux,Hollande,18550,livres,"0,32",5936,0,
104,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,souffre,Bordeaux,Hollande,27360,livres,"0,14","3830,4",0,
105,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,soye de porc,Bordeaux,Hollande,60,Livres,"0,75",45,0,
106,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,soliveaus de chesne de 20 pieds,Bordeaux,Hollande,112,nombre,"4,5",504,0,
107,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,soliveau de sapin de 18 pieds,Bordeaux,Hollande,601,nombre,"1,75","1051,75",0,
108,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,tournesol,Bordeaux,Hollande,885,livres,"0,45","398,25",0,
109,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,teinture,Bordeaux,Hollande,18300,livres,"0,2",3660,0,
110,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,truffes de fer,Bordeaux,Hollande,16385,livres,"0,075",1228,"-0,88",
111,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,bottines,Bordeaux,Hollande,24,paires,10,240,0,
112,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,boëtes de sapin,Bordeaux,Hollande,10,boîtes,3,30,0,
113,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,bouteilles de verre,Bordeaux,Hollande,2052,nombre,"0,2","410,4",0,
114,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,couty,Bordeaux,Hollande,3533,aunes,"1,5","5299,5",0,
115,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,cordage,Bordeaux,Hollande,2760,livres,"0,18","496,8",0,
116,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,coffres de sapin peints,Bordeaux,Hollande,16,nombre,"8,75",140,0,
117,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,cabinets peints,Bordeaux,Hollande,7,nombre,20,140,0,
118,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,cabinets peints,Bordeaux,Hollande,125,nombre,10,1250,0,
119,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,cabarets peints,Bordeaux,Hollande,40,nombre,3,120,0,
120,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,chaise de paille,Bordeaux,Hollande,6,douzaine,36,216,0,
121,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,caves garnies,Bordeaux,Hollande,100,nombre,5,500,0,
122,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,canes a main,Bordeaux,Hollande,20,nombre,2,40,0,
123,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,cuivre ouvré,Bordeaux,Hollande,2380,livres,2,4760,0,
124,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,clouds de fer,Bordeaux,Hollande,99325,livres,"0,3","29797,5",0,
125,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,chandelles,Bordeaux,Hollande,3500,livres,"0,35",1225,0,
126,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,fils de laiton,Bordeaux,Hollande,16000,livres,"1,3",20800,0,
127,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,fil de fer passe perle,Bordeaux,Hollande,34325,livres,"0,45","15446,25",0,
128,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,fil de fer gros,Bordeaux,Hollande,67375,livres,"0,26","17517,5",0,
129,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,fer blanc,Bordeaux,Hollande,21,barrils,102,"512,5","-1629,5","""21 barrils à 102 : le barril à 100 Livres "" erreur de calcul"
130,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,fer de fonte ouvré,Bordeaux,Hollande,33275,Livres,"0,075","2495,63",0,
131,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,fléaux de fer,Bordeaux,Hollande,650,Livres,"0,5",325,0,
132,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,fayance,Bordeaux,Hollande,41060,Livres,"0,2",8212,0,
133,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,laine filée,Bordeaux,Hollande,500,livres,"1,75",875,0,
134,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,mercerie grosse,Bordeaux,Hollande,18608,livres,1,18608,0,
135,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,outils à tirer le vin,Bordeaux,Hollande,400,livres,1,400,0,
136,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,paravent,Bordeaux,Hollande,2,nombre,30,60,0,
137,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,peaux de signe apretées,Bordeaux,Hollande,2,douzaine,80,160,0,
138,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,peaux de roussy,Bordeaux,Hollande,800,livres,"1,4",1120,0,
139,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,papier blanc,Bordeaux,Hollande,808,rames,15,12120,0,
140,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,5,1726,Imports,pinceaux,Bordeaux,Hollande,450,douzaine,4,1800,0,
141,Paul Chevret,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées – 1726.csv,Local,6,1726,Imports,patins,Bordeaux,Hollande,1,douzaine,36,36,0,
