numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Bas de soye,Angleterre,"402,00",Douzaines,"120,0000000","48240,00","0,00",,,,
2,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Bazin,Angleterre,"1 041,00",Aunes,"3,0000000","3123,00","0,00",,,,
3,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Caffé des Isles,Angleterre,"74 921,00",Livres,"0,8000000","59936,80","0,00",,,,
4,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Confitures,Angleterre,"361,00",Livres,"1,0000000","361,00","0,00",,,,
5,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Cotonnille,Angleterre,"420,00",Aunes,"4,0000000","1680,00","0,00",,,,
6,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Eau de vie,Angleterre,"283,00",Barriques,"140,0000000","39620,00","0,00",,,,
7,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Indigo,Angleterre,"119 126,00",Livres,"5,5000000","655193,00","0,00",,,,
8,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Toille batiste,Angleterre,"684,00",Aunes,"6,0000000","4104,00","0,00",,,,
9,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Vin de haut,Angleterre,"319,00",tonneaux,"350,0000000","111650,00","0,00",,,,
10,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Vin de ville,Angleterre,"931,00",tonneaux,"1 000,0000000","931000,00","0,00",,,,
11,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Vinaigre,Angleterre,"37,00",tonneaux,"160,0000000","5920,00","0,00",,,,
12,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Caffé des Isles,Danemark,"1 091 086,00",Livres,"0,8000000","872868,80","0,00",,,,
13,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Eau de vie,Danemark,"1 396,00",Barriques,"140,0000000","195440,00","0,00",,,,
14,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Indigo,Danemark,"67 088,00",Livres,"5,5000000","368984,00","0,00",,,,
15,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,1,Pruneaux,Danemark,"93 800,00",Livres,"0,1000000","9380,00","0,00",,,,
16,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,2,Sucre blanc,Danemark,"3 318 980,00",Livres,"0,4000000","1327592,00","0,00",,,,
17,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,2,Sucre brut,Danemark,"737 765,00",Livres,"0,2500000","184441,25","0,00",,,,
18,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,2,Vin de haut,Danemark,"182,00",tonneaux,"250,0000000","45500,00","0,00",,,,
19,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,2,Vin de ville,Danemark,"577,00",tonneaux,"350,0000000","201950,00","0,00",,,,
20,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,2,Vinaigre,Danemark,"18,50",tonneaux,"160,0000000","2960,00","0,00",,,,
21,Demba,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1770.csv,Local,1770,Exports,Bordeaux,2,Cacao,Espagne,"142 093,00",Livres,"0,6000000","85255,00","-0,80",erreur calcul,,,
