numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Bœuf sallé,Angleterre,1201100,Livres,"0,1",120110,0,,,,
2,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Beurre,Angleterre,972041,Livres,"0,35","340214,35",0,,,,
3,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Chandelle,Angleterre,10255,Livres,"0,4",4102,0,,,,
4,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Charbon de terre,Angleterre,"91,5",Tonneaux,300,27450,0,,,,
5,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Cochon sallé,Angleterre,20400,Livres,"0,25",5100,0,,,,
6,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Merrain a barrique,Angleterre,"5,5",Milliers,280,1540,0,,,,
7,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Saumon salé,Angleterre,114710,Livres,"0,25","28677,5",0,,,,
8,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Suif,Angleterre,148085,Livres,"0,4",59234,0,,,,
9,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Tabac en feuille ,Angleterre,939940,Livres,"0,2",187988,0,,,,
10,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Baleine coupée,Danemark,245,Livres,3,735,0,,,,
11,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,1,Bourdillons,Danemark,"111,25",cent,120,13350,0,,,,
12,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Cabillau,Danemark,40000,Livres,"0,1",4000,0,,,,
13,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Dez de fer a coudre ,Danemark,500,Livres,"0,5",250,0,,,,
14,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Merrain a barrique,Danemark,"58,5",Milliers,350,20475,0,,,,
15,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Planches de sapin,Danemark,"1135,5",cent,130,147615,0,,,,
16,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Avirons brut,Espagne,638,traques,6,3828,0,,,,
17,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Beurre,Espagne,8545,Livres,"0,5","4272,5",0,,,,
18,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Bled froment,Espagne,600,Boisseaux,9,5400,0,,,,
19,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Bois de Campesche,Espagne,162000,Livres,"0,12",19440,0,,,,
20,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Cercle de bois,Espagne,240,faix,2,480,0,,,,
21,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Charbon de terre,Espagne,"3,5",Tonneaux,290,1015,0,,,,
22,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Citrons verds,Espagne,"69,5",Milliers,20,1390,0,,,,
23,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Fer en barre,Espagne,1657047,Livres,"0,17",281698,"0,01",erreur de calcul,,,
24,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Fer en feuillard,Espagne,590,Paquet,19,11210,0,,,,
25,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Fer en feuillard,Espagne,1104,faix,10,11040,0,,,,
26,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Fer plat,Espagne,15160,Livres,"0,17",25772,"23194,8",erreur de calcul,,,
27,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Fromage ,Espagne,3240,Livres,"0,35",1134,0,,,,
28,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Gomme lacque,Espagne,1510,Livres,4,6040,0,,,,
29,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Laine d'Espagne,Espagne,39538,Livres,2,79076,0,,,,
30,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1756.csv,Local,1756,Imports,Bordeaux,2,Maches de fer,Espagne,360067,Livres,"0,25","90016,75",0,,,,
