line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
29,Out,1827,,,,Exports,Jus de réglisse,,,195591,,195591,Kilo,1,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,129,195591,,,,Pierre Holegien,,,,,,,,,,,,
30,Out,1827,,,,Exports,Lichens médicinaux,,,1216,,4053,Kilo,.30000001,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,155,1216,,,,Pierre Holegien,,,,,,,,,,,,
31,Out,1827,,,,Exports,Manne,,,48391,,26884,Kilo,1.8,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,127,48391,,,,Pierre Holegien,,,,,,,,,,,,
32,Out,1827,,,,Exports,Médicaments composés ; Autres,,,1190410,,119041,Kilo,10,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,315,1190410,,,,Pierre Holegien,,,,,,,,,,,,
33,Out,1827,,,,Exports,Médicaments composés ; Eaux distillées,,,148770,,29754,Kilo,5,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,315,148770,,,,Pierre Holegien,,,,,,,,,,,,
34,Out,1827,,,,Exports,Opium,,,225952,,7061,Kilo,32,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,125,225952,,,,Pierre Holegien,,,,,,,,,,,,
35,Out,1827,,,,Exports,Racines ; Iris de Florence,,,9378,,5210,Kilo,1.8,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,141,9378,,,,Pierre Holegien,,,,,,,,,,,,
36,Out,1827,,,,Exports,Racines ; Jalap,,,20122,,6288,Kilo,3.2,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,139,20122,,,,Pierre Holegien,,,,,,,,,,,,
37,Out,1827,,,,Exports,Racines ; Rhubarbe,,,50015,,10003,Kilo,5,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,139,50015,,,,Pierre Holegien,,,,,,,,,,,,
38,Out,1827,,,,Exports,Racines ; Réglisse,,,89412,,198693,Kilo,.44999999,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,141,89412,,,,Pierre Holegien,,,,,,,,,,,,
39,Out,1827,,,,Exports,Racines non dénommées,,,197520,,65843,Kilo,3,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,143,197520,,,,Pierre Holegien,,,,,,,,,,,,
40,Out,1827,,,,Exports,Résineux exotiques ; Scammonée,,,17480,,437,Kilo,40,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,121,17480,,,,Pierre Holegien,,,,,,,,,,,,
41,Out,1827,,,,Exports,Salsepareille,,,70773,,23591,Kilo,3,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,137,70773,,,,Pierre Holegien,,,,,,,,,,,,
42,Out,1827,,,,Exports,Sangsues,,,5908,,196950,pièce,.029999999,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,57,5908,,,,Pierre Holegien,,,,,,,,,,,,
43,Out,1827,,,,Exports,Sels ammoniacaux,,,9480,,1934,Kilo,4.9017582,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,271,9480,,,,Pierre Holegien,,,,,,,,,,,,
44,Out,1827,,,,Exports,"Sels, sulfates ; de magnésie",,,9345,,10620,Kilo,.88,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,275,9345,,,,Pierre Holegien,,,,,,,,,,,,
45,Out,1827,,,,Exports,"Sels, sulfates ; de soude",,,83847,,279489,Kilo,.30000001,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,273,83847,,,,Pierre Holegien,,,,,,,,,,,,
46,Out,1827,,,,Exports,Térébenthine ; compacte,,,61849,,309248,Kilo,.2,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,117,61849,,,,Pierre Holegien,,,,,,,,,,,,
47,Out,1827,,,,Exports,Térébenthine ; essence,,,648168,,925955,Kilo,.69999999,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,119,648168,,,,Pierre Holegien,,,,,,,,,,,,
48,Out,1827,,,,Exports,Térébenthine ; liquide,,,451,,3004,Kilo,.15000001,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,119,451,,,,Pierre Holegien,,,,,,,,,,,,
