dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,direction,marchandises,pays,value,probleme,remarks
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Constantinople,3753360,-3753360,10 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Smirne,2354957,-2354957,21 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Alexandrette,2448630,-2448630,7 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Seydes,2475052,-2475052,21 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Tripoly de Syrie,578760,-578760,1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Chypres,415987,-415987,1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Egypte,2659324,-2659324,9 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Salonique,598319,-598319,11 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Archypel,1992903,-1992903,66 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Morée,375989,-375989,12 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Candie,797572,-797572,30 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Barbarie,914368,-914368,28 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Constantinople,483302,-483302,4 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Smirne,462259,-462259,3 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Alexandrette,163060,-163060,1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Seydes,1323150,-1323150,12 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Tripoly de Syrie,63662,-63662,1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Chypres,4950,-4950,1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Egypte,1949624,-1949624,10 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Salonique,113113,-113113,2 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Archypel,672934,-672934,24 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Morée,185490,-185490,6 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Candie,684546,-684546,14 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Barbarie,176581,-176581,19 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Constantinople,23480,-23480,1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Smirne,187526,-187526,2 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Alexandrette,587425,-587425,6 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Seydes,326234,-326234,11 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Tripoly de Syrie,48272,-48272,1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Chypres,61242,-61242,1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Egypte,520287,-520287,5 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Salonique,86162,-86162,4 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Archypel,1043834,-1043834,45 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Morée,178360,-178360,8 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Candie,323582,-323582,7 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Barbarie,43993,-43993,7 batiments
