numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Bas de soye,Angleterre,402,Douzaines,120,48240,0,,,,
2,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Bazin,Angleterre,1041,Aunes,3,3123,0,,,,
3,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Caffé des Isles,Angleterre,74921,Livres,"0,8","59936,8",0,,,,
4,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Confitures,Angleterre,361,Livres,1,361,0,,,,
5,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Cotonnille,Angleterre,420,Aunes,4,1680,0,,,,
6,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Eau de vie,Angleterre,283,Barriques,140,39620,0,,,,
7,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Indigo,Angleterre,119126,Livres,"5,5",655193,0,,,,
8,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Toille batiste,Angleterre,684,Aunes,6,4104,0,,,,
9,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Vin de haut,Angleterre,319,tonneaux,350,111650,0,,,,
10,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Vin de ville,Angleterre,931,tonneaux,1000,931000,0,,,,
11,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Vinaigre,Angleterre,37,tonneaux,160,5920,0,,,,
12,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Caffé des Isles,Danemark,1091086,Livres,"0,8","872868,8",0,,,,
13,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Eau de vie,Danemark,1396,Barriques,140,195440,0,,,,
14,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Indigo,Danemark,67088,Livres,"5,5",368984,0,,,,
15,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,1,Pruneaux,Danemark,93800,Livres,"0,1",9380,0,,,,
16,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,2,Sucre blanc,Danemark,3318980,Livres,"0,4",1327592,0,,,,
17,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,2,Sucre brut,Danemark,737765,Livres,"0,25","184441,25",0,,,,
18,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,2,Vin de haut,Danemark,182,tonneaux,250,45500,0,,,,
19,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,2,Vin de ville,Danemark,577,tonneaux,350,201950,0,,,,
20,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,2,Vinaigre,Danemark,"18,5",tonneaux,160,2960,0,,,,
21,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,2,Cacao,Espagne,142093,Livres,"0,6",85255,"-0,8",erreur calcul,,,
22,Demba,AD33 C4388,Out/Bordeaux - Sorties – 1770 – bis.csv,Local,1770,Exports,Bordeaux,2,Caffé des Isles,Espagne,38230,Livres,"0,8",30584,0,,,,
