marchandises,marchandises_normalisees_inter,marchandises_normalisees,product_prix,dutchtranslation,englishproduct,unit,alternativenames,source_rg_1774,source_rgbase,source_france,source_sound,source_hambourg,v14,v15,remarques,nbr_lignes_fr,nbr_lignes_hambourg
,???,???,,,,,,,,1,,,,,,2205,
.,???,???,,,,,,,,,,,,,,,
"//////Betes de somme, principalement en mules et mulets",Bêtes de somme ; mules et mulets,Bêtes de somme ; mules et mulets,,,,,,0,0,1,,,,,,5,
"//////Betes,principalement en mules et mulets",Bêtes de somme ; mules et mulets,Bêtes de somme ; mules et mulets,,,,,,0,0,1,,,,,,6,
//////Passementerie,Passementerie,Passementerie,,,,,,0,0,1,,,,,,1,
///Articles réunis///D'une valeur moindre de 2000 fr chacun,Divers ; d'une valeur moindre de 2000 francs chacun,Marchandises,,,,,,0,0,1,,,,,,63,
///Articles réunis///D'une valeur moindre de 2000 francs chacun,Divers ; d'une valeur moindre de 2000 francs chacun,Marchandises,,,,,,0,0,1,,,,,,42,
///Betes de somme///Anes,Bêtes de somme ; ânes,Bêtes de somme ; ânes,,,,,,0,0,1,,,,,,1,
///Betes de somme///Chevaux,Bêtes de somme ; chevaux,Bêtes de somme ; chevaux,,,,,,0,0,1,,,,,,8,
///Betes de somme///Cheveaux,Bêtes de somme ; chevaux,Bêtes de somme ; chevaux,,,,,,0,0,1,,,,,,7,
///Betes de somme///Mulets,Bêtes de somme ; mulets,Bêtes de somme ; mulets,,,,,,0,0,1,,,,,,3,
///Bêtes de Somme///Anes,Bêtes de somme ; ânes,Bêtes de somme ; ânes,,,,,,0,0,1,,,,,,1,
///Bêtes de Somme///Chevaux,Bêtes de somme ; chevaux,Bêtes de somme ; chevaux,,,,,,0,0,1,,,,,,6,
"///Bêtes de Somme///Mules, mulets et chevaux","Bêtes de somme ; mules, mulets et chevaux","Bêtes de somme ; mules, mulets et chevaux",,,,,,0,0,1,,,,,,4,
///Bêtes de Somme///Mulets,Bêtes de somme ; mulets,Bêtes de somme ; mulets,,,,,,0,0,1,,,,,,1,
///Drogues Diverses///Drogues réunies,Drogues ; Drogues réunies ; Diverses,Drogue ; Réunies ; Diverses,,,,,,0,0,1,,,,,,17,
///Drogues Diverses///Gommes diverses,Drogues ; Gommes ; Diverses,Gomme ; diverse,,,,,,0,0,1,,,,,,12,
///Drogues Diverses///Sels chimiques,Drogues ; chimiques ; Sel divers,Drogue ; chimique ; Sel divers,,,,,,0,0,1,,,,,,6,
///Drogues Médicinales///Drogues médicinales réunies,Drogues ; médicinales ; Réunies,Drogue ; médicinale ; Réunies,,,,,,0,0,1,,,,,,17,
///Drogues Médicinales///Drogues réunies,Drogues ; médicinales ; Réunies,Drogue ; médicinale ; Réunies,,,,,,0,0,1,,,,,,16,
///Drogues Médicinales///Ipécacuanha,Drogues ; médicinales ; Ipécacuana,Drogue ; médicinale ; Ipécacuana,,,,,,0,0,1,,,,,,4,
///Drogues Médicinales///Jus de réglisse,Drogues ; médicinales ; Jus de réglisse,Drogue ; médicinale ; Jus de réglisse,,,,,,0,0,1,,,,,,5,
///Drogues Médicinales///Manne,Drogues ; médicinales ; Manne,Drogue ; médicinale ; manne,,,,,,0,0,1,,,,,,4,
///Drogues Médicinales///Quinquina,Drogues ; médicinales ; Quinquina,Drogue ; médicinale ; quinquina,,,,,,0,0,1,,,,,,6,
///Drogues Médicinales///Safran,Drogues ; médicinales ; Safran,Drogue ; safran,,,,,,0,0,1,,,,,,5,
///Drogues Médicinales///Salsepareille,Drogues ; médicinales ; Salsepareille,Drogue ; médicinale ; Salsepareille,,,,,,0,0,1,,,,,,2,
///Drogues Médicinales///Séné,Drogues ; médicinales ; Séné,Drogue ; médicinale ; séné,,,,,,0,0,1,,,,,,4,
///Drogues diverses///Drogues diverses réunies,Drogues ; Drogues réunies ; Diverses,Drogue ; Réunies ; Diverses,,,,,,0,0,1,,,,,,45,
///Drogues diverses///Drogues réunies,Drogues ; Drogues réunies ; Diverses,Drogue ; Réunies ; Diverses,,,,,,0,0,1,,,,,,16,
///Drogues diverses///Gommes diverses,Drogues ; Gommes ; Diverses,Gomme ; diverse,,,,,,0,0,1,,,,,,43,
///Drogues diverses///Huile et essence de Térébenthine,Drogues ; Huile et essence de Térébenthine ; Diverses,Drogue ; térébenthine ; essence et huile,,,,,,0,0,1,,,,,,6,
///Drogues diverses///Huile et essence de térébenthine,Drogues ; Huile et essence de Térébenthine ; Diverses,Drogue ; térébenthine ; essence et huile,,,,,,0,0,1,,,,,,18,
///Drogues diverses///Sels chimiques,Drogues ; chimiques ; Sel divers,Drogue ; chimique ; Sel divers,,,,,,0,0,1,,,,,,9,
///Drogues midicinales///Drogues réunies,Drogues ; médicinales ; Réunies,Drogue ; médicinale ; Réunies,,,,,,0,0,1,,,,,,11,
///Drogues midicinales///Ipécacuanha,Drogues ; médicinales ; Ipécacuana,Drogue ; médicinale ; Ipécacuana,,,,,,0,0,1,,,,,,1,
///Drogues midicinales///Jus de réglisse,Drogues ; médicinales ; Jus de réglisse,Drogue ; médicinale ; Jus de réglisse,,,,,,0,0,1,,,,,,3,
///Drogues midicinales///Manne,Drogues ; médicinales ; Manne,Drogue ; médicinale ; manne,,,,,,0,0,1,,,,,,3,
///Drogues midicinales///Quinquina,Drogues ; médicinales ; Quinquina,Drogue ; médicinale ; quinquina,,,,,,0,0,1,,,,,,2,
///Drogues midicinales///Safran,Drogues ; médicinales ; Safran,Drogue ; safran,,,,,,0,0,1,,,,,,2,
///Drogues midicinales///Salsepareille,Drogues ; médicinales ; Salsepareille,Drogue ; médicinale ; Salsepareille,,,,,,0,0,1,,,,,,2,
///Drogues midicinales///Sené,Drogues ; médicinales ; Séné,Drogue ; médicinale ; séné,,,,,,0,0,1,,,,,,4,
///Drogues médicinales///Drogues médicinales réunies,Drogues ; médicinales ; Diverses,Drogue ; médicinale ; Diverses,,,,,,0,0,1,,,,,,29,
///Drogues médicinales///Drogues réunies,Drogues ; médicinales ; Diverses,Drogue ; médicinale ; Diverses,,,,,,0,0,1,,,,,,12,
///Drogues médicinales///Ipécacuanha,Drogues ; médicinales ; Ipécacuana,Drogue ; médicinale ; Ipécacuana,,,,,,0,0,1,,,,,,1,
///Drogues médicinales///Jus de réglisse,Drogues ; médicinales ; Jus de réglisse,Drogue ; médicinale ; Jus de réglisse,,,,,,0,0,1,,,,,,5,
///Drogues médicinales///Manne,Drogues ; médicinales ; Manne,Drogue ; médicinale ; manne,,,,,,0,0,1,,,,,,3,
///Drogues médicinales///Quinquina,Drogues ; médicinales ; Quinquina,Drogue ; médicinale ; quinquina,,,,,,0,0,1,,,,,,10,
///Drogues médicinales///Safran,Drogues ; médicinales ; Safran,Drogue ; safran,,,,,,0,0,1,,,,,,16,
///Drogues médicinales///Salsepareille,Drogues ; médicinales ; Salsepareille,Drogue ; médicinale ; Salsepareille,,,,,,0,0,1,,,,,,2,
///Drogues médicinales///Séné,Drogues ; médicinales ; Séné,Drogue ; médicinale ; séné,,,,,,0,0,1,,,,,,3,
///Industrie Etrangère///Articles réunis,Industrie étrangère ; Articles ; réunis,Industrie étrangère ; divers,,,,,,0,0,1,,,,,,18,
///Industrie Etrangère///Bouchons de liège,Bouchons ; de liège,Bouchons ; de liège,,,,,,0,0,1,,,,,,1,
///Industrie Etrangère///Colles de toute sorte,Colles ; de toute sorte,Colle,,,,,,0,0,1,,,,,,4,
///Industrie Etrangère///Faience et poterie,Faïence et poterie,Ouvrage ; de poterie et faïence,,,,,,0,0,1,,,,,,2,
///Industrie Etrangère///Habillement et lingerie,Habillements et lingerie,Habit et lingerie,,,,,,0,0,1,,,,,,5,
///Industrie Etrangère///Horlogeries,Horlogerie,Horlogerie,,,,,,0,0,1,,,,,,3,
///Industrie Etrangère///Librairie,Librairie,Librairie,,,,,,0,0,1,,,,,,6,
///Industrie Etrangère///Marbres,Marbre,Marbre,,,,,,0,0,1,,,,,,3,
///Industrie Etrangère///Merceries,Mercerie,Mercerie,,,,,,0,0,1,,,,,,8,
///Industrie Etrangère///Meubles et miroirs,Meubles et miroirs,Meuble et miroir,,,,,,0,0,1,,,,,,4,
///Industrie Etrangère///Ouvrages de jonc,Ouvrage ; de joncs,Ouvrage ; de jonc,,,,,,0,0,1,,,,,,3,
///Industrie Etrangère///Ouvrages divers,Ouvrage ; Divers,Ouvrage ; divers,,,,,,0,0,1,,,,,,11,
///Industrie Etrangère///Peaux et pelleteries,Peaux et pelleteries,Pelleterie,,,,,,0,0,1,,,,,,17,
///Industrie Etrangère///Plumes d'autruche,Plumes ; d'autruche,Plume ; d'autruche,,,,,,0,0,1,,,,,,2,
///Industrie Etrangère///Plumes de toute sorte,Plumes ; de toute sorte,Plume ; divers,,,,,,0,0,1,,,,,,3,
///Industrie Etrangère///Plumes à écrire,Plumes ; à écrire,Plume ; à écrire,,,,,,0,0,1,,,,,,4,
///Industrie Etrangère///Quincailleries diverses,Quincaillerie ; Diverse,Quincaillerie,,,,,,0,0,1,,,,,,9,
///Industrie Etrangère///Savons,Savon,Savon,,,,,,0,0,1,,,,,,3,
///Industrie Etrangère///Voitures,Voitures,Voiture,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Articles d'industrie réunis,Articles ; d'industrie ; réunis,Industrie ; divers,,,,,,0,0,1,,,,,,21,
///Industrie Générale///Bijouterie,Bijouterie,Bijouterie,,,,,,0,0,1,,,,,,6,
///Industrie Générale///Bougie,Bougie,Bougie,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Cauris,Cauris,Cauris,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Chandelles,Chandelles,Chandelle,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Cordages,Cordage,Cordage,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Dorures fines,Dorure ; fine,Dorure ; fine,,,,,,0,0,1,,,,,,6,
///Industrie Générale///Esprit de vin,Esprit ; de vin,Esprit ; de vin,,,,,,0,0,1,,,,,,3,
///Industrie Générale///Faience et poterie,Faïence et poterie,Ouvrage ; de poterie et faïence,,,,,,0,0,1,,,,,,5,
///Industrie Générale///Gants de peau,Gants ; de peaux,Gants ; de peaux,,,,,,0,0,1,,,,,,8,
///Industrie Générale///Habillements et lingeries,Habillements ; et lingerie,Habit et lingerie,,,,,,0,0,1,,,,,,7,
///Industrie Générale///Horlogerie,Horlogerie,Horlogerie,,,,,,0,0,1,,,,,,6,
///Industrie Générale///Jeux de voiles,Jeux ; de voiles,Jeux ; de voiles,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Librairie,Librairie,Librairie,,,,,,0,0,1,,,,,,14,
///Industrie Générale///Marchandises des indes,Marchandises ; des Indes,Marchandises ; des Indes,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Merceries,Mercerie,Mercerie,,,,,,0,0,1,,,,,,17,
///Industrie Générale///Meubles et glaces,Meubles et miroirs,Meuble et miroir,,,,,,0,0,1,,,,,,10,
///Industrie Générale///Ouvrages de cruivre doré et argenté,Ouvrage ; de cuivre ; Doré et argenté,Ouvrage ; de cuivre,,,,,,0,0,1,,,,,,4,
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie,Ouvrage ; de cuir ; en cordonnerie et sellerie,Ouvrage ; de cuir ; cordonnerie et sellerie,,,,,,0,0,1,,,,,,2,
///Industrie Générale///Ouvrages de modes et fleurs artificielles,Ouvrage ; de modes ; En fleurs artificielles,Ouvrage ; de mode ; fleurs artificielles,,,,,,0,0,1,,,,,,8,
///Industrie Générale///Ouvrages divers en bois et futailles vuides,Ouvrage ; Divers ; en bois et futailles vides,Ouvrage ; divers ; en bois et futailles vides,,,,,,0,0,1,,,,,,5,
///Industrie Générale///Ouvrages en terre cuite,Ouvrage ; de terre cuite,Ouvrage ; de terre cuite,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Papiers pour tenture,Papier ; à tenture,Papier ; à tenture,,,,,,0,0,1,,,,,,8,
///Industrie Générale///Papiers à écrire,Papier ; à écrire,Papier ; à écrire,,,,,,0,0,1,,,,,,15,
///Industrie Générale///Parasols,Parasols,Parasols,,,,,,0,0,1,,,,,,1,
///Industrie Générale///Parfumerie,Parfumerie,Parfumerie,,,,,,0,0,1,,,,,,15,
///Industrie Générale///Passementerie,Passementerie,Passementerie,,,,,,0,0,1,,,,,,2,
