marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound	v14	v15	remarques	test	numrodeligne	dataentryby	source	SourceType	year	exportsimports	direction	bureaux	sheet	origine	pays	quantit	value	leurvaleursubtotal1	leurvaleursubtotal2	leurvaleursubtotal3	total	remarks
																			Romano1957+Velde+IIHS-128	Tableau Général	1774	Exports					suede		7.7e+06					
?	???	???										1				1	20	Jérémy Hervelin	AN F12 1666	Par direction	1789	Exports	Rouen	Rouen	14		angleterre	159410	41447				41447	
? ; diverses	???	???									1					1	683	Fatima Zahra	AN F12 251	Résumé	1787	Exports			11		Royaume d'Espagne		1.4e+06		1463600			
? et lances/piquets	???	???										1				1	483	Fatima Zahra	AN F12 251	Résumé	1788	Exports			4		Royaume de Prusse		22000					
?? (le douzaine)	???	???										1				1	938	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Empire d'Autriche		9000				39000	
???	???	???										1				1	687	Fatima Zahra	AN F12 251	Résumé	1788	Imports			14		Etats de Rome		51300				2176600	
.	???	???									1					1	995	Fatima Zahra	AN F12 251	Résumé	1788	Exports			7		République de Venise		59400				3223300	
//////Betes de somme, principalement en mules et mulets	Bêtes de somme ; mules et mulets	Bêtes de somme ; mules et mulets						0	0	1	0					1	562	Fatima Zahra	AN F12 251	Résumé	1787	Imports			5		Royaume de Sardaigne		6900				6900	
//////Betes,principalement en mules et mulets	Bêtes de somme ; mules et mulets	Bêtes de somme ; mules et mulets						0	0	1	0					1	564	Fatima Zahra	AN F12 251	Résumé	1787	Imports			4		Royaume de Prusse		67600				2983400	
//////Passementerie	Passementerie	Passementerie						0	0	1	0					1	407	Fatima Zahra	AN F12 251	Résumé	1788	Imports			11		Hollande		83200				2648300	
///Articles réunis///D'une valeur moindre de 2000 fr chacun	Divers ; d'une valeur moindre de 2000 francs chacun	Marchandises						0	0	1	0					1	415	Fatima Zahra	AN F12 251	Résumé	1788	Imports			12		Empire d'Autriche		231500				475700	
///Articles réunis///D'une valeur moindre de 2000 francs chacun	Divers ; d'une valeur moindre de 2000 francs chacun	Marchandises						0	0	1	0					1	436	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		?						2025000	
///Betes de somme///Anes	Bêtes de somme ; ânes	Bêtes de somme ; ânes						0	0	1	0					1	437	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Royaume de Prusse		22000				2025000	
///Bêtes de Somme///Anes	Bêtes de somme ; ânes	Bêtes de somme ; ânes						0	0	1	0					1	496	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Angleterre		87000				990000	
///Betes de somme///Chevaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux						0	0	1	0					1	443	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Royaume de Sardaigne		164000				164000	
///Bêtes de Somme///Chevaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux						0	0	1	0					1	976	Fatima Zahra	AN F12 251	Résumé	1787	Imports			7		Royaume de portugal		1500				656100	
///Betes de somme///Cheveaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux						0	0	1	0					1	947	Fatima Zahra	AN F12 251	Résumé	1787	Imports			6		Etats-Unis d'Amérique		19800				2581400	
///Bêtes de Somme///Mules, mulets et chevaux	Bêtes de somme ; mules, mulets et chevaux	Bêtes de somme ; mules, mulets et chevaux						0	0	1	0					1	958	Fatima Zahra	AN F12 251	Résumé	1787	Imports			6		Hollande		20300				116600	
///Betes de somme///Mulets	Bêtes de somme ; mulets	Bêtes de somme ; mulets						0	0	1	0					1	1010	Fatima Zahra	AN F12 251	Résumé	1789	Exports			13		Royaume de Danemark		9000				1014000	
///Bêtes de Somme///Mulets	Bêtes de somme ; mulets	Bêtes de somme ; mulets						0	0	1	0					1	933	Fatima Zahra	AN F12 251	Résumé	1787	Imports			6		Republique de suisse		4400				1207900	
///Drogues diverses///Drogues diverses réunies	Drogues ; Drogues réunies ; Diverses	Drogue ; Drogue réunies ; Diverses						0	0	1	0					1	915	Fatima Zahra	AN F12 251	Résumé	1787	Imports			6		République de genes		13200				36500	
///Drogues Diverses///Drogues réunies	Drogues ; Drogues réunies ; Diverses	Drogue ; Drogue réunies ; Diverses						0	0	1	0					1	920	Fatima Zahra	AN F12 251	Résumé	1787	Imports			6		Republique de Genes		12200				117500	
///Drogues diverses///Drogues réunies	Drogues ; Drogues réunies ; Diverses	Drogue ; Drogue réunies ; Diverses						0	0	1	0					1	907	Fatima Zahra	AN F12 251	Résumé	1787	Imports			6		Milanes et toscane		34300				610700	
///Drogues Diverses///Gommes diverses	Drogues ; Gommes ; Diverses	Gomme ; diverse						0	0	1	0					1	998	Fatima Zahra	AN F12 251	Résumé	1789	Exports			13		Hollande		38000				86000	
///Drogues diverses///Gommes diverses	Drogues ; Gommes ; Diverses	Gomme ; diverse						0	0	1	0					1	1002	Fatima Zahra	AN F12 251	Résumé	1789	Exports			13		République de Suisse		9000				78000	
///Drogues diverses///Huile et essence de Térébenthine	Drogues ; Huile et essence de Térébenthine ; Diverses	Drogue ; térébenthine ; essence et huile						0	0	1	0					1	928	Fatima Zahra	AN F12 251	Résumé	1787	Imports			6		Royaume d'Espagne		72600				144800	
