marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,Classification produits médicinaux,Répétition,remarques_marchandises,Column1,Wallis List,EXCLUSION, not medical primarily,Nom Wallis,Large,Narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,,,,,,,,,,,,,
Acorus,Acorus,2,2,1,0,Savary, volume 1, 1748 : « La racine de l'acorus est de quelque usage dans la médecine étant un des ingrédients qui entrent dans la composition du Thériaque. Les parfumeurs en emploient aussi beaucoup »,,1,0,Acorus,0,1,,,2,,,,,,,,,,,,,,,
Agaric,Agaric,5,5,1,0,Savary, volume 1, 1748 : Sorte de champignon. Trois sortes, l'agaric mâle (colorant), femelle et faux (pas d'utilité). A propos de l'agaric femelle : « est le plus estimé car il a beaucoup d'usage dans la médecine ». Selon Rober J James, Dictionnaire universel de la médecine,1746, c'est un purgatif très fort ou un moyen de guérir les blessures,,1,0,Agaric,0,1,5,5,30,,,,,,,,,,
Ails,Ails,0,0a,1,0,Selon Robert J James, Dictionnaire universel de la médecine,1746, « échauffent & atténuent le sang […] fortifient les vicères […] et est un excellent remède contre la collique. […] contre l'asthme et les maladies respoiratoires »,,0,,,0,1,,,34,,,,,,,,,,,,,,
Alun ; de fer,Alun,2,2,1,0,Mineral, used in medicine and dyeing (as a mordant),,1,1,Alum Roche,1,0,,,1,Alun,Alun,,,,,,,,,,,,,,
Amadou,Amadou,5,5,1,0,Agaric (Grieve Herbal: B. chirurgorum (SURGEON'S AGARIC, OAK AGARIC, PUNK, TOUCHWOOD) is the product of P. fomentarius, which is found upon the oak and beech trees of Europe and is a very different substance, its uses being mechanical, as tinder, and to staunch bleeding.  ... used to be found here in tobacconists' shops under the name of Amadou or German tinder.),,1,0,Agaric,0,1,,,27,,,,,,,,,,
Amandes et vert-de-gris,Marchandises diverses,mixed,mixed,1,0,Vert-de-Gris : colorant ou poison,1,1,1,Verdigrease,1,0,,,0,,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,,,,,,,,,,,
Ambre ; brut,Ambre,2,2,1,0,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,1,0,Carrabe,0,1,2,2,0,,,,,,,,,,,,,,,,,
Ambre ; gris,Ambre,2,2,1,0,"Wallis : primarily perfumery; waxy substance secreted by the sperm whale and found
floating at sea or washed ashore; used in perfume",,1,0,Ambergrease,0,1,,,8,,,,,,,,,,,,,,,,,
Ambre ; jaune,Ambre,2,2,1,0,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,1,0,Carrabe,0,1,,,23,,,,,,,,,,,,,,,,,
Ambre ; Karabé,Ambre,2,2,1,0,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,1,0,Carrabe,0,1,,,107,,,,,,,,,,,,,,,,,
Amomum,Amomum,2,2,1,0,Savary, volume 1, 1748 : «Espèce de fruit que l'on rapporte des Indes […]. L'Amomium qu'on compte parmi les drogues qui servent à la Médecine & qui entre particulièrement dans la composition de la Thériaque... »,,1,1,Amomi Semen,1,0,,,0,,,,,,,,,,,,,,,
Anacardes,Anacardes,2,2,1,0,Savary, volume 1, 1748 : «Espèce de sèves qui sont rapportées des grandes Indes […] ces sortes de sèves sont de quelque usage en Médecine étant un bon purgatif... »,,1,0,Anacardium,0,1,,,2,,,,,,,,,,,,,,,
Angélique,Angélique,2,2,1,0,Savary, volume 1, 1748 : «Qu'on appelle aussi Archangelic ou Racine du S. Esprit,Angelica en latin ou Radix Siriaca. Plante médicinale fort estimée à cause des vertus qu'on lui croit contre les poisons, qui la fait entrer dans la composition du Thériaque »,,1,0,Angelica,0,1,,,1,,,,,,,,,,,,,
Antimoine,Antimoine,6,6,1,0,Savary, volume 1, 1748 : « Minéral qui approche fort de la nature des métaux, […] est d'un grand usage soit dans la fonte des métaux, dans la médecine et chez les Maréchaux. […] l'Antimoine, qui ne trouve plus d'adversaire et qui est devenu le remède de toutes les maladies qui paraissent ne plus en avoir ». Effet très puissant, pas toujours prévisible, purgatif…,1,1,0,Stibium,0,1,,,11,,,,,,,,,,
Argent ; vif,Mercure,5,5,1,0,"Savary, volume 3, 1748 : Base du Sublimé « Préparation chimique dont la base est le mercure ou le vif d'argent ; il y en a de deux sortes, de corrosif et de doux. […] réduit en poudre il tire sur le jaune. Il est bon pour faire mourir les vers des enfants et l'on s'en sert aussi dans ces maladies dont le mercure est le souverain remède »",1,1,1,Quicksilver ou Argentum Vivum,1,0,,,22,,,,,,,,,,,,,,,,,
Aristoloche,Aristoloche,2,2,1,0,Savary, volume 1, 1748 : « Plante qui rentre dans la composition du Thériaque »,1,1,0,Aristolochia,0,1,,,3,,,,,,,,,,,,,,,
Asphalte,Asphalte,2,2,1,0,Liste Wallis: Appears in 1773 re exp out of time,1,1,0,Lignum Asphaltum,0,1,,,22,,,,,,,,,,,,,,,,,
Assa fétide,Assa fétide,2,2,1,0,Drapiez, Dictionnaire classique des sciences naturelles, volume 1 : Sève, « L'assa Foetida est employée en médecine comme anti-spasmodique ».,,1,0,Assafoetida,0,1,,,1,,,,,,,,,,,,,,
Baies ; de genièvre,Baies,0,0a,1,0,Wikipédia : Utilisé pour alimentation ou médecine. « Seuls le genévrier commun (Juniperus communis) et le genévrier cade (Juniperus oxycedrus) sont comestibles. Les baies, les jeunes pousses mais surtout les cônes, préparées en infusion, ont des effets diurétiques, stomachiques et digestifs. Ils auraient été utilisés contre l'asthme. » ,,1,1,Juniper Berries,1,0,,,0,,,,,,,,,,,,,
Barbotines,Barbotines,2,2,1,0,Savary, volume 1, 1748 : Ou Semen Contra « Graine qui sert à faire mourir les vers qui s'engendrent dans le corps humain, auxquels surtout les enfants sont fort sujets »,1,1,0,Radix Contra Yerva,0,1,,,35,,,,,,,,,,,,,,
Baume,Baume,5,5,1,0,Savary, volume 1, 1748 : « Espèce de gomme de grande réputation en Médecine & en Chirurgie […] remède souverain pour la guérison des plaies, & de quantité de maladies. »,,1,0,Balsalum,0,1,5,5,33,,,,,,,,,,,,,,
Baume ; de copabu,Baume,5,5,1,0,"Savary, volume 1, 1748 : « On tire du Benjoin des fleurs blanches propres pour les asthmatiques ; et une huile, qui est une espèce de baume pour les plaies. » + purgatif. Utilisé également en teinture",1,1,0,Balsam Capivia,0,1,,,5,,,,,,,,,,,,,,,,,
Baume ; de la Mecque,Baume,5,5,1,0,Savary, volume 1, 1748 : « Les deux principaux usages du baume blanc sont, l'un pour la santé et l'autre pour la beauté. C'est ce dernier qui proprement met le prix à cette liqueur […] pour l'embellissement du teint des Dames. »,,1,0,Balsam, Gilead,0,1,,,1,,,,,,,,,,,,,
Baume ; laque,Baume,5,5,1,0,,,0,,,1,0,,,196,,,,,,,,,,,,,,,,,
Baye ; de laurier,Baye ; de laurier,2,2,1,0,Cf. P.H.Wallis  : Bay = Laurus. Grieve: The dried, black, aromatic berries come from Provence, Spain, Italy and Morocco.,1,1,0,Bayberries,0,1,,,12,,,,,,,,,,,,,
Baye de laurier,Bate de laurier,0,0a,1,0,Cf. P.H.Wallis  : Bay = Laurus. Grieve: The dried, black, aromatic berries come from Provence, Spain, Italy and Morocco.,1,1,0,Bayberries,0,1,,,10,,,,,,,,,,,,,
Beaume et elixir,Baume,5,5,1,0,beaume de toute espece,,0,,,0,1,5,5,1,,,,,,,,,,,,,,,,,
Bézoard,Bézoard,2,2,1,0,Savary, volume 1, 1748 : « Pierre médicinale qu'on estime un souverain contre poison & un cardiaque excellent. On le donne aussi contre les vertiges, l'épilepsie, le palpitation au coeur, la colique »,,1,0,Bezoar Stone (W Indies),0,1,,,18,,,,,,,,,,,,
Bitume ; de Judée,Bitume ; de Judée,5,5,1,0,Wallis List : in 1725 additional rate book: easily read as Indiacum,,1,0,Bitumen Judiacum,0,1,,,3,,,,,,,,,,,,,,,,,
Blanc ; de baleine,Blanc,5,5,1,0,"Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : « Matière grasse, solide […] Le Blanc de Baleine est employé en pharmacie dans la préparation de quelques topiques gras ;  on en fait usage dans les arts pour la confection de bougies translucides. »",,0,,,1,0,,,67,Blanc ; de baleine,Blanc ; de baleine,,,,,,,,,,,,,,,
Bois ; de gayac,Bois,2,2,1,0,Pierre Hubert Nysten, Isidore Bricheteau, Ossian Henry, Joseph Briand, Dictionnaire de médecin, de chirurgie, de pharmacie, des sciences accessoires et de l'art vétérinaire, 8ème édition, 1840 : «GAYAC, ou GAÏAC ou GUAJACUM OFFICINALE est un arbre de la famille des rutacées. » Avec la résine, on fabrique leremède des Caraïbes contre la goutte. On traite également la syphilis (Wikipedia),1,1,0,Lignum Vite,0,1,,,141,,Bois ; de Pernambouc,,,,
Bois ; de rose,Bois,2,2,1,1,Cf. P.H.Wallis  : An oil yielded by such plants, used in herbal medicine,1,1,0,Lignum rhodium,0,1,,,2,,,,,,,,,,,,,,,,
Bois ; de rose,Bois,2,2,1,1,Cf. P.H.Wallis  : An oil yielded by such plants, used in herbal medicine,1,1,0,Lignum rhodium,0,1,,,35,,Bois ; de Pernambouc,,,,,,,,,,,,,,
Bois ; de santal,Bois,2,2,1,0,Sous la forme de poudre de santal citrin et de poudre de santal rouge en égales proportions, il était un des constituants du diaprun solutif de la pharmacopée maritime occidentale au xviiie siècle (wiki),1,1,1,Saunders Red alias Stock,1,0,,,11,,Bois ; de Pernambouc,,,,,,,,,,,,,,
Bois ; de santal ; moulu,Bois,2,2,1,0,Sous la forme de poudre de santal citrin et de poudre de santal rouge en égales proportions, il était un des constituants du diaprun solutif de la pharmacopée maritime occidentale au xviiie siècle (wiki),1,1,1,Saunders Red alias Stock,1,0,,,3,,,,,,,,,,,,,,,,
Bois ; de Saxafras,Bois,0,0a,1,0,Bois, écorce, essence de sassafras employé(e) notamment comme sudorifique. Une infusion d'écorce de sassafras (Geoffroy, Méd. prat.,1800, p. 501).Produit thérapeutique extrait du sassafras. Le sassafras est un stimulant diaphorétique recommandable par sa bonne odeur (Bouchardat, Nouv. formulaire,1894, p. 259).,1,1,0,Sassafras Wood,0,1,,,0,,,,,,,,,
Bois ;néphrétique,Bois,2,2,1,0,"Cf. P.H.Wallis  : Lignum nephriticum (Latin for ""kidney wood"") was a traditional diuretic derived from the wood of two tree species, the narra (Pterocarpus indicus) and the Mexican kidneywood (Eysenhardtia polystacha).",,1,0,Lignum Nephriticum,0,1,,,7,,,,,,,,,,,,,,,,,
Bol ; d'Arménie,Bol,5,5,1,0,Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : Voir Ocreuse Rouge « Les bols d'Arménie et de Lemnos autrefois très employés dans la médecine, sont aussi des var. de cette substance. »,1,1,0,Bolus Communis & Armoniacus,0,1,5,5,7,,,,,,,,,,,,,
Borax,Borax,2,2,1,0,Savary, volume 1, 1748 : « Sel minéraux qui sert à souder et braser l'or et les minéraux. […] Le Borax est de quelque usage dans la Médecine où il entre dans la composition de l'onguent citrin. » Il est de deux types naturel ou raffiné.,1,1,1,Borax In Paste,1,0,,,1,,,,,,,,,,,,,,,
