marchandises;id;marchandises_normalisees_inter;marchandises_normalisees;product_prix;dutchtranslation;englishproduct;unit;alternativenames;source_rg_1774;source_rgbase;source_france;source_sound;source_hambourg;v14;v15;remarques;nbr_lignes_fr;nbr_lignes_hambourg
///Drogues Médicinales///Séné;27;"Drogues ; médicinales ; Séné";"Drogue ; médicinale ; séné";;;;;;0;0;1;;;;;;4;
///Drogues diverses///Drogues diverses réunies;28;"Drogues ; Drogues réunies ; Diverses";"Drogue ; Réunies ; Diverses";;;;;;0;0;1;;;;;;45;
///Drogues diverses///Drogues réunies;29;"Drogues ; Drogues réunies ; Diverses";"Drogue ; Réunies ; Diverses";;;;;;0;0;1;;;;;;16;
///Drogues diverses///Gommes diverses;30;"Drogues ; Gommes ; Diverses";"Gomme ; diverse";;;;;;0;0;1;;;;;;43;
///Drogues diverses///Huile et essence de Térébenthine;31;"Drogues ; Huile et essence de Térébenthine ; Diverses";"Drogue ; térébenthine ; essence et huile";;;;;;0;0;1;;;;;;6;
///Drogues diverses///Huile et essence de térébenthine;32;"Drogues ; Huile et essence de Térébenthine ; Diverses";"Drogue ; térébenthine ; essence et huile";;;;;;0;0;1;;;;;;18;
///Drogues diverses///Sels chimiques;33;"Drogues ; chimiques ; Sel divers";"Drogue ; chimique ; Sel divers";;;;;;0;0;1;;;;;;9;
///Drogues midicinales///Drogues réunies;34;"Drogues ; médicinales ; Réunies";"Drogue ; médicinale ; Réunies";;;;;;0;0;1;;;;;;11;
///Drogues midicinales///Ipécacuanha;35;"Drogues ; médicinales ; Ipécacuana";"Drogue ; médicinale ; Ipécacuana";;;;;;0;0;1;;;;;;1;
///Drogues midicinales///Jus de réglisse;36;"Drogues ; médicinales ; Jus de réglisse";"Drogue ; médicinale ; Jus de réglisse";;;;;;0;0;1;;;;;;3;
///Drogues midicinales///Manne;37;"Drogues ; médicinales ; Manne";"Drogue ; médicinale ; manne";;;;;;0;0;1;;;;;;3;
///Drogues midicinales///Quinquina;38;"Drogues ; médicinales ; Quinquina";"Drogue ; médicinale ; quinquina";;;;;;0;0;1;;;;;;2;
///Drogues midicinales///Safran;39;"Drogues ; médicinales ; Safran";"Drogue ; safran";;;;;;0;0;1;;;;;;2;
///Drogues midicinales///Salsepareille;40;"Drogues ; médicinales ; Salsepareille";"Drogue ; médicinale ; Salsepareille";;;;;;0;0;1;;;;;;2;
///Drogues midicinales///Sené;41;"Drogues ; médicinales ; Séné";"Drogue ; médicinale ; séné";;;;;;0;0;1;;;;;;4;
///Drogues médicinales///Drogues médicinales réunies;42;"Drogues ; médicinales ; Diverses";"Drogue ; médicinale ; Diverses";;;;;;0;0;1;;;;;;29;
///Drogues médicinales///Drogues réunies;43;"Drogues ; médicinales ; Diverses";"Drogue ; médicinale ; Diverses";;;;;;0;0;1;;;;;;12;
///Drogues médicinales///Ipécacuanha;44;"Drogues ; médicinales ; Ipécacuana";"Drogue ; médicinale ; Ipécacuana";;;;;;0;0;1;;;;;;1;
///Drogues médicinales///Jus de réglisse;45;"Drogues ; médicinales ; Jus de réglisse";"Drogue ; médicinale ; Jus de réglisse";;;;;;0;0;1;;;;;;5;
///Drogues médicinales///Manne;46;"Drogues ; médicinales ; Manne";"Drogue ; médicinale ; manne";;;;;;0;0;1;;;;;;3;
///Drogues médicinales///Quinquina;47;"Drogues ; médicinales ; Quinquina";"Drogue ; médicinale ; quinquina";;;;;;0;0;1;;;;;;10;
///Drogues médicinales///Safran;48;"Drogues ; médicinales ; Safran";"Drogue ; safran";;;;;;0;0;1;;;;;;16;
///Drogues médicinales///Salsepareille;49;"Drogues ; médicinales ; Salsepareille";"Drogue ; médicinale ; Salsepareille";;;;;;0;0;1;;;;;;2;
///Drogues médicinales///Séné;50;"Drogues ; médicinales ; Séné";"Drogue ; médicinale ; séné";;;;;;0;0;1;;;;;;3;
///Industrie Etrangère///Articles réunis;51;"Industrie étrangère ; Articles ; réunis";"Industrie étrangère ; divers";;;;;;0;0;1;;;;;;18;
///Industrie Etrangère///Bouchons de liège;52;"Bouchons ; de liège";"Bouchons ; de liège";;;;;;0;0;1;;;;;;1;
///Industrie Etrangère///Colles de toute sorte;53;"Colles ; de toute sorte";Colle;;;;;;0;0;1;;;;;;4;
///Industrie Etrangère///Faience et poterie;54;Faïence et poterie;"Ouvrage ; de poterie et faïence";;;;;;0;0;1;;;;;;2;
///Industrie Etrangère///Habillement et lingerie;55;Habillements et lingerie;Habit et lingerie;;;;;;0;0;1;;;;;;5;
///Industrie Etrangère///Horlogeries;56;Horlogerie;Horlogerie;;;;;;0;0;1;;;;;;3;
///Industrie Etrangère///Librairie;57;Librairie;Librairie;;;;;;0;0;1;;;;;;6;
///Industrie Etrangère///Marbres;58;Marbre;Marbre;;;;;;0;0;1;;;;;;3;
///Industrie Etrangère///Merceries;59;Mercerie;Mercerie;;;;;;0;0;1;;;;;;8;
///Industrie Etrangère///Meubles et miroirs;60;Meubles et miroirs;Meuble et miroir;;;;;;0;0;1;;;;;;4;
///Industrie Etrangère///Ouvrages de jonc;61;"Ouvrage ; de joncs";"Ouvrage ; de jonc";;;;;;0;0;1;;;;;;3;
///Industrie Etrangère///Ouvrages divers;62;"Ouvrage ; Divers";"Ouvrage ; divers";;;;;;0;0;1;;;;;;11;
///Industrie Etrangère///Peaux et pelleteries;63;Peaux et pelleteries;Pelleterie;;;;;;0;0;1;;;;;;17;
///Industrie Etrangère///Plumes d'autruche;64;"Plumes ; d'autruche";"Plume ; d'autruche";;;;;;0;0;1;;;;;;2;
///Industrie Etrangère///Plumes de toute sorte;65;"Plumes ; de toute sorte";"Plume ; divers";;;;;;0;0;1;;;;;;3;
///Industrie Etrangère///Plumes à écrire;66;"Plumes ; à écrire";"Plume ; à écrire";;;;;;0;0;1;;;;;;4;
///Industrie Etrangère///Quincailleries diverses;67;"Quincaillerie ; Diverse";Quincaillerie;;;;;;0;0;1;;;;;;9;
///Industrie Etrangère///Savons;68;Savon;Savon;;;;;;0;0;1;;;;;;3;
///Industrie Etrangère///Voitures;69;Voitures;Voiture;;;;;;0;0;1;;;;;;1;
///Industrie Générale///Articles d'industrie réunis;70;"Articles ; d'industrie ; réunis";"Industrie ; divers";;;;;;0;0;1;;;;;;21;
///Industrie Générale///Bijouterie;71;Bijouterie;Bijouterie;;;;;;0;0;1;;;;;;6;
///Industrie Générale///Bougie;72;Bougie;Bougie;;;;;;0;0;1;;;;;;1;
///Industrie Générale///Cauris;73;Cauris;Cauris;;;;;;0;0;1;;;;;;1;
///Industrie Générale///Chandelles;74;Chandelles;Chandelle;;;;;;0;0;1;;;;;;1;
///Industrie Générale///Cordages;75;Cordage;Cordage;;;;;;0;0;1;;;;;;1;
///Industrie Générale///Dorures fines;76;"Dorure ; fine";"Dorure ; fine";;;;;;0;0;1;;;;;;6;
///Industrie Générale///Esprit de vin;77;"Esprit ; de vin";"Esprit ; de vin";;;;;;0;0;1;;;;;;3;
///Industrie Générale///Faience et poterie;78;Faïence et poterie;"Ouvrage ; de poterie et faïence";;;;;;0;0;1;;;;;;5;
///Industrie Générale///Gants de peau;79;"Gants ; de peaux";"Gants ; de peaux";;;;;;0;0;1;;;;;;8;
///Industrie Générale///Habillements et lingeries;80;"Habillements ; et lingerie";Habit et lingerie;;;;;;0;0;1;;;;;;7;
///Industrie Générale///Horlogerie;81;Horlogerie;Horlogerie;;;;;;0;0;1;;;;;;6;
///Industrie Générale///Jeux de voiles;82;"Jeux ; de voiles";"Jeux ; de voiles";;;;;;0;0;1;;;;;;1;
///Industrie Générale///Librairie;83;Librairie;Librairie;;;;;;0;0;1;;;;;;14;
///Industrie Générale///Marchandises des indes;84;"Marchandises ; des Indes";"Marchandises ; des Indes";;;;;;0;0;1;;;;;;1;
///Industrie Générale///Merceries;85;Mercerie;Mercerie;;;;;;0;0;1;;;;;;17;
///Industrie Générale///Meubles et glaces;86;Meubles et miroirs;Meuble et miroir;;;;;;0;0;1;;;;;;10;
///Industrie Générale///Ouvrages de cruivre doré et argenté;87;"Ouvrage ; de cuivre ; Doré et argenté";"Ouvrage ; de cuivre";;;;;;0;0;1;;;;;;4;
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie;88;"Ouvrage ; de cuir ; en cordonnerie et sellerie";"Ouvrage ; de cuir ; cordonnerie et sellerie";;;;;;0;0;1;;;;;;2;
///Industrie Générale///Ouvrages de modes et fleurs artificielles;89;"Ouvrage ; de modes ; En fleurs artificielles";"Ouvrage ; de mode ; fleurs artificielles";;;;;;0;0;1;;;;;;8;
///Industrie Générale///Ouvrages divers en bois et futailles vuides;90;"Ouvrage ; Divers ; en bois et futailles vides";"Ouvrage ; divers ; en bois et futailles vides";;;;;;0;0;1;;;;;;5;
///Industrie Générale///Ouvrages en terre cuite;91;"Ouvrage ; de terre cuite";"Ouvrage ; de terre cuite";;;;;;0;0;1;;;;;;1;
///Industrie Générale///Papiers pour tenture;92;"Papier ; à tenture";"Papier ; à tenture";;;;;;0;0;1;;;;;;8;
///Industrie Générale///Papiers à écrire;93;"Papier ; à écrire";"Papier ; à écrire";;;;;;0;0;1;;;;;;15;
///Industrie Générale///Parasols;94;Parasols;Parasols;;;;;;0;0;1;;;;;;1;
///Industrie Générale///Parfumerie;95;Parfumerie;Parfumerie;;;;;;0;0;1;;;;;;15;
///Industrie Générale///Passementerie;96;Passementerie;Passementerie;;;;;;0;0;1;;;;;;2;
///Industrie Générale///Peaux et pelleteries;97;Peaux et pelleteries;Peaux et pelleteries;;;;;;0;0;1;;;;;;12;
///Industrie Générale///Porcelaine;98;Porcelaine;Porcelaine;;;;;;0;0;1;;;;;;7;
///Industrie Générale///Poudre à tirer;99;"Poudre ; à tirer";Poudre à tirer;;;;;;0;0;1;;;;;;2;
///Industrie Générale///Quincaillerie;100;Quincaillerie;Quincaillerie;;;;;;0;0;1;;;;;;14;
///Industrie Générale///Savons;101;Savon;Savon;;;;;;0;0;1;;;;;;14;
///Industrie Générale///Tableaux et Estampes;102;Tableau et estampes;Tableaux et estampes;;;;;;0;0;1;;;;;;5;
///Industrie Générale///Verrerie;103;Verrerie;Verrerie;;;;;;0;0;1;;;;;;12;
///Industrie générale///Armes;104;Armes;Arme;;;;;;0;0;1;;;;;;2;
///Industrie générale///Articles d'industrie réunis;105;"Articles ; d'industrie ; réunis";"Industrie ; divers";;;;;;0;0;1;;;;;;35;
///Industrie générale///Bijouterie;106;Bijouterie;Bijouterie;;;;;;0;0;1;;;;;;24;
///Industrie générale///Bougie;107;Bougie;Bougie;;;;;;0;0;1;;;;;;1;
///Industrie générale///Cauris;108;Cauris;Cauris;;;;;;0;0;1;;;;;;2;
///Industrie générale///Chandelle;109;Chandelles;Chandelle;;;;;;0;0;1;;;;;;1;
///Industrie générale///Cordages;110;Cordage;Cordage;;;;;;0;0;1;;;;;;2;
///Industrie générale///Dorures fines;111;"Dorure ; fine";"Dorure ; fine";;;;;;0;0;1;;;;;;17;
///Industrie générale///Esprit de vin;112;"Esprit ; de vin";"Esprit ; de vin";;;;;;0;0;1;;;;;;11;
///Industrie générale///Faience et poterie;113;Faïence et poterie;"Ouvrage ; de poterie et faïence";;;;;;0;0;1;;;;;;14;
///Industrie générale///Gants de peau;114;"Gants ; de peaux";"Gants ; de peaux";;;;;;0;0;1;;;;;;21;
///Industrie générale///Habillemens et lingerie;115;"Habillements ; et lingerie";Habit et lingerie;;;;;;0;0;1;;;;;;22;
///Industrie générale///Horlogerie;116;Horlogerie;Horlogerie;;;;;;0;0;1;;;;;;15;
///Industrie générale///Jeux de voiles;117;"Jeux ; de voiles";"Jeux ; de voiles";;;;;;0;0;1;;;;;;2;
///Industrie générale///Librairie;118;Librairie;Librairie;;;;;;0;0;1;;;;;;31;
///Industrie générale///Merceries;119;Mercerie;Mercerie;;;;;;0;0;1;;;;;;37;
///Industrie générale///Meubles et glaces;120;Meubles et miroirs;Meuble et miroir;;;;;;0;0;1;;;;;;28;
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie;121;"Ouvrage ; de cuir ; en cordonnerie et sellerie";"Ouvrage ; de cuir ; cordonnerie et sellerie";;;;;;0;0;1;;;;;;9;
///Industrie générale///Ouvrages de cuivre doré et argenté;122;"Ouvrage ; de cuivre ; Doré et argenté";"Ouvrage ; de cuivre";;;;;;0;0;1;;;;;;13;
///Industrie générale///Ouvrages de modes et fleurs artificielles;123;"Ouvrage ; de modes ; En fleurs artificielles";"Ouvrage ; de mode ; fleurs artificielles";;;;;;0;0;1;;;;;;24;
///Industrie générale///Ouvrages de terre cuite;124;"Ouvrage ; de terre cuite";"Ouvrage ; de terre cuite";;;;;;0;0;1;;;;;;1;
///Industrie générale///Ouvrages divers;125;"Ouvrage ; Divers";"Ouvrage ; divers";;;;;;0;0;1;;;;;;22;
///Industrie générale///Papier pour tenture;126;"Papier ; à tenture";"Papier ; à tenture";;;;;;0;0;1;;;;;;6;
///Industrie générale///Papiers pour tenture;127;"Papier ; à tenture";"Papier ; à tenture";;;;;;0;0;1;;;;;;14;
///Industrie générale///Papiers à écrire;128;"Papier ; à écrire";"Papier ; à écrire";;;;;;0;0;1;;;;;;36;
///Industrie générale///Parfumerie;129;Parfumerie;Parfumerie;;;;;;0;0;1;;;;;;21;
///Industrie générale///Passementerie;130;Passementerie;Passementerie;;;;;;0;0;1;;;;;;6;
///Industrie générale///Peaux et pelleteries;131;Peaux et pelleteries;Peaux et pelleteries;;;;;;0;0;1;;;;;;28;
///Industrie générale///Porcelaine;132;Porcelaine;Porcelaine;;;;;;0;0;1;;;;;;13;
///Industrie générale///Poudre à tirer;133;"Poudre ; à tirer";Poudre à tirer;;;;;;0;0;1;;;;;;1;
///Industrie générale///Quincaillerie;134;Quincaillerie;Quincaillerie;;;;;;0;0;1;;;;;;26;
///Industrie générale///Savons;135;Savon;Savon;;;;;;0;0;1;;;;;;30;
///Industrie générale///Tableaux et estampes;136;Tableau et estampes;Tableaux et estampes;;;;;;0;0;1;;;;;;12;
///Industrie générale///Verrerie;137;Verrerie;Verrerie;;;;;;0;0;1;;;;;;19;
///Industrie étrangère///Articles réunis;138;"Industrie étrangère ; Articles ; réunis";Divers;;;;;;0;0;1;;;;;;36;
///Industrie étrangère///Bouchons de liége;139;"Bouchons ; de liège";"Bouchons ; de liège";;;;;;0;0;1;;;;;;2;
