marchandises_normalisees	marchandises_simplifiées	SITC_rev1	SITC_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG
Couffins ; d'espars	Couffins ; d'espars	6	6	Paniers ?				
Couffins ; d'osier	Couffins ; d'osier	6	6	Paniers ?				
Couffins ; de palmes	Couffins ; de palmes	6	6	Paniers ?				
Coulemens de terre	Coulemens de terre	6	6		6	6		
Couleur	Couleur	5	5					...
Coupis	Coupis	…	…					
Courbes ; de bois	Courbes ; de bois	6	6					
Courroubis	Courroubis	…	…					
Courtepointe	Courtepointe	8	8					…
Coussins ; à faire dentelle	Coussins ; à faire dentelle	8	8					
Couteaux	Couteaux	6	6					
Couteaux ; à couper paille et pour tanneurs	Couteaux	6	6		6	6		
Couteaux ; à tanneurs	Couteaux	6	6					
Couteaux ; communs	Couteaux	6	6					
Couteaux ; de chasse	Couteaux	6	6					
Couteaux ; de table	Couteaux	6	6		6	6		
Couteaux ; flamand	Couteaux	6	6					...
Couteaux ; garnis en argent	Couteaux	6	6		6	6		
Coutelas	Coutelas	6	6					
Coutellerie	Coutellerie	6	6					
Coutellerie ; diverse	Coutellerie ; diverse	6	6					...
Coutil	Coutil	6	6					
Coutil ; à lit	Coutil	6	6					...
Coutil ; de fer	Coutil	6	6					
Couvertures	Couvertures	8	8					
Couvertures ; à nègres	Couvertures	8	8					
Couvertures ; d'étoupes	Couvertures	6	6					
Couvertures ; d'etouppe	Couvertures	6	6	couvertes d'etouppe de chanvre	6	6	couvertes d'etouppe de chanvre	
Couvertures ; d'etouppe de laine	Couvertures	6	6b		6	6b		
Couvertures ; d'indienne	Couvertures	6	6d					
Couvertures ; de Béarn	Couvertures	6	6					
Couvertures ; de bourre ; de soie	Couvertures	6	6c					...
Couvertures ; de capiton	Couvertures	6	6					
Couvertures ; de coton	Couvertures	6	6d					
Couvertures ; de cotton	Couvertures	6	6d		6	6d		
Couvertures ; de fil et coton	Couvertures	6	6d					...
Couvertures ; de filoselle	Couvertures	6	6c					
Couvertures ; de laine	Couvertures	6	6b					
Couvertures ; de lisières	Couvertures	6	6		6	6		
Couvertures ; de locques	Couvertures	6	6		6	6		
Couvertures ; de plocq	Couvertures	6	6					
Couvertures ; de Rouen	Couvertures	6	6					…
Couvertures ; de soie	Couvertures	6	6c					
Couvertures ; diverses	Couvertures	6	6					
Couvertures ; en laine	Couvertures	6	6b					
Couvertures ; en plocq	Couvertures	6	6					
Couvertures ; peinte	Couvertures	6	6d					
Couvertures ; pour chevaux	Couvertures	6	6		6	6		
Crabes et geenaerts	Crabes et geenaerts	0	0a	steur, crabben et gernaerts	0	0a	steur, crabben et gernaerts	
Crabes et limaçons	Crabes et limaçons	0	0a		0	0a		
Craie	Craie	5	5					
Craie ; blanche	Craie	5	5					
Craie ; noire	Craie	5	5		5	5		
Craie ; rouge	Craie	5	5					
Crapaudines	Crapaudines	6	6	Petites grilles qui protègent une entrée				
Crapaudines ; de fer	Crapaudines	6	6					
Crasse ; d'amidon	Crasse	5	5					
Crasse ; d'huile	Crasse	5	5					
Crasse ; de cire	Crasse	5	5					...
Crasse ; de suif	Crasse	5	5					
Cravates	Cravates	8	8					
Cravates ; de soie noire	Cravates	8	8	bourses à cheveux et cravattes de soye noire	8	8	bourses à cheveux et cravattes de soye noire	
Cravates et mouchoirs de coton	Cravates et mouchoirs de coton	8	8		8	8		
Crayons	Crayons	8	8					
Crème	Crème	5	5					
Crème ; de tartre	Crème	5	5					
Crême ; de tartre	Crème	5	5					
Crêpe	Crêpe	6	6		6	6b		
Crêpe ; de laine	Crêpe	6	6b					
Crêpe ; de Reims	Crêpe	6	6					
Crêpe ; de soie	Crêpe	6	6c					…
Crêpe ; pour chapeaux	Crêpe	6	6		6	6		
Crépon	Crépon	…	…					
Crêpon	Crêpon	…	…					
Cresse	Cresse	…	…					
Creusets	Creusets	6	6		6	6		
Creusets ; de terre	Creusets	6	6					...
Creusets et figures de pierre	Creusets et figures de pierre	6	6		6	6		
Cribles	Cribles	…	…					
Cribles et bulteau de moulins	Cribles et bulteau de moulins	6	6		6	6		
Crin	Crin	2	2					...
Crin ; brut	Crin	2	2					
Crin ; de cheval	Crin	2	2	crin de cheval et queux de vaches	2	2	crin de cheval et queux de vaches	
Crin ; de cheval ouvré	Crin	2	2	ouvrage de crin	2	2	ouvrage de crin	
Crin ; frisé	Crin	2	2					
Cristal	Cristal	6	6					
Cristal ; brut	Cristal	6	6					
Cristal ; taillé	Cristal	6	6		6	6		
Cristaux	Cristal	6	6					
Cristaux ; d'office	Cristal	6	6					
Crockvisch	Crockvisch	0	0a		0	0a		
Crocus	Crocus	5	5		5	5		
Croix ; à pierres ; fausses	Croix	8	8					
Croix ; de cuivre	Croix	8	8					
Croix ; de grès	Croix	8	8					
Crons et débris de maisons	Crons et débris de maisons	2	2	debris de maison	2	2	debris de maison	
Cruches ; de grès	Cruches ; de grès	8	8					
Crucifix	Crucifix	8	8					
Cubebes	Cubebes	…	…					
Cuillères ; de bois	Cuillères	6	6					
Cuillères ; de fer	Cuillères	6	6					
Cuillères ; de laiton	Cuillères	6	6					
Cuirasses	Cuirasses	9	9		9	9		
Cuirs ; apprêtés	Cuirs ; apprêtés	6	6					
Cuirs ; corroyés	Cuirs ; corroyés	6	6					
Cuirs ; corroyés ; divers	Cuirs ; corroyés	6	6					...
Cuirs ; crûs et à poil	Cuirs ; crûs et à poil	6	6		6	6		
Cuirs ; d'âne	Cuirs	6	6					
Cuirs ; d'Espagne	Cuirs	6	6		6	6		
Cuirs ; d'Espagne dit Maroquin	Cuirs	6	6	cuirs de Turquie en Maroquin	6	6	cuirs de Turquie en Maroquin	
Cuirs ; d'Hongrie	Cuirs	6	6		6	6		
Cuirs ; d'hongrie	Cuirs	6	6					
Cuirs ; d'Irlande	Cuirs	6	6		6	6		
Cuirs ; de bœuf ; apprêtés	Cuirs ; apprêtés	6	6					
Cuirs ; de bœuf ; corroyés	Cuirs ; corroyés	6	6					
Cuirs ; de bœuf ; en poil	Cuirs ; crûs et à poil	6	6					
Cuirs ; de bœuf ; tannés	Cuirs ; tannés	6	6					...
Cuirs ; de cheval ; en poil	Cuirs ; crûs et à poil	6	6					...
Cuirs ; de cheval ; tannés	Cuirs ; tannés	6	6					...
Cuirs ; de génisse	Cuirs	6	6					
Cuirs ; de génisse ; corroyés	Cuirs ; corroyés	6	6					
Cuirs ; de génisse ; en poil	Cuirs ; crûs et à poil	6	6					
Cuirs ; de moscovie	Cuirs	6	6	cuirs de Russie et moscovie	6	6	cuirs de Russie et moscovie	
Cuirs ; de Prusse	Cuirs	6	6	cuirs rouge de Prusse	6	6	cuirs rouge de Prusse	
Cuirs ; de Russie	Cuirs	6	6	cuirs de Roussie	6	6	cuirs de Roussie	
Cuirs ; de Turqie	Cuirs	6	6		6	6		
Cuirs ; de vache ; apprêtés	Cuirs ; apprêtés	6	6					
Cuirs ; de vache ; corroyés	Cuirs ; corroyés	6	6					
Cuirs ; de vache ; en grain	Cuirs ; en grains	6	6					...
Cuirs ; de vache ; en poil	Cuirs ; crûs et à poil	6	6					...
Cuirs ; de vache ; tannés	Cuirs ; tannés	6	6					
Cuirs ; divers	Cuirs	6	6					
Cuirs ; doré	Cuirs	6	6					
Cuirs ; dorés	Cuirs	6	6	cuirs doré fabrique du pays	6	6	cuirs doré fabrique du pays	
Cuirs ; dorés vieux	Cuirs	6	6		6	6		
Cuirs ; en grains	Cuirs ; en grains	6	6					
Cuirs ; en poil	Cuirs ; crûs et à poil	6	6					...
Cuirs ; en poil ; divers	Cuirs ; crûs et à poil	6	6					...
Cuirs ; en retail	Cuirs ; en retail	6	6					
Cuirs ; pour soufflets	Cuirs	6	6		6	6		
Cuirs ; salés ; divers	Cuirs ; salés	6	6					...
Cuirs ; salés à poil	Cuirs ; salés à poil	6	6		6	6		
Cuirs ; secs à poil	Cuirs ; secs à poil	6	6		6	6		
Cuirs ; secs et salé	Cuirs ; secs et salé	6	6		6	6		
Cuirs ; tannés	Cuirs ; tannés	6	6					
Cuirs ; tannés ; divers	Cuirs ; tannés	6	6					
Cuirs ; tannés pour empeignes	Cuirs ; tannés	6	6	cuirs d''empeigne	6	6	cuirs d''empeigne	
Cuirs ; tannés pour semelles	Cuirs ; tannés	6	6		6	6		
Cuisses	Cuisses	0	0a					
Cuisses ; d'oie	Cuisses	0	0a					
Cuisses ; d'oie en adobe	Cuisses	0	0a		0	0a		
Cuivre	Cuivre ; en serrures	6	6					
Cuivre ; ?	Cuivre	6	6					
Cuivre ; brun	Cuivre	6	6					
Cuivre ; brut	Cuivre	6	6					
Cuivre ; crû	Cuivre ; crû	6	6		2	2		
Cuivre ; crû en bloc	Cuivre ; crû	6	6		6	6		
Cuivre ; cru en masse	Cuivre ; crû	6	6		6	6		
Cuivre ; crü ou en plattes	Cuivre ; crû	6	6		6	6		
Cuivre ; de fourrure	Cuivre ; crû	6	6					
Cuivre ; de Namur	Cuivre	6	6		6	6		
Cuivre ; dite potin	Cuivre	6	6					
Cuivre ; divers	Cuivre	6	6					...
Cuivre ; doré	Cuivre	6	6					
Cuivre ; en acume	Cuivre	6	6					...
Cuivre ; en cachets	Cuivre	6	6					
Cuivre ; en clochette	Cuivre	6	6					
Cuivre ; en coupe	Cuivre	6	6					
Cuivre ; en feuilles	Cuivre	6	6					
Cuivre ; en fonos	Cuivre	6	6					
Cuivre ; en fourrure	Cuivre	6	6					...
Cuivre ; en fourrure et Rozette	Cuivre	6	6					
Cuivre ; en grelots	Cuivre	6	6					
Cuivre ; en lames	Cuivre	6	6					
Cuivre ; en limaille	Cuivre	2	2					
Cuivre ; en masse	Cuivre	6	6		6	6		
Cuivre ; en mitraille	Cuivre	2	2					
Cuivre ; en planches	Cuivre	6	6					
Cuivre ; en plaques	Cuivre	6	6					...
Cuivre ; en plateaux	Cuivre	6	6					
Cuivre ; en plates	Cuivre	6	6					
Cuivre ; en platines	Cuivre	6	6					
Cuivre ; en plattes	Cuivre	6	6		6	6		
Cuivre ; en rosette	Cuivre	6	6					
Cuivre ; en rouleau	Cuivre	6	6					
Cuivre ; en serrures	Cuivre	6	6					
Cuivre ; en toupe	Cuivre	6	6					
Cuivre ; forgé	Cuivre	6	6					...
Cuivre ; jaune	Cuivre	6	6					
Cuivre ; jaune avec calamine	Cuivre	6	6		6	6		
Cuivre ; jaune en bloc	Cuivre	6	6		6	6		
Cuivre ; jaune en cloux	Cuivre	6	6		6	6		
Cuivre ; jaune en plattes	Cuivre	6	6		6	6		
Cuivre ; jaune et rouge	Cuivre	6	6					...
Cuivre ; jaune fondu	Cuivre	6	6	cuivre jaune coulé	6	6	cuivre jaune coulé	
Cuivre ; jaune ouvré	Cuivre ; ouvré	6	6		6	6		
Cuivre ; laminé	Cuivre	6	6					
Cuivre ; ouvré	Cuivre ; ouvré	6	6					
Cuivre ; plaques ; gravées et ciselées	Cuivre	6	6		6	6		
Cuivre ; rouge	Cuivre	6	6					
Cuivre ; rouge crû ou en blocs, pour Namur	Cuivre ; crû	6	6		6	6		
Cuivre ; rouge en chaudrons	Cuivre	6	6		6	6		
Cuivre ; rouge en masse pour être raffiner	Cuivre	6	6		6	6		
Cuivre ; rouge en plattes	Cuivre	6	6		6	6		
Cuivre ; rouge ouvré	Cuivre ; ouvré	6	6		6	6		
Cuivre ; tangoul	Cuivre	6	6					
Cuivre ; vieux	Cuivre ; vieux	6	6					
Cuivre ; vieux et en mitraille	Cuivre ; vieux	6	6					
Cuivre, bronze et laiton	Cuivre, bronze et laiton	6	6					
Culottes	Culottes	8	8					
Culottes ; de peau	Culottes	8	8		8	8		
Culottes ; de toile	Culottes	8	8		6	6		
Culs ; d'artichauts	Artichauts	0	0a					
Cumin	Cumin	0	0b					
Curcuma	Curcuma	0	0b		5	5		
Curlas	Curlas	…	…					
Cuve	Cuve	…	…					
Cuvier	Cuvier	8	8					…
Cuviers ; de terre	Cuvier	…	…					
Cylindre	Cylindre	6	6					...
Damas	Damas	…	…					
Damas ; à frange ; d'argent	Damas	…	…					
Dame-jeanne	Dame-jeanne	…	…					
Daœs ; pour Eglise	Daœs ; pour Eglise	…	…					
Darins	Darins	…	…					
Dattes	Dattes	0	0a		0	0a		
Dattes et pistaches	Dattes et pistaches	0	0a		0	0a		
Dauphine	Dauphine	…	…					
Debris de vaisseaux et vieux ouvrages de charpente	Debris de vaisseaux et vieux ouvrages de charpente	2	2		2	2		
Déchets de pierre	Déchets de pierre	2	2					
Décorations ; pour carosses	Décorations ; pour carosses	7	7					
Décorations pour carosses	Décorations pour carosses	7	7					
Degras	Degras	4	4					...
Degras ; ?	Degras	4	4					
Degras ; de peau	Degras	4	4					
Dégrau	Dégrau	…	…					
Demille	Demille	…	…					
Demitte	Demitte	…	…					
Demoiselles	Demoiselles	…	…					
Dentelle	Dentelle	6	6a					
Dentelle ; à peu de soie	Dentelle	6	6a					
Dentelle ; commune	Dentelle	6	6a					
Dentelle ; d'argent	Dentelle	6	6					
Dentelle ; d'argent ; faux	Dentelle	6	6					
Dentelle ; d'argent ; fin	Dentelle	6	6					
Dentelle ; d'or	Dentelle	6	6					...
Dentelle ; d'or ; faux	Dentelle	6	6					
Dentelle ; d'or ; fin	Dentelle	6	6					
Dentelle ; d'or et d'argent	Dentelle	6	6					
Dentelle ; d'or et d'argent ; faux	Dentelle	6	6		6	6		
Dentelle ; d'or et d'argent ; fin	Dentelle	6	6					
Dentelle ; de fil	Dentelle	6	6a	dentelle de fil et entoillage	6	6a	dentelle de fil et entoillage	
Dentelle ; de fil	Dentelle	6	6a					lace (linen)
Dentelle ; de fil ; blanc	Dentelle	6	6a					
Dentelle ; de fil ; commune	Dentelle	6	6a					lace (linen)
Dentelle ; de fil ; d'Alençon	Dentelle	6	6a					
Dentelle ; de fil ; de Bergame	Dentelle	6	6a					
Dentelle ; de fil ; de Caen	Dentelle	6	6a					
Dentelle ; de fil ; de crin	Dentelle	6	6a					
Dentelle ; de fil ; de Flandre	Dentelle	6	6a					
Dentelle ; de fil ; de lin	Dentelle	6	6a					
Dentelle ; de fil ; de Normandie	Dentelle	6	6a					
Dentelle ; de fil ; du Puy	Dentelle	6	6a					
Dentelle ; de fil ; fine	Dentelle	6	6a					
Dentelle ; de fil ; grosse	Dentelle	6	6a					
Dentelle ; de fil et soie	Dentelle	6	6					lace (linen)
Dentelle ; de malines	Dentelle	6	6a					
Dentelle ; de normandie	Dentelle	6	6a					
Dentelle ; de soie	Dentelle	6	6c					
Dentelle ; de soie et blondes	Dentelle	6	6c	dentelle et blonde de soye	6	6c	dentelle et blonde de soye	
Dentelle ; diverse	Dentelle	6	6a					
Dentelle ; du Puy	Dentelle	6	6a					
Dentelle ; en dorure	Dentelle	6	6a					
Dentelle ; fine	Dentelle	6	6a					
Dentelle ; grosse	Dentelle	6	6a					
Dentelle ; mi soie	Dentelle	6	6c					
Dents ; d'éléphant	Ivoire	2	2					
Dents ; de cheval ; marin	Ivoire	2	2					...
Dents ; de morphil	Ivoire	2	2					
Dents ; de vache marine	Ivoire	2	2					
Derle	Derle	2	2		2	2		
Dés	Dés	6	6					
Dés ; à coudre	Dés	6	6					
Dés ; à jouer	Dés	6	6					
Dés ; de cuivre	Dés	6	6					
Dés ; de fer	Dés	6	6					
Dés ; de laiton	Dés	6	6					
Desseins de papier	Desseins de papier	8	8		8	8		
Devants de vestes	Devants de vestes	8	8	devants de veste de trippe	8	8	devants de veste de trippe	
Dévidoirs	Dévidoirs	…	…					
Diamants fins	Diamants fins	6	6					
Dictamus	Dictamus	…	…					
Dimelle	Dimelle	…	…					
Dimit	Dimit	6	6		6	6		
Dindes	Dindes	0	0a		0	0a		
Dindons	Dindons	0	0a					
Dissouchaye	Dissouchaye	…	…					
Ditors	Ditors	…	…					
Divers ; D'une valeur moindre de 2000 francs chacun	Divers	…	…					
Divers ; d'une valeur moindre de 2000 francs chacun	Divers	…	…					
Divers gros et menus ouvrages de bois	Bois ; ouvré	6	6		6	6		
Domino	Domino	8	8					
Dominoterie	Dominoterie	8	8					
Doréas	Doréas	…	…					
Dorure ; fausse	Dorure	8	8					...
Dorure ; fine	Dorure	8	8					
Dospin ; en pierre	Dospin ; en pierre	…	…					
Dossiers ; de chaises	Dossiers ; de chaises	8	8					
Doublures de martre pour habits	Doublures de martre pour habits	6	6		6	6		
Douelles	Douelles	6	6		6	6a		
Douelles ; à barriques	Douelles	6	6					
Douelles ; à fonds	Douelles	6	6					
Douelles ; à pipes	Douelles	6	6					
Douelles ; à quartz	Douelles	6	6					
Douelles ; à tonneaux	Douelles	6	6					
Douelles ; de sapin	Douelles	6	6					
Douelles ; fonçaille	Douelles	6	6					
Douves ; de deux pouces	Douves ; de deux pouces	6	6		6	6		
Draches	Draches	0	0a					…
Draches ; de bierre	Draches	0	0a					
Dragées	Dragées	1	1					
Dragonnes	Dragonnes	9	9		9	9		
Dragonnes ; d'épées	Dragonnes	9	9					
Drap	Drap	6	6b					
Drap ; ?	Drap	6	6b					
Drap ; à doubler	Drap	6	6b					
Drap ; bayette	Drap	6	6b					
Drap ; blanc de Bremer	Drap	6	6b		6	6b		
Drap ; blancs	Drap	6	6b		6	6b		
Drap ; blancs d'Espagne	Drap	6	6b		6	6b		
Drap ; blancs d'Hollande	Drap	6	6b		6	6b		
Drap ; blancs de douzaine	Drap	6	6b		6	6b		
Drap ; blancs par aune	Drap	6	6b		6	6b		
Drap ; bleu	Drap	6	6b					
Drap ; brodé ; en or et argent	Drap	6	6b					broadcloth
Drap ; brodé ; en soie	Drap	6	6b					broadcloth
Drap ; buras	Drap	6	6b					
Drap ; capots	Drap	6	6b					
Drap ; commune	Drap	6	6b					
Drap ; communs	Drap	6	6b		6	6b		
Drap ; cordeillard	Drap	6	6b					
Drap ; cordellat	Drap	6	6b					
Drap ; crêpe	Drap	6	6b					
Drap ; crèpe ; de Reims	Drap	6	6b					
Drap ; crêpe ; de Reims	Drap	6	6b					
Drap ; d'Abbeville	Drap	6	6b					
Drap ; d'Amboise	Drap	6	6b					
Drap ; d'Amiens	Drap	6	6b					
Drap ; d'Andelis	Drap	6	6b					
Drap ; d'Angleterre	Drap	6	6b					broadcloth
Drap ; d'Arnetal	Drap	6	6b					
Drap ; d'Aumale	Drap	6	6b					
Drap ; d'Elbeuf	Drap	6	6b					
Drap ; d'Elbeuf ; de retour	Drap	6	6b					
Drap ; d'Espagne	Drap	6	6b					
Drap ; d'estames	Drap	6	6b					broadcloth
Drap ; d'Hollande	Drap	6	6b					
Drap ; dauphine	Drap	6	6b					
Drap ; de ?	Drap	6	6b					
Drap ; de Beauvais	Drap	6	6b					
Drap ; de Bergoopseau	Drap	6	6b					
Drap ; de Carcassonne	Drap	6	6b					
Drap ; de castor	Drap	6	6b					broadcloth
Drap ; de castor par aune	Drap	6	6b	raz de castor	6	6	raz de castor	
Drap ; de cérémonie	Drap	6	6b					
Drap ; de Cherbourg	Drap	6	6b					
Drap ; de Cours	Drap	6	6b					
Drap ; de douzaine	Drap	6	6b		6	6b		
Drap ; de fil et laine ; serge	Drap	6	6b					
Drap ; de France	Drap	6	6b					
Drap ; de Glates	Drap	6	6b					
Drap ; De Hille	Drap	6	6b					
Drap ; de Hollande	Drap	6	6b					
Drap ; de laine ; ?	Drap	6	6b					
Drap ; de Languedoc	Drap	6	6b					broadcloth
Drap ; de Lille	Drap	6	6b					broadcloth
Drap ; de Limbourg	Drap	6	6b		6	6b		
Drap ; de Limoux	Drap	6	6b					
Drap ; de lin	Drap	6	6a					
Drap ; de lit	Drap	6	6b		6	6		
Drap ; de lit	Drap	6	6b					
Drap ; de Lodève	Drap	6	6b					
Drap ; de Louviers	Drap	6	6b					
Drap ; de Maroc	Drap	6	6b					
Drap ; de Maroc, teints de douzaine	Drap	6	6b		6	6b		
Drap ; de Montagne	Drap	6	6b					
Drap ; de Montauban	Drap	6	6b					
Drap ; de Moucu	Drap	6	6b					
Drap ; de Nison	Drap	6	6b					
Drap ; de Panguede	Drap	6	6b					broadcloth
Drap ; de Pie	Drap	6	6b					
Drap ; de Rome	Drap	6	6b					
Drap ; de Rouen	Drap	6	6b					
Drap ; de Saint Lô	Drap	6	6b					
Drap ; de Saint Robert	Drap	6	6b					
Drap ; de Sedan	Drap	6	6b					
Drap ; de Sedan ; de retour	Drap	6	6b					
Drap ; de Ségovie	Drap	6	6b					
Drap ; de Silésie	Drap	6	6b					
Drap ; de Sir	Drap	6	6b					
Drap ; de Soudrain	Drap	6	6b					broadcloth
Drap ; de Souvier	Drap	6	6b					
Drap ; de Van Robais	Drap	6	6b					
Drap ; de van Robais	Drap	6	6b					
Drap ; des prises	Drap	6	6b					
Drap ; dits packlaeken	Drap	6	6b		6	6b		
Drap ; dits packlaeken blancs	Drap	6	6b		6	6b		
Drap ; dits packlaeken teints	Drap	6	6b		6	6b		
Drap ; dits plamens	Drap	6	6b		6	6b		
Drap ; dits plawens ou codde	Drap	6	6b					
Drap ; divers	Drap	6	6b					
Drap ; divers ; Anglais	Drap	6	6b					
Drap ; divers ; de laine	Drap	6	6b					broadcloth
Drap ; divers ; de Limbourg	Drap	6	6b					
Drap ; divers ; draperie	Drap	6	6b					
Drap ; divers ; écarlate	Drap	6	6b					
Drap ; divers ; fin	Drap	6	6b					
Drap ; diverses	Drap	6	6b					
Drap ; drache	Drache	6	6b		6	6b		
Drap ; dragues	Drap	6	6b					
Drap ; drapé	Drap	6	6b					
Drap ; draperie ; cadis	Drap	6	6b					
Drap ; draperie ; d'Amiens	Drap	6	6b					broadcloth
Drap ; draperie ; d'aufine	Drap	6	6b					
Drap ; draperie ; Damas	Drap	6	6b					
Drap ; draperie ; de Carcassonne	Drap	6	6b					broadcloth
Drap ; draperie ; de Languedoc	Drap	6	6b					
Drap ; draperie ; de Montauban	Drap	6	6b					
Drap ; draperie ; divers	Drap	6	6b					
Drap ; draperie ; fine	Drap	6	6b					
Drap ; draperie ; frac	Drap	6	6b					
Drap ; draperie ; futaine	Drap	6	6b					
Drap ; draperie ; iada	Drap	6	6b					
Drap ; draperie ; layette	Drap	6	6b					
Drap ; draperie ; moutade	Drap	6	6b					
Drap ; draperie ; ordinaire	Drap	6	6b					
Drap ; draperie ; petite	Drap	6	6b					
Drap ; draperie ; petite ; de Languedoc	Drap	6	6b					
Drap ; draperie ; petite ; de mains	Drap	6	6b					
Drap ; draperie ; petite ; de Sedan	Drap	6	6b					
Drap ; draperie ; petite ; de Silésie	Drap	6	6b					
Drap ; draperie ; petite ; divers	Drap	6	6b					
Drap ; draperie ; petite ; du Maroc	Drap	6	6b					
Drap ; draperie ; ratine	Drap	6	6b					
Drap ; draperie ; tricots	Drap	6	6b					
Drap ; draperie ; vatine	Drap	6	6b					
Drap ; drogues	Drap ; drogues	6	6b					
Drap ; droguet	Droget	6	6b					
Drap ; droguet ; d'Hollande	Droget	6	6b					
Drap ; droguet ; de castor	Droget	6	6b					
Drap ; droguet ; de fil et laine	Droget	6	6b					
Drap ; droguet ; de laine	Droget	6	6b					
Drap ; droguet ; de milan	Droget	6	6b					
Drap ; droguet ; fil a laine	Droget	6	6b					
Drap ; droguet ; fil et laine	Droget	6	6b					
Drap ; du nord	Drap	6	6b	drap du Nord mellé	6	6b	drap du Nord mellé	
Drap ; du Nord	Drap	6	6b					
Drap ; du Nord blanc	Drap	6	6b		6	6b		
Drap ; du Nord mellé	Drap	6	6b		6	6b		
Drap ; du Nord teint	Drap	6	6b		6	6b		
Drap ; du sceau	Drap	6	6b					
Drap ; écarlate	Drap	6	6b					
Drap ; écarlatte	Drap	6	6b					broadcloth
Drap ; espagnolette	Drap	6	6b					
Drap ; étranger	Drap	6	6b					
Drap ; fin	Drap	6	6b					broadcloth
Drap ; flanelle	Drap	6	6b					
Drap ; gauffré	Drap	6	6b					
Drap ; imprimé	Drap	6	6b					
Drap ; irtaine	Drap	6	6b					
Drap ; Languedoc	Drap	6	6b					
Drap ; Londrin	Drap	6	6b					
Drap ; mellés d'espagne	Drap	6	6b	drap d'Espagne mellé	6	6b	drap d'Espagne mellé	
Drap ; molton	Drap	6	6b					
Drap ; natives ; divers	Drap	6	6b					
Drap ; naturels ; commune	Drap	6	6b					broadcloth
Drap ; naturels ; de Sedan	Drap	6	6b					
Drap ; naturels ; diverses	Drap	6	6b					
Drap ; naturels ; Sirre	Drap	6	6b					broadcloth
Drap ; ordinaire	Drap	6	6b					
Drap ; oroguet	Drap	6	6b					
Drap ; petite	Drap	6	6b					
Drap ; pinchina	Drap	6	6b					
Drap ; Poudrin	Drap	6	6b					
Drap ; ratine	Drap	6	6b					
Drap ; ratines ; diverses	Drap	6	6b					
Drap ; raz ; de castor	Drap	6	6b					
Drap ; raz ; de Maroc	Drap	6	6b					
Drap ; raz ; de maroc	Drap	6	6b					
Drap ; raz ; des Lo	Drap	6	6b					
Drap ; raz de maroc	Drap	6	6b					
Drap ; serge	Serge	6	6b					
Drap ; serge	Serge	6	6b					
Drap ; serge ; à doubler	Serge	6	6b					
Drap ; serge ; d'Arnetal	Serge	6	6b					
Drap ; serge ; d'aumale	Serge	6	6b					
Drap ; serge ; de laine	Serge	6	6b					
Drap ; serge ; de Lille	Serge	6	6b					
Drap ; serge ; de Montauban	Serge	6	6b					
Drap ; serge ; des prises	Serge	6	6b					
Drap ; serge ; forte	Serge	6	6b					
Drap ; serge ; imprimée	Serge	6	6b					
Drap ; serge ; sergette	Serge	6	6b					
Drap ; teints	Drap	6	6b		6	6b		
Drap ; teints d'espagne	Drap	6	6b	drap d'Espagne teint	6	6b	drap d'Espagne teint	
Drap ; teints d'Espagne et d'Hollande	Drap	6	6b					
Drap ; teints d'Hollande	Drap	6	6b		6	6b		
Drap ; teints de douzaine	Drap	6	6b		6	6b		
Drap ; teints et mellés	Drap	6	6b					
Drap ; teints et mellés de douzaine	Drap	6	6b	drap dit douzaine mellé	6	6b	drap dit douzaine mellé	
Drap ; verd	Drap	6	6b					
Drapeaux	Drapeaux	6	6b					
Drapeaux ; castor	Drapeaux	6	6b					
Drapeaux ; mi castor	Drapeaux	6	6b					
Drapeaux ; mi vigogne	Drapeaux	6	6b					
Drapeaux ; poil et laine	Drapeaux	6	6b					broadcloth
Drapeaux ; vieux	Drapeaux	6	6b					
Drapeaux ; vigogne	Drapeaux	6	6b					
Draperie	Draperie	6	6b					
Draperie ; fine	Draperie	6	6b					
Draperie ; ordinaire	Draperie	6	6b					
Draperie ; petite	Draperie	6	6b					
Draps ; de laine ; Baye Blanche	Baye	6	6b		6	6b		
Draps ; de laine ; Baye Teinte	Baye	6	6b					
Draps ; serge ; à doubler	Serge	6	6b					
Draps ; serge ; blanche	Serge	6	6b		6	6b		
Draps ; serge ; commune	Serge	6	6b					
Draps ; serge ; commune teinte	Serge	6	6b		6	6b		
Draps ; serge ; d'Angleterre	Serge	6	6b		6	6b		
Draps ; serge ; de laine	Serge	6	6b					
Draps ; serge ; de Lille	Serge	6	6b					
Draps ; serge ; de Montauban	Serge	6	6b					
Draps ; serge ; de Nîmes	Serge	6	6b					
Draps ; serge ; drapé	Serge	6	6b					
Draps ; serge ; drappé	Serge	6	6b					
Draps ; serge ; imprimé	Serge	6	6b		6	6b		
Draps ; serge ; mêlée	Serge	6	6b		6	6b		
Draps ; serge ; teinte	Serge	6	6b		6	6b		
Draps ; serge ; teinte par aune	Serge	6	6b					
Drogue ; Essence de térébenthine	Drogues	5	5					
Drogue ; Huile de térébenthine	Drogues	5	5					
Drogue ; Huile et essence de Térébenthine	Drogues ; Huile et essence de Térébenthine	5	5					
Drogueries	Drogueries	5	5					
Drogues	Drogues	5	5					
Drogues ; Castor	Drogues	5	5		5	5		
Drogues ; Chimiques ; ?	Drogues ; Chimiques	5	5					
Drogues ; Chimiques ; Diverses	Drogues ; Chimiques	5	5					
