marchandises_normalisees	marchandises_simplifiées	SITC_rev1	SITC_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG
Andolium ou crockvisch	Andolium ou crockvisch	0	0a		0	0a		
Anes et anesses	Animaux	0	0a		0	0a		
Angélique	Angélique	2	2					
Anguilles	Anguilles	0	0a		0	0a		
Anis	Anis	0	0a					...
Anisette	Anisette	1	1					...
ânons	Bétail	…	…					
Anspects	Anspects	6	6					
Antimoine	Antimoine	6	6					
Antofle ; de girofle	Antofle ; de girofle	0	0b					
Apretée à telier les livres	Apretée à telier les livres	2	2		2	2		
Apretée pour parchemin	Apretée pour parchemin	2	2		2	2		
Aracq	Aracq	1	1					
Arbalètes	Arbalètes	9	9		9	9		
Arbres ; à planter	Arbres et arbrisseaux	2	2					
Arbres et arbrisseaux	Arbres et arbrisseaux	2	2					
Arbres et arbrisseaux ; à fruits	Arbres et arbrisseaux	2	2		2	2		
Arbres et arbrisseaux ; sauvages	Arbres et arbrisseaux	2	2		2	2		
Archets de violons	Archets de violons	8	8		8	8		
Arçons de selle	Arçons de selle	7	7					...
Arçons de selles	Arçons de selle	9	9		9	9		
Ardoises	Ardoises	6	6					
Ardoises ; dites chérubins et à mortier	Ardoises	6	6	ardoises dites cherubins	6	6	ardoises dites cherubins	
Ardoises ; dites grandes voisines	Ardoises	6	6		6	6		
Ardoises ; dites moyennes voisines	Ardoises	6	6		6	6		
Ardoises ; dites petites voisines	Ardoises	6	6		6	6		
Ardoises ; dites voisines, grandes, moyennes et petites	Ardoises	6	6		6	6		
Ardoises ; en livrets	Ardoises	6	6		6	6		
Ardoises ; encadrées	Ardoises	6	6		6	6		
Ardoises ; encadrées et en livrets	Ardoises	6	6	ardoises en tables et livrets	6	6	ardoises en tables et livrets	
Ardoises ; non travaillées	Ardoises	2	2	ardoises brutes	2	2	ardoises brutes	
Ardoises ; ordinaires	Ardoises	6	6		6	6		
Argent ; battu	Argent ; métal	6	6					
