marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound
///Industrie Générale///Ouvrages de cruivre doré et argenté	Ouvrages ; De cuivre ; Doré et argenté	Ouvrages ; de cuivre ; Doré et argenté						0	0	1	0	
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie	Ouvrages ; De cuir ; en cordonnerie et sellerie	Ouvrages ; de cuir ; en cordonnerie et sellerie						0	0	1	0	
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie	Ouvrages ; De cuir ; en cordonnerie et sellerie	Ouvrages ; de cuir ; en cordonnerie et sellerie						0	0	1	0	
///Industrie générale///Ouvrages de cuivre doré et argenté	Ouvrages ; De cuivre ; Doré et argenté	Ouvrages ; de cuivre ; Doré et argenté						0	0	1	0	
///Industrie Générale///Ouvrages de modes et fleurs artificielles	Ouvrages ; De modes ; En fleurs artificielles	Ouvrages ; de modes ; En fleurs artificielles						0	0	1	0	
///Industrie générale///Ouvrages de modes et fleurs artificielles	Ouvrages ; De modes ; En fleurs artificielles	Ouvrages ; de modes ; En fleurs artificielles						0	0	1	0	
///Industrie générale///Ouvrages de terre cuite	Ouvrages ; De terre ; cuite	Ouvrages ; de terre ; cuite						0	0	1	0	
///Industrie générale///Ouvrages divers	Ouvrages ; Divers	Ouvrages ; divers						0	0	1	0	
///Industrie Générale///Ouvrages divers en bois et futailles vuides	Ouvrages ; Divers ; en bois et futailles vides	Ouvrages ; divers ; en bois et futailles vides						0	0	1	0	
///Industrie Générale///Ouvrages en terre cuite	Ouvrages ; De terre ; cuite	Ouvrages ; de terre ; cuite						0	0	1	0	
///Industrie générale///Papier pour tenture	Papier ; à tenture	Papier ; à tenture						0	0	1	0	
///Industrie Générale///Papiers à écrire	Papier ; à écrire	Papier ; à écrire						0	0	1	0	
///Industrie générale///Papiers à écrire	Papier ; à écrire	Papier ; à écrire						0	0	1	0	
///Industrie Générale///Papiers pour tenture	Papier ; à tenture	Papier ; à tenture						0	0	1	0	
///Industrie générale///Papiers pour tenture	Papier ; à tenture	Papier ; à tenture						0	0	1	0	
///Industrie Générale///Parasols	Parasols	Parasols						0	0	1	0	
