marchandises_normalisees	marchandises_pour_graphe_RG	SITC_rev1	SITC_18th	remarks_marchandises	_merge
?	...	...	...		matched (3)
Abacir	...	...	...		matched (3)
Acacia	...	0	0a		matched (3)
Achia	...	0	0b	espece de canne confite en verd dans le vinaigre, le poivre, des épiceries & d’autres ingrédiens, de la longueur à peu près & de la consistance de nos cornichons ; d’un jaune pâle & d’un tissu fibreux. Les Hollandois l’apportent des Indes Orien	matched (3)
Acier	...	6	6		matched (3)
Acier ; brut	...	6	6		matched (3)
Acier ; ouvré	...	6	6		matched (3)
Acons demontés	...	2	2	Planches destinées à la construction d’acons (bateaux à fond plat)-BD	matched (3)
Acorus	...	2	2	racine	matched (3)
Affuts ; de canon	...	9	9		matched (3)
Agaric	...	2	2		matched (3)
Agathe	...	2	2		matched (3)
Agneaux	...	0	0a		matched (3)
Agréments	...	8	8		matched (3)
Agréments ; au quart	...	8	8		matched (3)
Agréments ; d'argent	...	8	8		matched (3)
Agréments ; d'or	...	8	8		matched (3)
Agréments ; d'or et d'argent	...	8	8		matched (3)
Agréments ; de fil	...	8	8		matched (3)
Agréments ; de soie	...	8	8		matched (3)
Agrès	...	6	6	Agreits: Terme de marine, désigne coiles, cordage, poulies et autres choses nécessaires pour les manœuvres des vaisseaux (Savary)	matched (3)
Agrès ; de navires	...	6	6	Agreits: Terme de marine, désigne coiles, cordage, poulies et autres choses nécessaires pour les manœuvres des vaisseaux (Savary)	matched (3)
Aigre ; de vitriol	...	5	5		matched (3)
Aigrettes	…	5	5		matched (3)
Aiguilles	...	6	6		matched (3)
Ails	...	0	0a		matched (3)
Ains à pecher	...	6	6	Comme hameçon ?	matched (3)
Airain	...	2	2	Bronze ?	matched (3)
Airain ; ouvré	...	6	6		matched (3)
Ajamis	Cotton	6	6d	Toiles d'Antap (par Savary, via Boris Dechanel)	matched (3)
Ajustements	...	8	8	synonyme d'habits ou habillements semble-t-il	matched (3)
Alambie ; de terre	...	6	6		matched (3)
Alana	...	2	2	Alana: pierre tendre ou craie (Savary)	matched (3)
Albatre	...	2	2		matched (3)
Alembics	...	6	6	Alambic vase utilisé en chimie	matched (3)
Alibans	Cotton	6	6d	Alibanies : toiles de coton (Savary)	matched (3)
Alocir	...	...	...		matched (3)
Aloës	...	5	5		matched (3)
Alpargalle	...	8	8	Chaussures grossières faites de jonc	matched (3)
Alquifoux ou mine de plomb	...	2	2	Savary	matched (3)
Alquitra	...	4	4	Huile de Catalogne	matched (3)
Alumettes	...	8	8		matched (3)
Alun	...	5	5		matched (3)
Amadou	...	5	5		matched (3)
Amandes	...	0	0a		matched (3)
Amandes ; cassées	...	0	0a		matched (3)
Amandes ; en coques	...	0	0a		matched (3)
Ambre	...	2	2		matched (3)
Ambre ; carabé	...	2	2		matched (3)
Ambre ; gris	...	2	2		matched (3)
Ambre ; jaune	...	2	2		matched (3)
Ambre ; moulu	...	2	2		matched (3)
Ameçons	...	6	6		matched (3)
Amertis	Cotton	6	6d	Etoffe du Bengale ; Amirtis , région de Patna, Toile peinte	matched (3)
Amidon	...	5	5		matched (3)
Amomum	...	2	2	Sorte de fruit utilisé en médecine (Savary)	matched (3)
Anacardes	...	2	2	Fève utilisés en médecine (Savary)	matched (3)
Ananas	...	0	0b	Ananas semble-t-il plutôt qu'Anabas (poisson mais inconnu avant le début du 19e semble-t-il	matched (3)
Anatose	...	...	...	Anacoste est une toile de laine ? Ou matière minérale BD ?	matched (3)
Anchois	...	0	0a		matched (3)
Ancres ; de fer	...	6	6		matched (3)
Ânes	...	0	0a		matched (3)
Angélique	...	5	5		matched (3)
Anguilles	...	0	0		matched (3)
Aniec	...	0	0a		matched (3)
Anille	...	6	6	Crochet de frein	matched (3)
Anis	...	0	0a		matched (3)
Anisette	...	1	1		matched (3)
Ânons	...	0	0a		matched (3)
Anspects	...	6	6	Anspect (barre d') : barre amovibles servant à faire tourner le cabestan. (dictionnaire des termes maritimes)	matched (3)
Antimoine	...	5	5		matched (3)
