orthographic_pierre,FDO simpl,simplification,status,beforeItems,afterItems,obsolete,imprimatur
graine de toute espèce,[graine ; diverse],[graine ; diverse],ambiguous,,[Graines ; de toutes espèces],no,Federico D'Onofrio
graine diverse,[graine ; diverse],[graine ; diverse],ambiguous,,[Graines ; Diverses] [Graines; Diverses] [Graines ; diverses] [Graine ; diverses] [Graine diverses] [Graines diverses],no,Federico D'Onofrio
avoine,grain ; avoine,[avoine],ambiguous,[Avoine ; mondée] [Avoines] [Avoinne] [avoine] [Avoine],[Avoines] [Avoinne] [avoine] [Avoine],no,Federico D'Onofrio
avoine mondée,grain ; avoine,[avoine],ambiguous,,[Avoine ; mondée],no,Federico D'Onofrio
graine comestible avoine,grain ; avoine,[avoine],ambiguous,,[Graines comestibles ; Avoine] [Graines ; comestibles ; avoine],no,Federico D'Onofrio
grains comestibles avoine,grain ; avoine,[avoine],ambiguous,,[Grains comestibles ; avoine] [Grains comestibles ; Avoine] [Grains ; comestibles ; avoine] [Grains comestibles avoine] [Grains comestibles (avoine)] [Grain comestible avoine],no,Federico D'Onofrio
grains comestibles en avoine,grain ; avoine,[avoine],ambiguous,,[Grains ; comestibles ; en avoine],no,Federico D'Onofrio
graine,grain ; divers,[graine],ambiguous,[Graines] [Grain],[Graines] [Graine],no,Federico D'Onofrio
graine comestible diverse,grain ; divers,[graine ; diverse],ambiguous,,[Graines comestibles ; divers],no,Federico D'Onofrio
grains,grain ; divers,[graine],ambiguous,,[Grain],no,Federico D'Onofrio
grains divers,grain ; divers,[graine ; diverse],ambiguous,,[Grains ; diverses] [Grains ; divers] [Grains divers;] [Grains diverses],no,Federico D'Onofrio
grains mêlés,grain ; divers,[graine ; diverse],ambiguous,,[grains mellés],no,Federico D'Onofrio
grains mêlés de toute sorte,grain ; divers,[graine ; diverse],ambiguous,,[grains mellés de toute sorte],no,Federico D'Onofrio
blé de froment,grain ; froment,[grain ; froment],ambiguous,,[Bled ; de froment] [Bled de froment],no,Federico D'Onofrio
blé froment,grain ; froment,[blé ; froment] [grain ; froment],ambiguous,,[Blés/Froments] [Blé-Froment] [Bles ; froment] [Bled; froment] [Bled fromant] [Bleds froment] [Beld froment] [Bléd froment] [Bled Fromant] [Bléd Fromente] [Bled fromen] [Blé ; froment] [Ble Froment] [bled froment] [Bled froment] [Bled ; froment] [Blé Froment] [Bled Froment] [Blés froment] [Blé froment],no,Federico D'Onofrio
froment,grain ; froment,[grain ; froment],ambiguous,[froment] [Froment],[froment] [Froment],no,Federico D'Onofrio
graine comestible blé et froment,grain ; froment,[grain ; froment],ambiguous,,[Graines comestibles ; blé et froment],no,Federico D'Onofrio
graine comestible en blé froment,grain ; froment,[grain ; froment],ambiguous,,[Graines ; comestibles ; en bled froment],no,Federico D'Onofrio
graine comestible froment,grain ; froment,[grain ; froment],ambiguous,,[Graines ; comestibles ; froment],no,Federico D'Onofrio
grains blé,grain ; froment,[grain ; froment],ambiguous,,[Grains; Bled;] [Grains; Bled] [Grains ; bled],no,Federico D'Onofrio
grains blé froment,grain ; froment,[grain ; froment],ambiguous,,[Grains ; bled ; froment] [Grains; Bled; Froment] [Grains ; bled froment],no,Federico D'Onofrio
grains comestibles blé,grain ; froment,[grain ; froment],ambiguous,,[Grains ; comestibles ; bled],no,Federico D'Onofrio
grains comestibles blé blanc,grain ; froment,[grain ; froment],ambiguous,,[Grains ; comestibles ; bled ; blanc],no,Federico D'Onofrio
grains comestibles blé froment,grain ; froment,[grain ; froment],ambiguous,,[Grains comestibles ; bled froments] [Grains comestibles Bled Froment] [Grains comestibles ; Bled Froment] [Grains ; comestibles ; bled ; froment] [Grains ; comestibles ; bled froment],no,Federico D'Onofrio
grains comestibles blé roux,grain ; froment,[grain ; froment],ambiguous,,[Grains ; comestibles ; bled ; roux],no,Federico D'Onofrio
grains comestibles en froment,grain ; froment,[grain ; froment],ambiguous,,[Grains ; comestibles ; en froment],no,Federico D'Onofrio
grains comestibles froment,grain ; froment,[grain ; froment],ambiguous,,[Grains; Comestibles (froment)] [Grains comestibles; Froment] [Grains ; comestibles ; froment],no,Federico D'Onofrio
grains en froment,grain ; froment,[grain ; froment],ambiguous,,[Grains ; en froment],no,Federico D'Onofrio
grains froment,grain ; froment,[grain ; froment],ambiguous,,[Grains; Froment],no,Federico D'Onofrio
blé d'Inde,grain ; maïs,[grain ; maïs],ambiguous,,[Bled ; d'Indes] [Bled ; d'Inde] [Bled; d'inde] [Bled dinde] [Bled ; d'inde] [Bledinde] [Ble d'inde] [Bled d'inde] [Bled 'inde] [Bled inde],no,Federico D'Onofrio
blé de maïs,grain ; maïs,[grain ; maïs],ambiguous,,[Bled ; de maïs],no,Federico D'Onofrio
blé maïs,grain ; maïs,[grain ; maïs],ambiguous,,[Bled ; mabi] [Bled ; matry] [Bled ; maby] [Bles ; mahy] [Bled ; mahi] [Bled ; mais] [Bled Mahy] [Bleds Mahy] [Bled ; maïs] [Bled mais] [Bled ; mahy] [Bled mahy] [Blé mais] [Blé maïs] [Bled maïs],no,Federico D'Onofrio
maïs,grain ; maïs,[grain ; maïs],ambiguous,[Maïs],[Mais] [Mays] [Maïs],no,Federico D'Onofrio
méteil,grain ; méteil,[méteil],ambiguous,[Méteil],[Méteil] [Meseil],no,Federico D'Onofrio
graine de millet,grain ; millet,[graine ; de millet],ambiguous,,[Graines ; De Milles] [Graines ; De millet] [Graines ; de milles] [Graines ; de Millet] [Graines ; de millet] [graine de millot] [Graine ; de millet] [Graines de millet] [Graine de millet] [Graine de millot],no,Federico D'Onofrio
