line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
2,National partenaires manquants,1752,,,Espagne,Exports,Acier,,,15580,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",99,23754,,,,Annick Davis,,,,,,,,,,,
17,National partenaires manquants,1752,,,Espagne,Exports,Ajamis,,,234810,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",99,369414,,,,Annick Davis,,,,,,,,,,,
22,National partenaires manquants,1752,,,Espagne,Exports,Aiguilles,,,3250,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",99,4581,,,,Annick Davis,,,,,,,,,,,
23,National partenaires manquants,1752,,,Espagne,Exports,Ails,,,100,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",96,116,,,,Annick Davis,,,,,,,,,,,
26,National partenaires manquants,1752,,,Espagne,Exports,Alun,,,6303,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",96,11019,,,,Annick Davis,,,,,,,,,,,
33,National partenaires manquants,1752,,,Espagne,Exports,Amadou,,,758,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",96,758,,,,Annick Davis,,,,,,,,,,,
36,National partenaires manquants,1752,,,Espagne,Exports,Amandes ; cassées,,,7233,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",96,327514,,,,Annick Davis,,,,,,,,,,,
49,National partenaires manquants,1752,,,Espagne,Exports,Ameçons,,,560,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,560,,,,Annick Davis,,,,,,,,,,,
52,National partenaires manquants,1752,,,Espagne,Exports,Amidon,,,1677,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,50837,,,,Annick Davis,,,,,,,,,,,
72,National partenaires manquants,1752,,,Espagne,Exports,Anis,,,1449,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Espagne_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,6070,,,,Annick Davis,,,,,,,,,,,
