source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
National partenaires manquants,1752,,,Angleterre,Exports,Gaze ; soïe et fil,,,2468,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",151,1716,44877,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Gensine,,,7042,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",151,1723,8022,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Gibier ; cailles,,,400,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",152,1731,1086,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Gingembre,,,735,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",152,1734,39882,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Graine ; de genièvre,,,20,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",154,1786,193685,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Graine ; de lin,,,54968,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",154,1802,193685,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Graine ; de luzerne,,,198,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",154,1806,193685,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Graine ; de moutarde,,,426,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",154,1810,193685,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Habits,,,300,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",155,1838,20854,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Herbes ; d'orseille,,,5,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",156,1857,16074,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Huile ; de lin,,,124,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",157,1874,616786,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Huile ; d'olive,,,3270,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",157,1885,616786,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Huile ; de rabette,,,386,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",157,1903,616786,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Huitres ; à l'Ecaille,,,200,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",158,1911,18849,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Indigo,,,852860,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",159,1938,7521790,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Instrumens de musique ; violons,,,800,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",159,1951,1419,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Lacque ; platte,,,17,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",160,1971,4061,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Laine ; filée,,,27,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",161,1983,784139,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Lard,,,44,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",162,2017,8313,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Leton ; Ouvré,,,933,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",163,2031,93031,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Liege,,,45,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",163,2045,22150,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Lustres,,,400,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",164,2085,30816,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Marchandises ; meslées,,,42746,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",166,2117,1018530,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Marons,,,140,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",166,2131,703,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Mercerie,,,67202,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",167,2141,4842838,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Meubles,,,250,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",167,2157,19992,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Miel,,,16181,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",168,2167,348476,,,,Annick Davis,,,,,,,,,,,
