line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
6,National partenaires manquants,1752,,,Portugal,Exports,Acier,,,1848,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",99,23754,,,,Annick Davis,,,,,,,,,,,
75,National partenaires manquants,1752,,,Portugal,Exports,Anis,,,337,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,6070,,,,Annick Davis,,,,,,,,,,,
101,National partenaires manquants,1752,,,Portugal,Exports,Argenterie,,,25137,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",98,192364,,,,Annick Davis,,,,,,,,,,,
115,National partenaires manquants,1752,,,Portugal,Exports,Avirons,,,140,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",99,1040,,,,Annick Davis,,,,,,,,,,,
154,National partenaires manquants,1752,,,Portugal,Exports,Bas ; de fil,,,600,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",101,3492571,,,,Annick Davis,,,,,,,,,,,
160,National partenaires manquants,1752,,,Portugal,Exports,Bas ; de fleuret,,,528,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",101,3492571,,,,Annick Davis,,,,,,,,,,,
167,National partenaires manquants,1752,,,Portugal,Exports,Bas ; de laine,,,24488,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",101,3492571,,,,Annick Davis,,,,,,,,,,,
179,National partenaires manquants,1752,,,Portugal,Exports,Bas ; de Soye,,,158974,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",101,3492571,,,,Annick Davis,,,,,,,,,,,
209,National partenaires manquants,1752,,,Portugal,Exports,Beufs ; salé,,,61,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",103,264790,,,,Annick Davis,,,,,,,,,,,
223,National partenaires manquants,1752,,,Portugal,Exports,Beurre,,,2970,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",103,305731,,,,Annick Davis,,,,,,,,,,,
234,National partenaires manquants,1752,,,Portugal,Exports,Bierre,,,649,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Portugal_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",103,2281,,,,Annick Davis,,,,,,,,,,,
