line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,National partenaires manquants,1771,,,Constantinople,Imports,Bois de buis,,,410,,4100,Livre,"0,1",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,Prix unitaire en pourcentage,0,,,,,,,,
2,National partenaires manquants,1771,,,Constantinople,Imports,Bourre de soye,,,15277,,38194,Livre,"0,4",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,Prix unitaire en pourcentage,"0,6",,,,,,,,
3,National partenaires manquants,1771,,,Constantinople,Imports,Caffetieres,,,3165,,1266,Pièce,"2,5",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,Erreur prix unitaire,0,,,,,,,,
4,National partenaires manquants,1771,,,Constantinople,Imports,Cire jeaune,,,20899,,13933,Livre,"1,5",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,Prix unitaire en pourcentage,"0,5",,,,,,,,
5,National partenaires manquants,1771,,,Constantinople,Imports,Coton filé,,,144,,96,Livre,"1,5",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,,0,,,,,,,,
6,National partenaires manquants,1771,,,Constantinople,Imports,Cuirs d'Andrinople,,,2800,,140,Pièce,20,sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,,0,,,,,,,,
7,National partenaires manquants,1771,,,Constantinople,Imports,Crin,,,3948,,13160,Livre,"0,3",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,Prix unitaire en pourcentage,0,,,,,,,,
8,National partenaires manquants,1771,,,Constantinople,Imports,Fil de chevre,,,557280,,139320,Livre,4,sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,,0,,,,,,,,
9,National partenaires manquants,1771,,,Constantinople,Imports,Graine d'avignon,,,99,,330,Livre,"0,3",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,Prix unitaire en pourcentage,0,,,,,,,,
10,National partenaires manquants,1771,,,Constantinople,Imports,Laine surge,,,1388235,,2776471,Livre,"0,5",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,Prix unitaire en pourcentage,"0,5",,,,,,,,
11,National partenaires manquants,1771,,,Constantinople,Imports,Laine de chevron,,,9242,,7702,Livre,"1,2",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,,"0,4",,,,,,,,
12,National partenaires manquants,1771,,,Constantinople,Imports,Orpiment,,,880,,2200,Livre,"0,4",sources/National partenaires manquants/Bibliotheque_Historique_de_la_Ville_de_Paris_Fonds_Montyon_101FOSS_25_partner_Levant_Imports_1771.csv,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,1,,,,,Anthony Rebours,1,Prix unitaire en pourcentage,0,,,,,,,,
