dataentryby	Source	year	sheet	marchandises	pays	quantit	value	leurvaleursub~1	leurvaleursub~2	total	Remarks	exportsimports	numrodeligne
Saadia Mai	AN F12 243	1776	4	Acier	Espagne	20210	7775			44618		Imports	1
Saadia Mai	AN F12 243	1776	4	Acier	Hollande	4645	1625			44618		Imports	2
Saadia Mai	AN F12 243	1776	4	Acier	Levant	15070	5274			44618		Imports	3
Saadia Mai	AN F12 243	1776	4	Acier	Suisse	16000	5600			44618		Imports	4
Saadia Mai	AN F12 243	1776	4	Acier	Isles	27219	9803			44618		Imports	5
Saadia Mai	AN F12 243	1776	4	Acier	Guinée	4000	1400			44618		Imports	6
Saadia Mai	AN F12 243	1776	4	Acier	Indes	36460	13141			44618		Imports	7
Saadia Mai	AN F12 243	1776	4	Agneaux	Savoye	565	1130					Imports	8
Saadia Mai	AN F12 243	1776	4	Ajustements	Allemagne		6710			9629		Imports	9
Saadia Mai	AN F12 243	1776	4	Ajustements	Angleterre		2919			9629		Imports	10
Saadia Mai	AN F12 243	1776	4	Alun	Espagne	10247	2090			33243		Imports	11
Saadia Mai	AN F12 243	1776	4	Alun	Hollande	5400	1080			33243		Imports	12
Saadia Mai	AN F12 243	1776	4	Alun	Italie	24155	4831			33243		Imports	13
Saadia Mai	AN F12 243	1776	4	Alun	Genes	25255	5051			33243		Imports	14
Saadia Mai	AN F12 243	1776	4	Alun	Levant	94475	18895			33243		Imports	15
Saadia Mai	AN F12 243	1776	4	Alun	Suisse	5187	1296			33243		Imports	16
Saadia Mai	AN F12 243	1776	4	Amadou	Espagne	1200	1440					Imports	17
Saadia Mai	AN F12 243	1776	4	Amandes	Angleterre	52	2080			310953	le total devrait être 31053	Imports	18
Saadia Mai	AN F12 243	1776	4	Amandes	Espagne	37070	7414			310953		Imports	19
Saadia Mai	AN F12 243	1776	6	Amandes	Hollande	188633	37728			310953		Imports	20
Saadia Mai	AN F12 243	1776	6	Amandes	Italie	48850	9770			310953		Imports	21
Saadia Mai	AN F12 243	1776	6	Amandes	Naples	34050	6810			310953		Imports	22
Saadia Mai	AN F12 243	1776	6	Amandes	Genes	141805	28361			310953		Imports	23
Saadia Mai	AN F12 243	1776	6	Amandes	Venise	56320	11264			310953		Imports	24
Saadia Mai	AN F12 243	1776	6	Amandes	Levant	244570	48912			310953		Imports	25
Saadia Mai	AN F12 243	1776	6	Amandes	Nord	95500	19100			310953		Imports	26
Saadia Mai	AN F12 243	1776	6	Amandes	Savoye	113215	36384			310953		Imports	27
Saadia Mai	AN F12 243	1776	6	Amandes	Suede	46334	9370			310953		Imports	28
Saadia Mai	AN F12 243	1776	6	Amandes	Isles	418720	88805			310953		Imports	29
Saadia Mai	AN F12 243	1776	6	Amandes	Guinée	16350	2370			310953		Imports	30
Saadia Mai	AN F12 243	1776	6	Amandes	Indes	8425	1685			310953		Imports	31
Saadia Mai	AN F12 243	1776	6	Ambre	Guinée	115	13800					Imports	32
Saadia Mai	AN F12 243	1776	6	Amidon	Flandre	237342	71202			85379		Imports	33
Saadia Mai	AN F12 243	1776	6	Amidon	Isles	62800	12560			85379		Imports	34
Saadia Mai	AN F12 243	1776	6	Amidon	Indes	8085	1617			85379		Imports	35
Saadia Mai	AN F12 243	1776	6	Anchois	Espagne	10460	2092			24527		Imports	36
Saadia Mai	AN F12 243	1776	6	Anchois	Hollande	26304	10014			24527		Imports	37
Saadia Mai	AN F12 243	1776	6	Anchois	Italie	7270	3635			24527		Imports	38
Saadia Mai	AN F12 243	1776	6	Anchois	Levant	3620	1810			24527		Imports	39
Saadia Mai	AN F12 243	1776	6	Anchois	Nord	2904	1452			24527		Imports	40
Saadia Mai	AN F12 243	1776	6	Anchois	Isles	4075	3187			24527		Imports	41
Saadia Mai	AN F12 243	1776	6	Anchois	Indes	3116	2337			24527		Imports	42
Saadia Mai	AN F12 243	1776	6	Anis	Savoye	9350	1870			3745		Imports	43
Saadia Mai	AN F12 243	1776	6	Anis	Suede	9375	1875			3745		Imports	44
Saadia Mai	AN F12 243	1776	6	Antimoine	Espagne	2210	1105			5110		Imports	45
Saadia Mai	AN F12 243	1776	6	Antimoine	Hollande	6300	2520			5110		Imports	46
Saadia Mai	AN F12 243	1776	6	Antimoine	Savoye	9900	1485			5110		Imports	47
Saadia Mai	AN F12 243	1776	6	Arbres à planter	Angleterre	2796	1398					Imports	48
Saadia Mai	AN F12 243	1776	6	Ardoises	Flandre	258	6450			9352		Imports	49
Saadia Mai	AN F12 243	1776	6	Ardoises	Isles	1812	2902			9352		Imports	50
Saadia Mai	AN F12 243	1776	6	"Argent; vif"	Levant	4174	20870	22070		22070		Imports	51
Saadia Mai	AN F12 243	1776	6	"Argent; vif"	Savoye	240	1200	22070		22070		Imports	52
Saadia Mai	AN F12 243	1776	8	Argenterie	Allemagne	692	39479			348488		Imports	53
Saadia Mai	AN F12 243	1776	8	Argenterie	Angleterre	518	29526			348488		Imports	54
Saadia Mai	AN F12 243	1776	8	Argenterie	Danemark	50	2878			348488		Imports	55
Saadia Mai	AN F12 243	1776	8	Argenterie	Espagne		47681			348488		Imports	56
Saadia Mai	AN F12 243	1776	8	Argenterie	Flandre	92	5244			348488		Imports	57
Saadia Mai	AN F12 243	1776	8	Argenterie	Hollande	32	1824			348488		Imports	58
Saadia Mai	AN F12 243	1776	8	Argenterie	Italie	260	14820			348488		Imports	59
Saadia Mai	AN F12 243	1776	8	Argenterie	Levant	49	2793			348488		Imports	60
Saadia Mai	AN F12 243	1776	8	Argenterie	Portugal	117	6669			348488		Imports	61
Saadia Mai	AN F12 243	1776	8	Argenterie	Russie	106	6042			348488		Imports	62
Saadia Mai	AN F12 243	1776	8	Argenterie	Savoye	31	1767			348488		Imports	63
Saadia Mai	AN F12 243	1776	8	Argenterie	Isles	2365	132322			348488		Imports	64
Saadia Mai	AN F12 243	1776	8	Argenterie	Guinée	181	10068			348488		Imports	65
Saadia Mai	AN F12 243	1776	8	Argenterie	Indes	845	47375			348488		Imports	66
Saadia Mai	AN F12 243	1776	8	"Armes; blanches"	Guinée	9975	19950	32024		713214		Imports	67
Saadia Mai	AN F12 243	1776	8	"Armes; blanches"	Indes	6037	12074	32024		713214		Imports	68
Saadia Mai	AN F12 243	1776	8	"Armes; à feu"	Isles	76774	76774	681190		713214		Imports	69
Saadia Mai	AN F12 243	1776	8	"Armes; à feu"	Guinée	471550	471550	681190		713214		Imports	70
Saadia Mai	AN F12 243	1776	8	"Armes; à feu"	Indes	132866	132866	681190		713214		Imports	71
Saadia Mai	AN F12 243	1776	8	Arquifou	Italie	8000	1200			41021		Imports	72
Saadia Mai	AN F12 243	1776	8	Arquifou	Levant	265475	39821			41021		Imports	73
Saadia Mai	AN F12 243	1776	8	Artichaux	Isles	10487	10487			13001		Imports	74
Saadia Mai	AN F12 243	1776	8	Artichaux	Indes	5029	2514			13001		Imports	75
Saadia Mai	AN F12 243	1776	8	Assafetida	Hollande	2171	4342					Imports	76
Saadia Mai	AN F12 243	1776	8	Avirons	Hollande	1319	5937					Imports	77
Saadia Mai	AN F12 243	1776	8	Avoine	Isles	80960	4048					Imports	78
Saadia Mai	AN F12 243	1776	10	Azur	Espagne	3500	2500			34034		Imports	79
Saadia Mai	AN F12 243	1776	10	Azur	Levant	2558	1534			34034		Imports	80
Saadia Mai	AN F12 243	1776	10	Azur	Indes	40000	30000			34034		Imports	81
Saadia Mai	AN F12 243	1776	10	Babus	Guinée	500	1500					Imports	82
Saadia Mai	AN F12 243	1776	10	Barils vuides	Guinée	2920	2920					Imports	83
Saadia Mai	AN F12 243	1776	10	"Bas; de coton"	Isles	2259	81324			3656798		Imports	84
Saadia Mai	AN F12 243	1776	10	"Bas; de fil et coton"	Allemagne	1429	13836	211470		3656798		Imports	85
Saadia Mai	AN F12 243	1776	10	"Bas; de fil et coton"	Angleterre	1058	5288	211470		3656798		Imports	86
Saadia Mai	AN F12 243	1776	10	"Bas; de fil et coton"	Espagne	9385	46926	211470		3656798		Imports	87
Saadia Mai	AN F12 243	1776	10	"Bas; de fil et coton"	Geneve	262	2620	211470		3656798		Imports	88
Saadia Mai	AN F12 243	1776	10	"Bas; de fil et coton"	Italie	400	2000	211470		3656798		Imports	89
Saadia Mai	AN F12 243	1776	10	"Bas; de fil et coton"	Isles	25712	128510	211470		3656798		Imports	90
Saadia Mai	AN F12 243	1776	10	"Bas; de fil et coton"	Indes	6145	12290	211470		3656798		Imports	91
Saadia Mai	AN F12 243	1776	10	"Bas; de filozelle"	Allemagne	2098	31470	58361		3656798		Imports	92
Saadia Mai	AN F12 243	1776	10	"Bas; de filozelle"	Espagne	1914	24161	58361		3656798		Imports	93
Saadia Mai	AN F12 243	1776	10	"Bas; de filozelle"	Portugal	182	2730	58361		3656798		Imports	94
Saadia Mai	AN F12 243	1776	10	"Bas; de laine"	Allemagne	374	2244	248395		3656798		Imports	95
Saadia Mai	AN F12 243	1776	10	"Bas; de laine"	Espagne	27005	162069	248395		3656798		Imports	96
Saadia Mai	AN F12 243	1776	10	"Bas; de laine"	Flandre	4017	24105	248395		3656798		Imports	97
Saadia Mai	AN F12 243	1776	10	"Bas; de laine"	Geneve	303	1818	248395		3656798		Imports	98
