numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
35,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,33,Eau de vie simple,St Domingue,32,60,Charente,pintes,,0
36,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,33,Etoffe de laine (prunelle),St Domingue,154,22,Bordeaux,aunes,,0
37,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,33,Etoffe de soye,St Domingue,1045,215,Rochefort,aunes,,0
38,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,33,Etoffe de soye,St Domingue,467,31,Bordeaux,aunes,,0
39,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Farine,St Domingue,10001,60005,Bordeaux,livres,,0
40,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Fer en barres,St Domingue,4375,26875,Petesbourg,livres,,0
41,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Fer en barres,St Domingue,800,4000,Bordeaux,livres,,0
42,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Fer feuillard,St Domingue,4320,24000,Hollande,livres,,0
43,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Fer en ancres,St Domingue,270,900,Rochefort,livres,,0
44,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Fil de lin,St Domingue,289,193,Nantes,livres,,0
