numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
256,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,Out,1789,Exports,Bayonne,Bayonne,4,Cacao des colonies françaises de l’Amérique,Étranger,19412,38825,336860,livres,"Répétition (prix différents, quantités parfois semblables) avec F12 1666",
261,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,Out,1789,Exports,Bayonne,Bayonne,4,Caffé des colonies françaises de l’Amérique,Étranger,95025,90500,72801999,livres,"Répétition (prix différents, quantités parfois semblables) avec F12 1666",
294,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,Out,1789,Exports,Bayonne,Bayonne,4,Sucre brut des colonies françaises,Étranger,157753,366866,22002675,livres,"Répétition (prix différents, quantités parfois semblables) avec F12 1666",
307,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,Out,1789,Exports,Bayonne,Bayonne,4,Sucre terré des colonies françaises de l’Amérique,Étranger,176813,285182,44248771,livres,"Répétition (prix différents, quantités parfois semblables) avec F12 1666",
317,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,Out,1789,Exports,Bayonne,Bayonne,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,4760,,2336369,,"Répétition (prix différents, quantités parfois semblables) avec F12 1666",
257,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,Cacao des colonies françaises de l’Amérique,Étranger,71827,143657,336860,livres,,
262,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,Caffé des colonies françaises de l’Amérique,Étranger,36025780,34310273,72801999,livres,,
273,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,Coton des colonies françaises,Étranger,3368654,2245770,8494506,livres,,
282,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,Indigo des colonies françaises,Étranger,3719723,391550,6678970,livres,,
289,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,Rocou des colonies françaises,Étranger,13611,15124,66239,livres,,
