numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
1,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Acier en barre,St Domingue,134,450,Allemagne,livres,,0
2,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Anneau de fer,St Domingue,2513,8976,Espagne,livres,,0
3,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Armes (sabres),St Domingue,160,40,St Esprit,en nombre,,0
4,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Beurre,St Domingue,2475,3300,Hollande,en nombre,,0
5,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Beurre,La Martinique,11122,13496,Hollande,livres,,0
6,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bierre,St Domingue,270,"5,2083333333",Hollande,muids,,0
8,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bois feuillard,St Domingue,2467,1645,Béarn,paquets,,0
9,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bois feuillard,La Martinique,906,604,Béarn,paquets,,0
10,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bois merrain,La Martinique,400,2580,Béarn,douzaines,,0
11,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Boucans en bottes,La Martinique,304,76,Béarn,en nombre,,0
12,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Planches de pin,St Domingue,245,700,Marencin,en nombre,,0
