quantity_unit,u_conv,q_conv,Remarque_unit
,,,
aunes,mètre,1.1884,Wikipédia
aunes ?,mètre,1.1884,Wikipédia
barils,kg,13.6,Comme chez Werner (Baril d'anchoix à Londres ?)
bariques,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner)
bûches,pcs,1,???
caisses,,,
cents,kg,26000,"D'après Doursther, mesure pour le sel - varie suivant le lieu entre 28 et 26 tonnes"
cents ?,kg,26000,"D'après Doursther, mesure pour le sel - varie suivant le lieu entre 28 et 26 tonnes"
charges,kg,146.85001,D'après Doursther (France). Aussi la valeure choisie par Werner
douzaines,pcs,12,
en nombre,pcs,1,
leth (12 barils) ?,,,Savary : mesure pour la cendre
livres,kg,.48949999,Wikipedia: poids du marc
marcs,kg,.24474999,Wikipedia: poids du marc
millerolles ?,kg,62.84,Savary : 66 pintes mesures de paris / 130 livres poids du marc
milliers,pcs,1000,Pas dans Doursther
millions,pcs,1000000,Pas dans Doursther
morceaux,pcs,1,Pas dans Doursther
moules,,,"Doursther : ""mesure de solidité pour le bois de chauffage, en usage en Suisse)"
muids,kg,268,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter)
paniers,,,"Doursther : 200 harengs à Amsterdam, 50 bouteilles en Champagne"
pièces,pcs,1,
pièces ?,pcs,1,
pots,kg,2.164,"Doursther : liquide ou matières sèches. Bordeaux : 2,1640 litres. Pash chez Werner"
rames,pcs,500,Doursther : mesure pour le papier. Entre 360 et 500 feuilles
tonneaux,,,Doursther : compliqué. 
veltes,kg,7.4299998,Dourshter : mesure de Paris
