marchandises_norm_ortho,marchandises_simplifiees,source_bdc,nbr_bdc_marchandises_norm_ortho,nbr_bdc_marchandises_simplifiees
bois ; à teindre ; moulu,bois ; à teindre ; moulu,1,5,5
bois ; à teindre ; râpé,bois ; à teindre ; râpé,1,1,1
bois ; à teindre de toute sorte,bois ; à teindre de toute sorte,1,1,1
bois ; à tierçon,bois ; à tierçon,1,1,1
bois ; à tonneau,bois ; à tonneau,1,1,1
bois ; à tourner,bois ; à tourner,1,1,1
bois ; à faire fourreau,,1,1,31324
bois ; écarié,bois ; écarié,1,1,1
bois ; épar ; de 4 à 5 pieds,bois ; épar ; de 4 à 5 pieds,1,1,1
bois ; épar ; de 40 à 50 pieds,bois ; espar ; de 40 à 50 pieds,1,1,2
bois et merrain,bois et merrain,0,0,0
bois et papier ; d'éventail,bois et papier ; d'éventail,0,0,0
boisson,boisson,1,1,1
boisson ; bière et cidre,boisson ; bière et cidre,1,15,15
boisson ; eau-de-vie,,1,20,31324
boisson ; eaux-de-vie,boisson ; eaux-de-vie,0,0,0
boisson ; liqueur,boisson ; liqueur,1,17,17
boisson ; vin de Bordeaux,boisson ; vin de Bordeaux,1,12,12
boisson ; vin de liqueur,boisson ; vin de liqueur,1,9,9
boisson ; vin divers ordinaire,boisson ; vin divers ordinaire,1,20,20
boisson ; vinaigre,boisson ; vinaigre,1,17,17
boisson gazeuse à la salsepareille,boisson gazeuse à la salsepareille,1,1,1
bois ; Sainte Lucie,,1,1,31324
bois ; amer,,1,1,31324
bois ; bordage,,1,1,31324
bois ; campêche,,1,1,31324
bois ; d'esquine,,1,2,31324
bois ; de Brésil,,1,1,31324
bois ; de Brésil ; menu,,1,1,31324
bois ; de Siramonbas,,1,2,31324
bois ; de buis,,1,1,31324
bois ; de camphre,,1,1,31324
bois ; de campêche,,1,1,31324
bois ; de charonage,,1,1,31324
bois ; de chêne,,1,1,31324
bois ; de coulette ; de hêtre,,1,1,31324
bois ; de courbaril,,1,1,31324
bois ; de fernambourg,,1,1,31324
bois ; de genièvre,,1,1,31324
bois ; de goyae,,1,2,31324
bois ; de machemillier,,1,2,31324
bois ; de marqueterie,,1,13,31324
bois ; de rouage,,1,1,31324
bois ; de réglisse,,1,42,31324
bois ; de sainte Marthe,,1,1,31324
bois ; de santal,,1,1,31324
bois ; de senteur,,1,1,31324
bois ; doré,,1,1,31324
bois ; en planche,,1,9,31324
bois ; feuillard,,1,73,31324
bois ; fonçaille,,1,1,31324
bois ; fustel,,1,1,31324
bois ; merrain ; bourdillon,,1,1,31324
bois ; merrain ; de sapin,,1,1,31324
bois ; merrain ; douelle,,1,1,31324
bois ; merrain ; à barrique,,1,2,31324
bois ; merrain ; à fond,,1,2,31324
bois ; merrain ; à pipe,,1,1,31324
bois ; ouvré,,1,58,31324
bois ; ouvré divers,,1,18,31324
"bois ; ouvré ; perche, échalas, échasse",,1,9,31324
"bois ; perche, échalas, éclisse",,1,7,31324
bois ; petit ; de rouage,,1,2,31324
bois ; rosal,,1,1,31324
bois ; scié en planche,,1,61,31324
bois ; à banquiere,,1,1,31324
bois ; à barils ; long,,1,1,31324
bois ; à barils ; ordinaire,,1,1,31324
bois ; à barils ; à fond,,1,1,31324
bois ; à chocolat,,1,1,31324
bois ; à teindre,,1,6,31324
bois ; à teindre ; de Fernambourg,,1,1,31324
bois et merrain,,1,1,31324
bois et papier ; d'éventail,,1,1,31324
bol,bol,1,10,10
bol ; blanche,bol ; blanche,1,1,1
bol ; commun,bol ; commun,1,2,2
bol ; d'Arménie,bol ; d'Arménie,1,10,10
bol ; en bois,bol ; en bois,1,1,1
bol ; fin,bol ; fin,1,1,1
bol et planche,bol et planche,1,1,1
boldavid,boldavid,1,1,1
bombarde,bombarde,1,1,1
bombarde ; de cuivre,bombarde ; de cuivre,1,1,1
bombarde ; de fer,bombarde ; de fer,1,1,1
bombasin,bombasin,1,17,17
bombasin ; de Troyes,"""""""""""""""""""""""""""""""""""""""""""""""""",0,0,0
bombasin ; de Troyes,,1,1,31324
bombe,bombe et grenade,1,3,4
bombe de coton,bombe de coton,1,2,2
bombe et boulet,bombe et boulet,1,1,1
bombe et grenade,bombe et grenade,1,1,4
bonnet,bonneterie ; bonnet,1,5,5
bonnet ; brodé ; d'or,bonnet ; brodé ; d'or,1,1,1
bonnet ; d'enfan,bonneterie ; bonnet ; d'enfant,0,0,0
"bonnet ; d'enfan, de velours et bonnet ; à la postillonne","bonneterie ; bonnet ; d'enfant, de velours et bonnet à la postillonne",0,0,0
bonnet ; d'enfant,bonnet ; d'enfant,1,7,7
"bonnet ; d'enfant, de velours et bonnet ; à la postillonne",,1,1,31324
bonnet ; de blonde,bonnet ; de blonde,1,2,2
bonnet ; de castor,bonneterie ; bonnet ; de castor,1,2,2
bonnet ; de castor ; brodé,bonnet ; de castor ; brodé,1,1,1
bonnet ; de coton,bonneterie ; bonnet ; de coton,1,148,148
bonnet ; de femme,bonneterie ; bonnet ; de femme,1,1,1
bonnet ; de fil,bonnet ; de fil,1,10,10
bonnet ; de fil et coton,bonneterie ; bonnet ; de fil et coton,1,2,2
bonnet ; de filosel,bonneterie ; bonnet ; de filosel,1,1,1
bonnet ; de gaze,bonnet ; de gaze,1,1,1
bonnet ; de grenadine,bonneterie ; bonnet ; de grenadine,1,1,1
bonnet ; de laine,bonnet ; de laine,1,269,269
bonnet ; de laine fin,bonneterie ; bonnet ; de laine fin,1,1,1
"bonnet ; de laine, fil et coton","bonneterie ; bonnet ; de laine, fil et coton",1,1,1
bonnet ; de peau,bonneterie ; bonnet ; de peau,1,1,1
bonnet ; de postillon,bonneterie ; bonnet ; de postillon,1,1,1
bonnet ; de prêtre,bonneterie ; bonnet ; de prêtre,1,1,1
bonnet ; de soie,bonneterie ; bonnet ; de soie,1,11,11
bonnet ; de taffetas,bonnet ; de taffetas,1,3,3
bonnet ; de toile,bonnet ; de toile,1,2,2
bonnet ; de toile cirée,bonneterie ; bonnet ; de toile cirée,1,3,3
bonnet ; de velours,bonneterie ; bonnet ; de velours,1,9,9
bonnet ; de velours ; brodé,bonnet ; de velours ; brodé,1,1,1
bonnet ; fil et coton,bonnet ; fil et coton,1,1,1
bonnet ; picque,bonnet et pique,1,3,3
"bonnet ; picque, carcasse et fer à coeffure",bonnet ; pique ; carcasse et fer à coiffure,1,1,1
bonnet ; piqué,bonneterie ; bonnet ; piqué,1,7,7
bonnet ; à dentelle,bonnet ; à dentelle,1,2,2
bonnet ; à la turc ; de fer ; blanc,bonnet ; à la turc ; de fer ; blanc,1,1,1
bonneterie,bonneterie,1,16,302
bonneterie ; bas ; de bourre ; de soie,bonneterie ; bas ; de bourre ; de soie,1,2,2
bonneterie ; bas ; de coton,bonneterie ; bas ; de coton,1,1,1
bonneterie ; bas ; de laine,bonneterie ; bas ; de laine,1,1,1
bonneterie ; bas ; de soie,bonneterie ; bas ; de soie,1,3,3
bonneterie ; d'estam,bonneterie ; d'estam,1,1,1
bonneterie ; de bourre ; de fil,bonneterie ; de bourre ; de fil,1,1,1
bonneterie ; de bourre ; de soie,bonneterie ; de bourre ; de soie,1,3,3
bonneterie ; de coton,bonneterie ; de coton,1,55,55
bonneterie ; de coton ; au tricot,bonneterie ; de coton ; tricot,1,1,1
bonneterie ; de coton et laine,bonneterie ; de coton et laine,1,2,2
"bonneterie ; de coton, fil et laine",bonneterie ; de coton ; fil et laine,1,1,1
bonneterie ; de fil,bonneterie ; de fil,1,55,55
bonneterie ; de fil et coton,bonneterie ; de fil et coton,1,11,11
"bonneterie ; de fil, coton et laine","bonneterie ; de fil, coton et laine",1,24,24
bonneterie ; de filain ; d'or,bonneterie ; de filain ; d'or,1,3,3
bonneterie ; de filoselle,bonneterie ; de filoselle,1,20,20
bonneterie ; de laine,bonneterie ; de laine,1,138,141
bonneterie ; de laine ; ?,bonneterie ; de laine,1,1,141
bonneterie ; de laine ; diverse,bonneterie ; de laine,1,1,141
bonneterie ; de laine et coton,bonneterie ; de laine et coton,1,1,1
bonneterie ; de soie,bonneterie ; de soie,1,327,330
bonneterie ; de soie ; au 6e,bonneterie ; de soie,1,3,330
bonneterie ; de soie ; ruban,ruban ; de soie,1,1,581
bonneterie ; de soie ; tricot,bonneterie ; de soie ; tricot,1,1,1
bonneterie ; de soie et dorure,bonneterie ; de soie et dorure,1,3,3
bonneterie ; diverse,bonneterie,1,283,302
bonneterie ; en ?,bonneterie,1,3,302
bonneterie ; en poil ; de lapin,bonneterie ; en poil ; de lapin,1,1,1
bonneterie ; écarlate,bonneterie ; écarlate,0,0,0
bonneterie ; de coton,,1,1,31324
bonneterie ; de laine,,1,2,31324
bonneterie ; écarlate,,1,1,31324
borax,drogue ; médicinale ; borax,1,150,157
borax ; brut,borax ; brut,1,1,1
borax ; gras,borax ; gras,1,8,8
borax ; raffiné,borax ; raffiné,1,7,7
borax ; rafiné,borax ; rafiné,1,5,5
borax ; brut,,1,1,31324
bordage,bordage,1,7,7
bordage ; de chêne,bordage ; de chêne,1,27,27
bordage ; de cipres,bordage ; de cipres,1,1,1
bordage ; de sapin,bordage ; de sapin,1,9,9
bordage ; de sapin ; de 20 pieds,bordage ; de sapin ; de 20 pieds,0,0,0
bordage ; pour navire,bordage ; pour navire,1,1,1
bordage ; de chêne,,1,3,31324
bordage ; de sapin,,1,1,31324
bordage ; de sapin ; de 20 pieds,,1,1,31324
bordure ; de bois ; doré,bordure ; de bois ; doré,1,2,2
bordure ; de tapisserie,bordure ; de tapisserie,1,1,1
bordure ; dorée,bordure ; dorée,1,1,1
botte,botte,1,13,13
botte ; de cuir,botte ; de cuir,1,13,13
botte ; de cuir ; forte,botte ; de cuir ; forte,1,1,1
botte ; de cuir à matelot,botte ; de cuir à matelot,1,1,1
botte ; forte,botte ; forte,1,46,46
botte ; molle,botte ; molle,1,4,4
botte ; neuve,botte ; neuve,1,3,3
botte et bottine,botte et bottine,1,3,3
botte pantalon,botte pantalon,1,1,1
bottine,bottine,1,12,12
boucassin,boucassin,1,16,16
bouchon,bouchon,1,7,7
bouchon ; de liège,bouchon ; de liège,1,543,543
boucle,boucle,1,8,8
boucle ; d'argent,boucle ; d'argent,1,2,2
boucle ; d'oreille,boucle ; d'oreille,1,4,4
boucle ; de Pinsbeck,boucle ; de Pinsbeck,1,1,1
boucle ; de cuivre,boucle ; de cuivre,1,2,2
boucle ; de fer,boucle ; de fer,1,2,2
boucle ; de sapin,boucle ; de sapin,1,2,2
boucle ; de soulier ; à pierre ; fausse,boucle ; de soulier ; à pierre ; fausse,1,1,1
boudille,boudille,1,1,1
boudin de poisson,boudin de poisson,1,1,1
boue de sel,sel ; de boue,1,1,2
bouette ; de sapin,bouette ; de sapin,1,1,1
bougie,bougie,1,469,469
bougie ; blanche,bougie ; blanche,1,23,23
bougie ; de blanc ; de baleine,bougie ; de blanc ; de baleine,1,1,1
bougie ; de cire ; blanche,bougie ; de cire ; blanche,1,12,12
bougie ; de cire ; verte,bougie ; de cire ; verte,1,1,1
bougie ; de suif,bougie ; de suif,1,1,1
bougie ; de table,bougie ; de table,1,5,5
bougie ; de table et cierge,bougie ; de table et cierge,1,1,1
bougie ; jaune,bougie ; jaune,1,1,1
bougie ; verte,bougie ; verte,1,1,1
bougie ; de table,,1,6,31324
bougran,bougran,1,72,72
bouguette,bouguette,1,1,1
boulan,boulan,1,1,1
boulange,boulange,1,14,14
boule,boule,1,3,3
boule ; de bois,boule ; de bois,1,4,7
boule ; de buis,boule ; de buis,1,2,2
boule ; de mail,boule ; de mail,1,10,10
boule ; de sapin,boule ; de sapin,1,1,1
boule ; de terre,boule ; de terre,1,1,1
boule ; de verre,boule ; de verre,1,1,1
boule ; vulneraire,boule ; vulneraire,1,8,8
boulet ; de canon,boulet ; de canon,1,81,81
boulet ; de canon ; de 4 livres,boulet ; de canon ; de 4 livre,0,0,0
boulet ; de canon ; de 4 livres,,1,2,31324
boulet ; de fer,boulet ; de fer,1,1,1
boulette de marbre,boulette de marbre,1,5,5
boulle ; d'acier,boulle ; d'acier,1,3,3
boulle ; de bois,boule ; de bois,1,3,7
boulon ; de crin,boulon ; de crin,1,1,1
boulon ; de fil ; d'or et d'argent,boulon ; de fil ; d'or et d'argent,1,1,1
boulon ; de fil d'argent,boulon ; de fil d'argent,1,1,1
boulon ; de fil d'or,boulon ; de fil d'or,1,2,2
boulon ; de fil d'or et d'argent,boulon ; de fil d'or et d'argent,1,1,1
bouracan,bouracan,1,2,2
bouras,bourras,1,27,27
bourde,cendre ; bourde,1,94,101
bourdille,bourdille,1,56,56
bourdille ; à barrique,bourdille ; à barrique,1,2,2
bourdillon,bourillon,1,90,90
bourdillon ; à barrique,bourdillon ; à barrique,1,1,1
bourdillon ; à quart,bourdillon ; à quart,1,2,2
bourdillon ; à tierçon,bourdillon ; à tierçon,1,1,1
boure ; du Levant,bourre ; du Levant,1,4,31
bourre,bourre,1,1,1
bourre ; chiquette,bourre ; chiquette,1,2,2
bourre ; de Levant,bourre ; du Levant,1,27,31
bourre ; de Mismes,bourre ; de Mismes,1,1,1
bourre ; de Nîmes,bourre ; de Nîmes,1,2,2
bourre ; de bœuf,bourre ; de bœuf,1,102,102
bourre ; de bœuf et vache,bourre ; de bœuf et vache,0,0,0
bourre ; de chèvre,bourre ; de chèvre,1,2,2
bourre ; de coton,bourre ; de coton,1,2,2
bourre ; de drap,bourre ; de drap,1,1,1
bourre ; de fil,bourre ; de fil,1,11,11
bourre ; de laine,bourre ; de laine,1,2,2
bourre ; de soie,bourre ; de soie,1,70,70
bourre ; de vache,bourre ; de vache,1,2,2
bourre ; fil et coton,bourre ; fil et coton,0,0,0
bourre ; à bourrer,bourre ; à bourrer,1,1,1
bourre ; à bâtir,bourre ; à bâtir,1,89,89
bourre-lanisse,bourre-lanisse,1,10,10
bourrelet,"""""""""""""""""""""""""""""""""""""""""""""""""",1,1,4
bourrelet ; de velours,bourrelet ; de velours,1,1,1
bourre ; de bœuf,,1,2,31324
bourre ; de bœuf et vache,,1,1,31324
bourre ; fil et coton,,1,1,31324
bourse,bourse,1,1,1
bourse ; de Damas,bourse ; de Damas,1,1,1
bourse ; de coton,bourse ; de coton,1,3,3
bourse ; de coton et fil,bourse ; de coton et fil,1,1,1
bourse ; de cuir ; à ressort,bourse ; de cuir ; à ressort,1,1,1
bourse ; de fil,bourse ; de fil,1,1,1
bourse ; de perruque,bourse ; de perruque,1,1,1
bourse ; de soie,bourse ; de soie,1,12,12
bourse ; de taffetas,bourse ; de taffetas,1,2,2
bourse ; or et argent,bourse ; or et argent,1,1,1
bourse ; à bartier,bourse ; à bartier,1,5,5
bourse ; à butier,bourse ; à butier,1,1,1
bourse ; à cheval,bourse ; à cheval,1,9,9
bourse ; à cheveu,bourse ; à cheveu,0,0,0
bourse ; à cheveux,,1,56,31324
bourse ; à perruque,bourse ; à perruque,1,2,2
bourse ; à ressort,bourse ; à ressort,1,1,1
bourse de filoselle,bourse de filoselle,1,1,1
boussole,boussole,1,2,2
bout ; de corne,bout ; de corne,1,3,3
boutanne,boutanne,1,3,3
boutarge,boutarge,1,1,1
bouteille,bouteille,1,7,7
bouteille ; Elisées,bouteille ; Elisées,1,1,1
bouteille ; clissé,bouteille ; clissé,1,2,2
bouteille ; cristal,bouteille ; cristal,1,1,1
bouteille ; de bois,bouteille ; de bois,1,10,10
bouteille ; de composition,bouteille ; de composition,1,1,1
bouteille ; de cristal et carafe,bouteille ; de cristal et carafe,1,1,1
bouteille ; de gros verre,bouteille ; de gros verre,1,3,3
bouteille ; de grès,bouteille ; de grès,1,7,7
bouteille ; de marbre,bouteille ; de marbre,1,1,1
bouteille ; de terre,bouteille ; de terre,1,5,5
bouteille ; de verre,bouteille ; de verre,1,463,463
bouteille ; de verre ; clissée,bouteille ; de verre ; clissée,1,1,1
bouteille ; de verre ; garnie de jonc,bouteille ; de verre ; garnie de jonc,1,1,1
bouteille ; de verre ; gros,bouteille ; de verre ; gros,1,6,6
bouteille ; de verre ; lissée,bouteille ; de verre ; lissée,1,6,6
bouteille ; de verre ; vide,bouteille ; de verre vide,1,4,4
bouteille ; de verre ; clissée,,1,1,31324
bouteille ; lissée,bouteille ; lissée,1,2,2
bouteille ; vide,bouteille ; vide,1,2,2
bouton,bouton,1,5,5
bouton ; blanc ; étamé,bouton ; blanc ; étamé,1,1,1
bouton ; brodé ; de nacre ; de perle et d'acier,bouton ; brodé ; de nacre ; de perle et d'acier,1,1,1
bouton ; brodé ; or et argent,bouton ; brodé ; or et argent,1,2,2
bouton ; d'acier,bouton ; d'acier,1,2,2
bouton ; d'argent,bouton ; d'argent,1,7,7
bouton ; d'argent ; sur bois,bouton ; d'argent sur bois,1,3,4
bouton ; d'argent sur bois,bouton ; d'argent sur bois,1,1,4
bouton ; d'argent trait,bouton ; d'argent trait,1,1,1
bouton ; d'or,bouton ; d'or,1,95,95
bouton ; d'or ; faux,bouton ; d'or ; faux,1,2,2
bouton ; d'or ; fin,bouton ; d'or ; fin,0,0,0
bouton ; d'or et d'argent,bouton ; d'or et d'argent,1,76,76
bouton ; d'or traité,bouton ; d'or traité,1,3,3
bouton ; d'or ; fin,,1,3,31324
bouton ; d'os,bouton ; d'os,1,1,1
bouton ; d'os et de corne,bouton ; d'os et de corne,1,1,1
bouton ; d'uniforme,bouton ; d'uniforme,1,1,1
bouton ; d'étain,bouton ; d'étain,1,20,20
bouton ; de Pinsbach,bouton ; de Pinsbach,1,1,1
bouton ; de Pinsbeck,bouton ; de Pinsbeck,1,1,1
bouton ; de bois de coco,bouton ; de bois de coco,1,1,1
bouton ; de coco,bouton ; de coco,1,32,33
bouton ; de cocq,bouton ; de coco,1,1,33
bouton ; de corne,bouton ; de corne,1,3,3
bouton ; de coton,bouton ; de coton,1,1,1
bouton ; de crin,bouton ; de crin,1,91,91
bouton ; de crin et poil,bouton ; de crin et poil,1,1,1
"bouton ; de crin, poil de soie","bouton ; de crin, poil de soie",1,2,2
bouton ; de cristal,bouton ; de cristal,1,1,1
bouton ; de cuivre,bouton ; de cuivre,1,19,19
bouton ; de cuivre ; doré,bouton ; de cuivre ; doré,1,4,4
bouton ; de cuivre argenté et dorée,bouton ; de cuivre argenté et dorée,1,1,1
bouton ; de cuivre doré,bouton ; de cuivre doré,1,1,1
bouton ; de cuivre et d'étain,bouton ; de cuivre et d'étain,1,1,1
bouton ; de cuivre et d'étain argenté,bouton ; de cuivre et d'étain argenté,1,1,1
bouton ; de cuivre sur bois,bouton ; de cuivre sur bois,1,1,1
"bouton ; de cuivre sur bois, d'os de cocq et de corne","bouton ; de cuivre sur bois, d'os de cocq et de corne",1,1,1
bouton ; de fil,bouton ; de fil,1,63,63
bouton ; de fil ; or et argent,bouton ; de fil ; or et argent,1,1,1
bouton ; de fil blanc,bouton ; de fil blanc,1,9,9
bouton ; de fil d'argent,bouton ; de fil d'argent,1,5,5
bouton ; de fil d'or,bouton ; de fil d'or,1,11,11
bouton ; de fil d'or et d'argent,bouton ; de fil d'or et d'argent,1,12,12
bouton ; de fil de poil de chevre,bouton ; de fil de poil de chevre,1,1,1
bouton ; de fil or et argent,bouton ; de fil or et argent,1,6,6
"bouton ; de fil, or et argent","bouton ; de fil, or et argent",1,1,1
bouton ; de jais,bouton ; de jais,1,10,10
bouton ; de jayet,bouton ; de jayet,1,1,1
bouton ; de laiton,bouton ; de laiton,1,2,2
bouton ; de livrée,bouton ; de livrée,1,1,1
bouton ; de manche,bouton ; de manche,1,4,4
bouton ; de métal,bouton ; de métal,1,2,2
bouton ; de métal doré,bouton ; de métal doré,1,1,1
bouton ; de nacre,bouton ; de nacre,1,2,2
bouton ; de nacre de perle,bouton ; de nacre de perle,1,1,1
bouton ; de nacre de perle et jayet,bouton ; de nacre de perle et jayet,1,1,1
bouton ; de poil,bouton ; de poil,1,28,28
bouton ; de poil ; de chèvre,bouton ; de poil ; de chèvre,1,6,6
bouton ; de soie,bouton ; de soie,1,9,9
bouton ; de soie à poil,bouton ; de soie à poil,1,3,3
bouton ; de tombacq doré,bouton ; de tombacq doré,1,1,1
bouton ; de trait d'or et d'argent fin,bouton ; de trait d'or et d'argent fin,1,1,1
bouton ; de verre,bouton ; de verre,1,1,1
bouton ; de verre ; émaillé,bouton ; de verre ; émaillé,1,1,1
bouton ; divers,bouton ; divers,1,26,26
bouton ; dorure ; d'argent,bouton ; dorure ; d'argent,1,18,18
bouton ; dorure ; d'or et d'argent,bouton ; dorure ; d'or et d'argent,1,30,30
bouton ; dorure ; d'or faux,bouton ; dorure ; d'or faux,1,3,3
bouton ; dorure ; d'or fin,bouton ; dorure ; d'or fin,1,7,7
bouton ; fil d'or,bouton ; fil d'or,1,1,1
bouton ; masquiné,bouton ; masquiné,1,1,1
bouton ; or et argent ; faux,bouton ; or et argent ; faux,1,1,1
bouton ; à pierre ; fausse,bouton ; à pierre ; fausse,1,5,5
bouton ; à pierre ; fausse ; par douzaine,bouton ; à pierre ; fausse ; par douzaine,1,1,1
boutonnière ; d'or,boutonnière ; d'or,1,3,3
bouton ; de soie,,1,1,31324
boutty,boutty,1,1,1
boyau ; salé,boyau ; salé,1,31,31
bozemin,bozemin,1,1,1
boîte,boîte,1,10,10
boîte ; assortie,boîte ; assortie,1,1,1
boîte ; blanche,boîte ; blanche,1,3,3
boîte ; de Nuremberg,boîte ; de Nuremberg,1,1,1
boîte ; de bergamote,boîte ; de bergamote,1,22,22
boîte ; de bois,boîte ; de bois,1,56,56
boîte ; de bois ; violet,boîte ; de bois ; violet,1,1,1
boîte ; de cadrille,boîte ; de cadrille,0,0,0
boîte ; de carton,boîte ; de carton,1,2,2
boîte ; de fer ; blanc,boîte ; de fer ; blanc,0,0,0
boîte ; de fer ; blanc,,1,2,31324
boîte ; de sapin,boîte ; de sapin,1,11,11
boîte ; de sapin ; blanc,boîte ; de sapin ; blanc,0,0,0
boîte ; de sapin ; blanc,,1,1,31324
boîte ; de cadrille,,1,2,31324
boîte ; peinte,boîte ; peinte,1,1,1
boîte ; sapin,boîte ; sapin,1,1,1
boîte ; sapin ; teinte,boîte ; sapin ; teinte,1,1,1
boîte ; vernie,boîte ; vernie,0,0,0
boîte ; à cadrille,boîte ; à cadrille,0,0,0
boîte ; à sucre,boîte ; à sucre,1,1,1
boîte ; de cadrille,,1,1,31324
boîte ; vernie,,1,1,31324
boîte ; à cadrille,,1,2,31324
brai ; gras,brai ; gras,1,5,5
brai ; sec,brai ; sec,1,2,2
"brai, goudron et résine","brai, goudron et résine",1,45,45
"brai, goudron, poix et résine","brai, goudron, poix et résine",1,11,11
brancard ; de chaise,brancard ; de chaise,1,1,1
brancard ; de fer,brancard ; de fer,1,3,3
brancard ; de soie,brancard ; de soie,1,1,1
brandan,brandan,1,7,7
brandebourg,brandebourg,1,1,1
brandebourg ; d'or,brandebourg ; d'or,1,1,1
brandebourg ; de fil,brandebourg ; de fil,1,1,1
bras ; de chandelle,bras ; de chandelle,1,1,1
bras ; de cheminée,bras ; de cheminée,1,4,4
bras ; de soie,bras ; de soie,0,0,0
braserie,braserie,1,1,1
brasselet,brasselet,1,1,1
brasselet ; de crin,brasselet ; de crin,1,2,2
bras ; de soie,,1,1,31324
braule,braule,1,20,215
bray,braule,1,195,215
bray ; en poix ; résine,brai ; en poix ; résine,1,1,1
bray ; goudron,brai et goudron,1,308,315
bray ; goudron ; eau de raze,bray ; goudron ; eau de raze,1,1,1
bray ; goudron ; poix noire et blanche,bray ; goudron ; poix noire et blanche,1,1,1
bray ; goudron et eau de rose,bray ; goudron et eau de rose,1,1,1
bray ; goudron et poix,bray ; goudron et poix,1,1,1
bray ; goudron et résine,bray ; goudron et résine,1,474,474
"bray ; goudron, galipot et résine","brai ; goudron, galipot et résine",1,23,23
"bray ; goudron, poix et résine","brai ; goudron, poix et résine",1,39,39
bray ; gras,bray ;  gras,1,136,136
bray ; gros,brai ; gros,1,12,12
bray ; poix,brai ; poix,0,0,0
bray ; poix blanche et noire,brai ; poix blanche et noire,1,1,1
bray ; raze,brai ; raze,1,2,2
bray ; résine,brai ; résine,1,6,17
bray ; sec,bray ; sec,1,177,177
bray ; térébenthine,brai ; térébenthine,0,0,0
bray ; à brasser,brai ; à brasser,1,1,1
bray et eau de rose,bray et eau de rose,1,1,1
bray et goudron,brai et goudron,1,7,315
"bray, goudron, résine et poix ; résine",brai ; résine,1,11,17
bray ; goudron,,1,47,31324
bray ; gras,,1,29,31324
bray ; poix,,1,1,31324
bray ; résine,,1,1,31324
bray ; térébenthine,,1,1,31324
brebis,brebis,1,2,2
brian,brian,1,1,1
bride ; argentée,bride ; argentée,1,1,1
brigadis,brigadis,1,1,1
brignole,brignole,1,2,2
brique,brique,1,182,185
brique ; de terre,brique ; de terre,1,1,1
brique ; hollandaise en terre cuite,brique ; hollandaise en terre cuite,1,1,1
brique ; pleine,brique,1,1,185
brique cuite,brique,1,1,185
brique et briquette,brique,1,1,185
briquet,briquet,1,25,25
bris d'espar,bris d'espar,1,2,2
brocade,brocade,1,1,1
brocatelle,brocatelle,1,1,1
brocatelle ; de Venise,brocatelle ; de Venise,1,1,1
broche,broche,1,1,1
brochet,brochet,1,19,19
broderie,broderie,1,2,4
broderie ; commune,broderie ; commune,1,2,2
broderie de toute sorte,broderie,1,2,4
bronze,bronze,1,6,6
broole,broole,1,1,1
brose,brose,1,2,2
brose ; à goudron,brose ; à goudron,1,3,3
brosse ; a peindre,brosse ; a peindre,1,1,1
brosse ; à cirer,brosse ; à cirer,1,1,1
brosse ; à goudron,brosse ; à goudron,1,1,1
brosse ; à goudronner,brosse ; à goudronner,1,2,2
brosse et pinceau,brosse et pinceau,1,1,1
brosse et vergette,brosse et vergette,1,1,1
brosserie,brosserie,1,146,146
brouette,brouette,1,6,6
broule,broule,1,2,2
brousse fraiche,brousse fraiche,1,3,3
broute de chaderdoral,broute de chaderdoral,1,1,1
brun,brun,1,1,1
brun ; rouge,drogue ; pour la peinture et la teinture ; brun rouge,1,168,184
bruste ; à tisserand,bruste ; à tisserand,1,19,19
bruyère,bruyère,1,4,4
buffet,buffet,1,1,1
buffle,buffle,1,2,2
buffletin,buffletin,1,1,1
buldan,buldan,1,1,1
burail,burail,1,8,8
burat,étoffe ; de laine ; burat,1,24,28
burat ; de soie et laine,étoffe ; de soie et laine ; burat,0,0,0
burat ; de soie et laine,,1,1,31324
bure,bure,1,8,8
bure ; de sanglier,bure ; de sanglier,1,1,1
bure ; étoffe,bure ; étoffe,1,1,1
bureau,bureau,1,25,25
bureau ; de bois ; de sapin,bureau ; de bois ; de sapin,1,1,1
bureau ; de noyer,bureau ; de noyer,1,1,1
bureau ; de sapin,bureau ; de sapin,0,0,0
bureau ; garni de cuivre doré,bureau ; garni de cuivre doré,0,0,0
bureau ; verni,bureau ; verni,1,1,1
bureau de bois ; de sapin,bureau de bois ; de sapin,1,1,1
bureau ; de bois ; de sapin,,1,1,31324
bureau ; de sapin,,1,3,31324
bureau ; garni de cuivre doré,,1,1,31324
busquière ; d'argent,"""""""""""""""""""""""""""""""""""""""""""""""""",1,1,4
busquière or et argent,busquière or et argent,1,1,1
buste ; de marbre,buste ; de marbre,1,3,3
buvie,buvie,1,1,1
bâche,bâche,1,1,1
bâtiment de mer,bâtiment de mer,1,18,18
bâtiment de mer et agrè,,1,10,31324
bâtiment de mer et agrès,bâtiment de mer et agrès,0,0,0
bâtiment de mer et apparau,bâtiment de mer et apparau,0,0,0
bâtiment de mer et apparaux,,1,38,31324
bâton,bâton,1,1,4
bâton ; de Gabares,bâton ; de Gabares,1,1,1
bâton ; de Gaffes,bâton ; de Gaffes,1,1,1
bâton ; de bois,bâton ; de bois,1,1,1
bâton ; de brosse ; à goudronner,bâton ; de brosse ; à goudronner,0,0,0
bâton ; de collier,bâton ; de collier,1,3,3
