marchandises_norm_ortho,marchandises_simplifiees,source_bdc,nbr_bdc_marchandises_norm_ortho,nbr_bdc_marchandises_simplifiees
airain,airain,1,8,8
airain ; en batterie,airain ; en batterie,0,0,0
airain ; en batterie,,1,2,31324
ajami,ajami,1,65,95
ajustement,ajustement,1,34,34
ajustement ; de femme,ajustement ; de femme,1,2,2
akia,akia,1,1,1
akia ; espèce de salade,akia ; espèce de salade,0,0,0
akia ; espèce de salade,,1,1,31324
alambic,alambic,1,9,9
alambic ; de terre,alambic ; de terre,1,1,1
alana,alana,1,18,18
alatia,alatia,1,1,1
albâtre,albâtre,1,2,2
albâtre et marbre ouvré,ouvrage ; de marbre et albâtre,0,0,0
albâtre et marbre ouvré,,1,29,31324
alcanum duplicatum,alcanum duplicatum,1,1,1
alegia,alegia,1,1,1
alenne,alenne,1,1,1
aliban,alibanies,1,24,24
alkerme,alkerme,1,1,1
alleaux,alleaux,1,1,1
allumette,allumette,1,34,34
allumette ; droguée,allumette ; droguée,0,0,0
allumette ; souffrée,allumette ; souffrée,0,0,0
allumette ; soufrée,allumette ; soufrée,1,6,6
allumette ; à vin,allumette ; à vin,0,0,0
allumette ; épicée,allumette ; épicée,0,0,0
allumette ; droguée,,1,3,31324
allumette ; souffrée,,1,1,31324
allumette ; à vin,,1,5,31324
allumette ; épicée,,1,1,31324
almagro ou crayon rouge,almagro ou crayon rouge,1,1,1
almanac,almanach,1,1,2
almanac enjolivé,almanach,1,1,2
alocir,alocir,1,1,1
aloiset,aloiset,1,1,1
alose,alose,0,0,0
alose dite elft,alose dite elft,1,1,1
alose fumée,alose fumée,1,1,1
aloses,,1,1,31324
alouette,alouette,1,2,2
aloès,drogue ; médicinale ; aloès,1,95,100
aloès ; commun,aloès ; commun,0,0,0
aloès cabalin,aloès cabalin,1,2,2
aloès ; commun,,1,1,31324
alpargate,alpargate,1,7,7
alpiste,alpiste,1,9,9
alquifoux,alquifoux,1,42,42
alquifoux et mine de plomb,alquifoux et mine de plomb,1,59,59
alquifoux ou mine de plomb,drogue ; pour la peinture et la teinture ; alquifou,1,4,19
alquitra,alquitra,1,3,3
aluchiabanis,aluchiabanis,1,1,1
alun,alun,1,1070,1070
alun ; de Rome,alun ; de Rome,0,0,0
alun ; de fer,alun ; de fer,1,1,1
alun ; gâté,alun ; gâté,1,1,1
alun ; de Rome,,1,2,31324
alvés,alvés,1,1,1
amadou,amadou,1,109,109
amadou et agaric,amadou et agaric,1,23,23
amande,amande,1,490,490
amande ; amère,amande ; amère,1,1,1
amande ; cassée,amande ; cassée,1,102,108
amande ; courte,amande ; courte,1,1,1
amande ; douce,amande ; douce,1,3,3
amande ; en coque,amande ; en coque,1,98,108
amande ; longue,amande ; longue,1,1,1
amande et pruneau,amande et pruneau,1,2,2
amande et raisin sec,amande et raisin sec,1,1,1
amande et savon,amande et savon,1,2,2
amande et vert-de-gri,,1,1,31324
amande et vert-de-gris,amande et vert-de-gris,0,0,0
"amande, raison sec et savon","amande, raison sec et savon",1,1,1
amaril,amaril,1,1,1
ambrain a grande barique,ambrain a grande barique,1,1,1
ambre,ambre,1,32,32
ambre ; brut,ambre ; brut,1,1,1
ambre ; gris,ambre ; gris,1,11,11
ambre ; jaune,ambre ; jaune,1,26,26
ambre ; jaune ; travaillé,ouvrage ; d'ambre ; jaune,1,1,1
ambre ; karabé,ambre ; karabé,1,9,9
ambre ; moulu,ambre ; moulu,1,2,2
amer,amer,1,3,3
amertis,amertis,1,1,1
ami de toillé,ami de toillé,1,1,1
amidon,amidon,1,585,585
amidon et poudre à poudrer,amidon et poudre à poudrer,1,1,1
ammoniac,ammoniac,1,1,1
ammonium,ammonium,1,1,1
amomum,amomum,1,6,6
amomum verum,amomum verum,1,2,2
anacarde,anacarde,0,0,0
anacardes,,1,1,31324
ananas,ananas,1,32,32
ananas ; confit,ananas ; confit,1,1,1
ananas ; confit,,1,1,31324
anatose,anatose,1,1,1
anchois,anchois,1,331,331
anchois ; salé et mariné,anchois ; salé et mariné,1,2,2
ancre,ouvrage ; ancre,1,2,2
ancre ; de fer,ouvrage ; de fer ; ancre,1,94,213
ancre ; de fer ; à chaudron,ancre ; de fer ; à chaudron,1,1,1
ancre ; gravelée,ancre ; gravelée,1,1,1
ancre ; vide,ancre ; vide,1,1,1
andes,andes,1,1,1
andolium ou crockvisch,andolium ou crockvisch,1,2,2
andouille,andouille,1,18,18
andouillette,andouillette,1,1,1
ane et anesse,ane et anesse,1,1,1
anguille,anguille,1,20,20
anguille ; salée,anguille ; salée,1,3,3
angélique,angélique,1,18,18
angélique ; du Rozème,angélique ; du Rozème,1,1,1
animal ; domestique,animal ; domestique,1,1,1
anis,anis,1,217,217
anis ; vert,anis ; vert,0,0,0
anis ; étoilé,anis ; étoilé,0,0,0
anis et sucre,anis et sucre,1,1,2
anisette,anisette,1,42,42
anisette ; de Bordeaux,anisette ; de Bordeaux,0,0,0
anisette ; de Bordeaux,,1,2,31324
anis ; vert,,1,18,31324
anis ; étoilé,,1,8,31324
anneau ; de fer,anneau ; de fer,1,1,1
anse ; de tonneau,anse ; de tonneau,1,2,2
anspects,anspects,1,87,87
antimoine,antimoine,1,119,119
antimoine ; crû,antimoine ; crû,0,0,0
antimoine ; crû,,1,1,31324
antofle,antofle,1,1,1
antofle ; de girofle,antofle ; de girofle,1,9,9
apiers,apiers,1,2,2
apios,apios,1,4,4
approvisionnement,approvisionnement,1,1,1
apretée pour parchemin,apretée pour parchemin,1,1,1
apretée à telier les livre,,1,1,31324
apretée à telier les livres,apretée à telier les livre,0,0,0
arack,arack,1,1,1
aracq,aracq,1,6,6
arbaletrie et carte marine,arbaletrie et carte marine,1,1,1
arbalette,arbalète,1,1,1
arbre,arbre,1,35,35
arbre ; chêne,arbre ; chêne,1,1,1
arbre ; de sapin,arbre ; de sapin,1,1,1
arbre ; en plant ; de bois,arbre ; en plant ; de bois,1,2,2
arbre ; en plant ; de bois ; d'auban,arbre ; en plant ; de bois ; d'auban,1,1,1
arbre ; sauvage,arbre ; sauvage,1,1,1
arbre ; tilleul,arbre ; tilleul,1,3,3
arbre ; à fruit,arbre ; à fruit,1,22,22
arbre ; à planter,arbre ; à planter,1,114,114
arbre ; à transformer en pompe,arbre ; à transformer en Pompe,1,1,1
arbre ; à fruit,,1,1,31324
arbrisseau,arbrisseau,1,5,5
arcanson,arcanson,1,2,2
archet de violon,archet de violon,1,1,1
archiabanis,archiabanis,1,1,1
ardoise,ardoise,1,243,243
ardoise ; dite cherubin et à mortier,ardoise ; dite chérubin et à mortier,1,1,1
ardoise ; dite grande voisine,ardoise ; dite grande voisine,1,1,1
ardoise ; dite moyenne voisine,ardoise ; dite moyenne voisine,1,1,1
ardoise ; dite petitte voisine,ardoise ; dite petite voisine,1,1,1
"ardoise ; dite voisine, grande, moyenne et petite","ardoise ; dite voisine, grande, moyenne et petite",1,1,1
ardoise ; en livret,ardoise ; en livret,1,1,1
ardoise ; encadrée,ardoise ; encadrée,1,1,1
ardoise ; encadrée et en livret,ardoise ; encadrée et en livret,1,1,1
ardoise ; non travaillée,ardoise ; non travaillée,1,1,1
ardoise ; ordinaire,ardoise ; ordinaire,1,1,1
ardoise ; verte,ardoise ; verte,1,1,1
argent ; battu,argent ; battu,1,1,1
argent ; brulé,argent ; brûlé,1,1,1
argent ; brut,argent ; brut,1,1,1
argent ; carragoux,argent ; carragoux,1,2,2
argent ; divers,argent ; divers,1,5,5
argent ; en barre,argent ; en barre,1,1,1
argent ; en couvert,argent ; en couvert,1,1,1
argent ; en feuille,argent ; en feuille,1,1,1
argent ; en lame,argent ; en lame,0,0,0
argent ; en lingot,argent ; en lingot,1,11,11
argent ; en matière,argent ; en matière,0,0,0
argent ; faux,argent ; faux,1,10,10
argent ; fin,argent ; fin,1,1,1
argent ; monnayé,monnaie ; argent,1,10,10
argent ; or ; quadruple,argent ; or ; quadruple,1,3,3
argent ; or ; sequin,monnaie ; sequin,1,11,13
argent ; ouvré,argent ; ouvré,0,0,0
argent ; piastre,monnaie ; argent ; piastre,1,7,7
argent ; piastre d'Espagne,monnaie ; argent ; piastres; d'Espagne,1,6,6
argent ; piastre du grand seigneur,monnaie ; argent ; piastre ; du grand seigneur,1,2,2
argent ; talari,argent ; talari,1,4,4
argent ; vif,argent ; vif,1,331,331
argent en baril,argent en baril,1,1,1
argent et or ; billon,argent et or ; billon,1,1,1
argenterie,argenterie,1,491,491
argenterie ; bague,argenterie ; bague,1,1,1
argenterie ; boucle,argenterie ; boucle,1,3,3
argenterie ; croix,argenterie ; croix,1,3,3
