pays,pays_corriges,pays_regroupes
"","",""
"**","",""
"***","",""
"?","",""
"??","",""
"???","",""
"Allemagne","Allemagne","Allemagne"
"Allemagne, Lorraine et Païs de Liege","Allemagne","Allemagne"
"Allemagne, Lorraine et le Païs","Allemagne","Allemagne"
"Allemagne-Pologne","Allemagne-Pologne","Allemagne"
"Allemange","Allemagne","Allemagne"
"Alllemagne","Allemagne","Allemagne"
"Allmagne-Pologne","Allemagne-Pologne","Allemagne"
"Amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Amériques","États-Unis d'Amérique","États-Unis d'Amérique"
"Angleterr","Angleterre","Angleterre"
"Angleterre","Angleterre","Angleterre"
"Anlgeterre","Angleterre","Angleterre"
"Barbarie","Barbarie","Levant"
"Colonies Françaises","Colonies françaises","Colonies"
"Colonies francaises en Amérique,Asie et afrique","Colonies françaises","Colonies"
"Colonies francaises en Asie,Afrique en Amérique","Colonies","Colonies"
"Colonies françaises","Colonies françaises","Colonies"
"Danemark","Danemark","Nord"
"Dannemark","Danemark","Nord"
"Denmark","Danemark","Nord"
"Empereur","Flandre","Flandre"
"Empire Ottoman et Barbarie","Levant","Levant"
"Empire d'Autriche","Autriche","Autriche"
"Empire d'autriche","Autriche","Autriche"
"Empire de Russie","Russie","Nord"
"Empire de Sardaigne","Sardaigne","Italie"
"Empire de Suisse","Suisse","Suisse"
"Empire de sardaigne","Sardaigne","Italie"
"Empire ottoman et Barbarie","Levant","Levant"
"Empire ottoman et babbarie","Levant","Levant"
"Empire ottoman et barbarie","Levant","Levant"
"Empire ottoman et toscane","Levant","Levant"
"Empoire d'Autriche","Autriche","Flandre"
"Empreur","Flandre","Flandre"
"Espage","Espagne","Espagne"
"Espagne","Espagne","Espagne"
"Espagne, Canaries et Indes Occidentales","Espagne","Espagne"
"Espagne, Canaries et Indes Occidentalles","Espagne","Espagne"
"Espagne-Portugal","Espagne-Portugal","Espagne"
"Etat Ecclesiastiques","États ecclésiastiques","Italie"
"Etat Eclesiastiques","États ecclésiastiques","Italie"
"Etat Unis d'Amèrique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etat Unis de l'Amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etat de l'amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etat de l'empreur","Flandre","Flandre"
"Etat ecclesiastiques","États ecclésiastiques","Italie"
"Etat unis d'Amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etat unis de l'amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etat***","États ecclésiastiques","Italie"
"Etats Eclesiastiques","États ecclésiastiques","Italie"
"Etats d'Allemagne","Allemagne","Allemagne"
"Etats de Naples","Naples","Italie"
"Etats de Rome","États ecclésiastiques","Italie"
"Etats de l'Allemagne","Allemagne","Allemagne"
"Etats de rome","États ecclésiastiques","Italie"
"Etats ecclésiastiques","États ecclésiastiques","Italie"
"Etats eclesiastiques","États ecclésiastiques","Italie"
"Etats unis","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats unis d'Amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats unis d'amériques","États-Unis d'Amérique","États-Unis d'Amérique"
