marchandises,marchandises_normalisees_orthogr,source_bdc,nbr_bdc_marchandises,nbr_bdc_marchandises_normalisees
,,1,2228,5761
.,???,0,0,0
...caille de Tortue,écaille ; de tortue,1,6,203
...copes,écope,1,1,17
...gouttoir à Fondre,égouttoir ; à fondre,1,1,1
...pars,épar,1,6,10
...pars de Sapin,épar ; de sapin,1,1,11
...parts,épart,1,1,174
...pice,épicerie,1,1,391
...pice Douce,épicerie ; douce,1,1,1
...pice de Curons,epice de curon,1,1,3
...tain,étain,1,2,325
...tain Ouvre,ouvrage ; d'étain,1,3,365
...tain en bloc,étain ; en bloc,1,2,248
...tain vieux,étain ; vieux,1,2,56
...tains vieux,étain ; vieux,1,1,56
...tamine,étamine,1,1,4
...toupe,étoupe,1,2,65
"//////Betes de somme, principalement en mules et mulets",bête de somme ; mule et mulet,1,5,22
"//////Betes,principalement en mules et mulets",bête de somme ; mule et mulet,1,6,22
//////Passementerie,passementerie,1,1,187
///Articles réunis///D'une valeur moindre de 2000 fr chacun,divers ; d'une valeur moindre de 2000 francs chacun,1,63,1853
///Articles réunis///D'une valeur moindre de 2000 francs chacun,divers ; d'une valeur moindre de 2000 francs chacun,1,42,1853
///Betes de somme///Anes,bête de somme ; âne,1,1,111
///Betes de somme///Chevaux,bête de somme ; cheval,1,8,550
///Betes de somme///Cheveaux,bête de somme ; cheval,1,7,550
///Betes de somme///Mulets,bête de somme ; mulet,1,3,4
///Bêtes de Somme///Anes,bête de somme ; âne,1,1,111
///Bêtes de Somme///Chevaux,bête de somme ; cheval,1,6,550
"///Bêtes de Somme///Mules, mulets et chevaux","bête de somme ; mule, mulet et cheval",1,4,4
///Bêtes de Somme///Mulets,bête de somme ; mulet,1,1,4
///Drogues Diverses///Drogues réunies,drogue ; drogue réunie ; diverse,1,17,109
///Drogues Diverses///Gommes diverses,drogue ; gomme ; diverse,1,12,621
///Drogues Diverses///Sels chimiques,drogue ; chimique ; sel divers,1,6,17
///Drogues Médicinales///Drogues médicinales réunies,drogue ; médicinale ; réunie,1,17,44
///Drogues Médicinales///Drogues réunies,drogue ; médicinale ; réunie,1,16,44
///Drogues Médicinales///Ipécacuanha,drogue ; médicinale ; ipécacuana,1,4,142
///Drogues Médicinales///Jus de réglisse,drogue ; médicinale ; jus de réglisse,1,5,453
///Drogues Médicinales///Manne,drogue ; médicinale ; manne,1,4,52
///Drogues Médicinales///Quinquina,drogue ; médicinale ; quinquina,1,6,562
///Drogues Médicinales///Safran,drogue ; médicinale ; safran,1,5,1100
///Drogues Médicinales///Salsepareille,drogue ; médicinale ; salsepareille,1,2,15
///Drogues Médicinales///Séné,drogue ; médicinale ; séné,1,4,373
///Drogues diverses///Drogues diverses réunies,drogue ; drogue réunie ; diverse,1,45,109
///Drogues diverses///Drogues réunies,drogue ; drogue réunie ; diverse,1,16,109
///Drogues diverses///Gommes diverses,drogue ; gomme ; diverse,1,43,621
///Drogues diverses///Huile et essence de Térébenthine,drogue ; huile et essence de térébenthine ; diverse,1,6,109
///Drogues diverses///Huile et essence de térébenthine,drogue ; huile et essence de térébenthine ; diverse,1,18,109
///Drogues diverses///Sels chimiques,drogue ; chimique ; sel divers,1,9,17
///Drogues midicinales///Drogues réunies,drogue ; médicinale ; réunie,1,11,44
///Drogues midicinales///Ipécacuanha,drogue ; médicinale ; ipécacuana,1,1,142
///Drogues midicinales///Jus de réglisse,drogue ; médicinale ; jus de réglisse,1,3,453
///Drogues midicinales///Manne,drogue ; médicinale ; manne,1,3,52
///Drogues midicinales///Quinquina,drogue ; médicinale ; quinquina,1,2,562
///Drogues midicinales///Safran,drogue ; médicinale ; safran,1,2,1100
///Drogues midicinales///Salsepareille,drogue ; médicinale ; salsepareille,1,2,15
///Drogues midicinales///Sené,drogue ; médicinale ; séné,1,4,373
///Drogues médicinales///Drogues médicinales réunies,drogue ; médicinale ; diverse,1,29,116
///Drogues médicinales///Drogues réunies,drogue ; médicinale ; diverse,1,12,116
///Drogues médicinales///Ipécacuanha,drogue ; médicinale ; ipécacuana,1,1,142
///Drogues médicinales///Jus de réglisse,drogue ; médicinale ; jus de réglisse,1,5,453
///Drogues médicinales///Manne,drogue ; médicinale ; manne,1,3,52
///Drogues médicinales///Quinquina,drogue ; médicinale ; quinquina,1,10,562
///Drogues médicinales///Safran,drogue ; médicinale ; safran,1,16,1100
///Drogues médicinales///Salsepareille,drogue ; médicinale ; salsepareille,1,2,15
///Drogues médicinales///Séné,drogue ; médicinale ; séné,1,3,373
///Industrie Etrangère///Articles réunis,industrie étrangère ; article ; réuni,1,18,18
///Industrie Etrangère///Bouchons de liège,bouchon ; de liège,1,1,541
///Industrie Etrangère///Colles de toute sorte,colle ; de toute sorte,1,4,66
///Industrie Etrangère///Faience et poterie,faïence et poterie,1,2,26
///Industrie Etrangère///Habillement et lingerie,habillement et lingerie,1,5,588
///Industrie Etrangère///Horlogeries,horlogerie,1,3,718
///Industrie Etrangère///Librairie,librairie,1,6,1462
///Industrie Etrangère///Marbres,marbre,1,3,126
///Industrie Etrangère///Merceries,mercerie,1,8,1899
///Industrie Etrangère///Meubles et miroirs,meuble et miroir,1,4,60
///Industrie Etrangère///Ouvrages de jonc,ouvrage ; de jonc,1,3,103
///Industrie Etrangère///Ouvrages divers,ouvrage ; divers,1,11,433
///Industrie Etrangère///Peaux et pelleteries,peau et pelleterie,1,17,113
///Industrie Etrangère///Plumes d'autruche,plume ; d'autruche,1,2,8
///Industrie Etrangère///Plumes de toute sorte,plume ; de toute sorte,1,3,23
///Industrie Etrangère///Plumes à écrire,plume ; à écrire,1,4,176
///Industrie Etrangère///Quincailleries diverses,quincaillerie ; diverse,1,9,356
///Industrie Etrangère///Savons,savon,1,3,928
///Industrie Etrangère///Voitures,voiture,1,1,123
///Industrie Générale///Articles d'industrie réunis,article ; d'industrie ; réuni,1,21,296
///Industrie Générale///Bijouterie,bijouterie,1,6,665
///Industrie Générale///Bougie,bougie,1,1,469
///Industrie Générale///Cauris,cauri,1,1,153
///Industrie Générale///Chandelles,chandelle,1,1,130
///Industrie Générale///Cordages,cordage,1,1,315
///Industrie Générale///Dorures fines,dorure ; fine,1,6,510
///Industrie Générale///Esprit de vin,esprit ; de vin,1,3,113
///Industrie Générale///Faience et poterie,faïence et poterie,1,5,26
///Industrie Générale///Gants de peau,gant ; de peau,1,8,289
///Industrie Générale///Habillements et lingeries,habillement et lingerie,1,7,588
///Industrie Générale///Horlogerie,horlogerie,1,6,718
///Industrie Générale///Jeux de voiles,jeu ; de voile,1,1,38
///Industrie Générale///Librairie,librairie,1,14,1462
///Industrie Générale///Marchandises des indes,marchandise ; des Indes,1,1,6
///Industrie Générale///Merceries,mercerie,1,17,1899
///Industrie Générale///Meubles et glaces,meuble et miroir,1,10,60
///Industrie Générale///Ouvrages de cruivre doré et argenté,ouvrage ; de cuivre ; doré et argenté,1,4,626
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie,ouvrage ; de cuir ; en cordonnerie et sellerie,1,2,200
///Industrie Générale///Ouvrages de modes et fleurs artificielles,ouvrage ; de mode ; en fleur artificielle,1,8,411
///Industrie Générale///Ouvrages divers en bois et futailles vuides,ouvrage ; divers ; en bois et futaille vide,1,5,5
///Industrie Générale///Ouvrages en terre cuite,ouvrage ; de terre cuite,1,1,33
///Industrie Générale///Papiers pour tenture,papier ; à tenture,1,8,29
///Industrie Générale///Papiers à écrire,papier ; à écrire,1,15,411
///Industrie Générale///Parasols,parasol,1,1,128
///Industrie Générale///Parfumerie,parfumerie,1,15,678
///Industrie Générale///Passementerie,passementerie,1,2,187
///Industrie Générale///Peaux et pelleteries,peau et pelleterie,1,12,42
///Industrie Générale///Porcelaine,porcelaine,1,7,849
///Industrie Générale///Poudre à tirer,poudre ; à tirer,1,2,191
///Industrie Générale///Quincaillerie,quincaillerie,1,14,356
///Industrie Générale///Savons,savon,1,14,928
///Industrie Générale///Tableaux et Estampes,tableau et estampe,1,5,333
///Industrie Générale///Verrerie,verrerie,1,12,31
///Industrie générale///Armes,arme,1,2,156
///Industrie générale///Articles d'industrie réunis,article ; d'industrie ; réuni,1,35,296
///Industrie générale///Bijouterie,bijouterie,1,24,665
///Industrie générale///Bougie,bougie,1,1,469
