marchandises	marchandises_norm_ortho		source_bdc	nbr_bdc_marchandises	nbr_bdc_marchandises_norm_ortho
0	???		0	0	0
?	???		1	2	19
? ; blanc	??? blanc		1	2	19
? ; brun	??? brun		1	2	19
? ; diverses	??? diverses		1	4	19
? et lances/piquets	??? et lancespiquets		0	0	0
??	???		0	0	0
?? (le douzaine)	??? la douzaine		0	0	0
???	???		0	0	0
.	???		0	0	0
...caille de Tortue	écaille de tortue		1	6	203
...copes	écope		1	1	1
...corces de citron	écorce de citron		0	0	0
...gouttoir à Fondre	égouttoirs à fondre		1	1	1
…Licanes	licanias		1	1	1
...pars	espars		1	6	30
...pars de Sapin	espars de sapin		1	1	11
...parts	espars		1	1	120
...pée	épée		0	0	0
...pées	épée		0	0	0
...pées d’argent	épée d’argent		0	0	0
...pées pour combat	épée pour combat		0	0	0
...perons	éperons		0	0	0
...pice	épice		1	1	372
...pice de Curons	épice de Curons		1	1	1
...pice Douce	épice douce		1	1	4
...pices	épice		0	0	0
...pingles	épingles		0	0	0
...pitaphe	épitaphe		0	0	0
...quipement de navire	équipement de navire		0	0	0
...tain	étain		1	2	324
...tain en bloc	étain en bloc		1	2	248
...tain Ouvre	étain ouvré		1	3	31
...tain vieux	étain vieux		1	2	56
...tains vieux	étain vieux		1	1	56
...tamine	étamine		1	1	4
...toffes	étoffe		0	0	0
...toffes tissées	étoffe tissée		0	0	0
...toupe	étoupes		1	2	65
...toupe de lin	étoupes de lin		0	0	0
//////Betes de somme, principalement en mules et mulets	bêtes de somme principalement en mules et mulets		1	5	22
//////Betes,principalement en mules et mulets	bêtes principalement en mules et mulets		1	6	22
//////Passementerie	passementerie		1	1	9
///Articles réunis///D'une valeur moindre de 2000 fr chacun	articles réunis d'une valeur moindre de deux mille francs chacun		1	63	578
///Articles réunis///D'une valeur moindre de 2000 francs chacun	articles réunis d'une valeur moindre de deux mille francs chacun		1	42	578
///Betes de somme///Anes	bêtes de somme ânes		1	1	10
///Bêtes de Somme///Anes	bêtes de somme ânes		1	1	10
///Betes de somme///Chevaux	bêtes de somme chevaux		1	8	536
///Bêtes de Somme///Chevaux	bêtes de somme chevaux		1	6	536
///Betes de somme///Cheveaux	bêtes de somme chevaux		1	7	536
///Bêtes de Somme///Mules, mulets et chevaux	bêtes de somme mules mulets et chevaux		1	4	4
///Betes de somme///Mulets	bêtes de somme mulets		1	3	4
///Bêtes de Somme///Mulets	bêtes de somme mulets		1	1	4
///Drogues diverses///Drogues diverses réunies	drogues diverses drogues diverses réunies		1	45	78
///Drogues Diverses///Drogues réunies	drogues diverses drogues réunies		1	17	78
///Drogues diverses///Drogues réunies	drogues diverses drogues réunies		1	16	78
///Drogues Diverses///Gommes diverses	drogues diverses gommes diverses		1	12	56
///Drogues diverses///Gommes diverses	drogues diverses gomme diverse		1	43	56
///Drogues diverses///Huile et essence de Térébenthine	drogues diverses huile et essence de térébenthine		1	6	24
///Drogues diverses///Huile et essence de térébenthine	drogues diverses huile et essence de térébenthine		1	18	24
///Drogues Diverses///Sels chimiques	drogues diverses sel chimique		1	6	17
///Drogues diverses///Sels chimiques	drogues diverses sel chimique		1	9	17
///Drogues Médicinales///Drogues médicinales réunies	drogues médicinales drogues médicinales réunies		1	17	259
///Drogues médicinales///Drogues médicinales réunies	drogues médicinales drogues médicinales réunies		1	29	114
///Drogues Médicinales///Drogues réunies	drogues médicinales drogues réunies		1	16	259
///Drogues médicinales///Drogues réunies	drogues médicinales drogues réunies		1	12	114
///Drogues Médicinales///Ipécacuanha	drogues médicinales ipécacuanha		1	4	13
///Drogues médicinales///Ipécacuanha	drogues médicinales ipécacuanha		1	1	13
///Drogues Médicinales///Jus de réglisse	drogues médicinales jus de réglisse		1	5	42
///Drogues médicinales///Jus de réglisse	drogues médicinales jus de réglisse		1	5	42
///Drogues Médicinales///Manne	drogues médicinales manne		1	4	36
///Drogues médicinales///Manne	drogues médicinales manne		1	3	36
///Drogues Médicinales///Quinquina	drogues médicinales quinquina		1	6	39
