marchandises,marchandises_normalisees_inter,marchandises_normalisees,product_prix,dutchtranslation,englishproduct,unit,alternativenames,source_rg_1774,source_rgbase,source_france,source_sound,source_hambourg,v14,v15,remarques,nbr_lignes_fr,nbr_lignes_hambourg,blok,source_bdc,nbr_bdc_marchandises,nbr_bdc_marchandises_normalisees
,???,???,,,,,,,,1,,,,,,2205,,1,1,2228,2318
.,???,???,,,,,,,,,,,,,,,,1,0,0,0
...caille de Tortue,Écaille ; de tortue,Écaille ; de tortue,,,,,,,,,,,,,,,,1,1,6,186
...copes,Ecopes,Ecopes,,,,,,,,,,,,,,,,1,1,1,14
...gouttoir à Fondre,Égouttoirs ; à fondre,Égouttoirs ; à fondre,,,,,,,,,,,,,,,,1,1,1,1
...pars,Épars,Épars,,,,,,,,,,,,,,,,1,1,6,9
...pars de Sapin,Épars ; de Sapin,Épars ; de Sapin,,,,,,,,,,,,,,,,1,1,1,11
...parts,Éparts,Éparts,,,,,,,,,,,,,,,,1,1,1,174
...pice,Épicerie,Épicerie,,,,,,,,,,,,,,,,1,1,1,388
...pice Douce,Épicerie ; douce,Épicerie ; douce,,,,,,,,,,,,,,,,1,1,1,1
...pice de Curons,Epice de curons,Epice de curons,,,,,,,,,,,,,,,,1,1,1,3
...tain,Étain,Étain,,,,,,,,,,,,,,,,1,1,2,324
...tain Ouvre,Ouvrage ; d'étain,Ouvrage ; d'étain,,,,,,,,,,,,,,,,1,1,3,343
...tain en bloc,Étain ; en bloc,Étain ; en bloc,,,,,,,,,,,,,,,,1,1,2,237
...tain vieux,Étain ; vieux,Étain ; vieux,,,,,,,,,,,,,,,,1,1,2,56
...tains vieux,Étain ; vieux,Étain ; vieux,,,,,,,,,,,,,,,,1,1,1,56
...tamine,Étamine,Étamine,,,,,,,,,,,,,,,,1,1,1,2
...toupe,Étoupe,Étoupe,,,,,,,,,,,,,,,,1,1,2,63
"//////Betes de somme, principalement en mules et mulets",Bêtes de somme ; mules et mulets,Bêtes de somme ; mules et mulets,,,,,,0,0,1,,,,,,5,,1,1,5,22
"//////Betes,principalement en mules et mulets",Bêtes de somme ; mules et mulets,Bêtes de somme ; mules et mulets,,,,,,0,0,1,,,,,,6,,1,1,6,22
//////Passementerie,Passementerie,Passementerie,,,,,,0,0,1,,,,,,1,,1,1,1,187
///Articles réunis///D'une valeur moindre de 2000 fr chacun,Divers ; d'une valeur moindre de 2000 francs chacun,Marchandises,,,,,,0,0,1,,,,,,63,,1,1,63,1757
///Articles réunis///D'une valeur moindre de 2000 francs chacun,Divers ; d'une valeur moindre de 2000 francs chacun,Marchandises,,,,,,0,0,1,,,,,,42,,1,1,42,1757
///Betes de somme///Anes,Bêtes de somme ; ânes,Bêtes de somme ; ânes,,,,,,0,0,1,,,,,,1,,1,1,1,111
///Betes de somme///Chevaux,Bêtes de somme ; chevaux,Bêtes de somme ; chevaux,,,,,,0,0,1,,,,,,8,,1,1,8,541
///Betes de somme///Cheveaux,Bêtes de somme ; chevaux,Bêtes de somme ; chevaux,,,,,,0,0,1,,,,,,7,,1,1,7,541
///Betes de somme///Mulets,Bêtes de somme ; mulets,Bêtes de somme ; mulets,,,,,,0,0,1,,,,,,3,,1,1,3,4
///Bêtes de Somme///Anes,Bêtes de somme ; ânes,Bêtes de somme ; ânes,,,,,,0,0,1,,,,,,1,,1,1,1,111
///Bêtes de Somme///Chevaux,Bêtes de somme ; chevaux,Bêtes de somme ; chevaux,,,,,,0,0,1,,,,,,6,,1,1,6,541
"///Bêtes de Somme///Mules, mulets et chevaux","Bêtes de somme ; mules, mulets et chevaux","Bêtes de somme ; mules, mulets et chevaux",,,,,,0,0,1,,,,,,4,,1,1,4,4
///Bêtes de Somme///Mulets,Bêtes de somme ; mulets,Bêtes de somme ; mulets,,,,,,0,0,1,,,,,,1,,1,1,1,4
///Drogues Diverses///Drogues réunies,Drogues ; Drogues réunies ; Diverses,Drogue ; Réunies ; Diverses,,,,,,0,0,1,,,,,,17,,1,1,17,109
///Drogues Diverses///Gommes diverses,Drogues ; Gommes ; Diverses,Gomme ; diverse,,,,,,0,0,1,,,,,,12,,1,1,12,621
///Drogues Diverses///Sels chimiques,Drogues ; chimiques ; Sel divers,Drogue ; chimique ; Sel divers,,,,,,0,0,1,,,,,,6,,1,1,6,17
///Drogues Médicinales///Drogues médicinales réunies,Drogues ; médicinales ; Réunies,Drogue ; médicinale ; Réunies,,,,,,0,0,1,,,,,,17,,1,1,17,44
///Drogues Médicinales///Drogues réunies,Drogues ; médicinales ; Réunies,Drogue ; médicinale ; Réunies,,,,,,0,0,1,,,,,,16,,1,1,16,44
///Drogues Médicinales///Ipécacuanha,Drogues ; médicinales ; Ipécacuana,Drogue ; médicinale ; Ipécacuana,,,,,,0,0,1,,,,,,4,,1,1,4,136
///Drogues Médicinales///Jus de réglisse,Drogues ; médicinales ; Jus de réglisse,Drogue ; médicinale ; Jus de réglisse,,,,,,0,0,1,,,,,,5,,1,1,5,453
///Drogues Médicinales///Manne,Drogues ; médicinales ; Manne,Drogue ; médicinale ; manne,,,,,,0,0,1,,,,,,4,,1,1,4,52
///Drogues Médicinales///Quinquina,Drogues ; médicinales ; Quinquina,Drogue ; médicinale ; quinquina,,,,,,0,0,1,,,,,,6,,1,1,6,548
///Drogues Médicinales///Safran,Drogues ; médicinales ; Safran,Drogue ; safran,,,,,,0,0,1,,,,,,5,,1,1,5,1089
///Drogues Médicinales///Salsepareille,Drogues ; médicinales ; Salsepareille,Drogue ; médicinale ; Salsepareille,,,,,,0,0,1,,,,,,2,,1,1,2,15
///Drogues Médicinales///Séné,Drogues ; médicinales ; Séné,Drogue ; médicinale ; séné,,,,,,0,0,1,,,,,,4,,1,1,4,371
///Drogues diverses///Drogues diverses réunies,Drogues ; Drogues réunies ; Diverses,Drogue ; Réunies ; Diverses,,,,,,0,0,1,,,,,,45,,1,1,45,109
