numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,alun,Marseille,Danemark,"12 020,00",livres,"0,2000000","2404,00","0,00",
2,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,amandes,Marseille,Danemark,"377 440,00",livres,"0,2000000","75488,00","0,00",
3,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,anchoix,Marseille,Danemark,"13 435,00",livres,"0,5000000","6717,00","-0,50",
4,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,anis,Marseille,Danemark,"610,00",livres,"0,2000000","122,00","0,00",
5,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,capres,Marseille,Danemark,"12 175,00",livres,"0,5000000","6087,00","-0,50",
6,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,citrons et oranges,Marseille,Danemark,"6 250,00",livres,"0,1000000","625,00","0,00",
7,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,coton filé,Marseille,Danemark,"1 010,00",livres,"1,2500000","1262,00","-0,50",
8,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,coton en laine,Marseille,Danemark,"4 685,00",livres,"1,0000000","4685,00","0,00",
9,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,cumin,Marseille,Danemark,"21 750,00",livres,"0,2500000","5437,00","-0,50",
10,Hasna,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1780.csv,Local,1,1780,Exports,drogueries,Marseille,Danemark,"770,00",livres,"2,0000000","1540,00","0,00",
