numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Acier,Angleterre,704,livres,"0,35",246,"-0,4","une page est illisible , complètement floue, numéro 18",1
2,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Ajamis,Angleterre,60,pièces,9,540,0,,1
3,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Amandes,Angleterre,10500,livres,"0,2",2100,0,,1
4,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Amidon,Angleterre,912,livres,"0,2",182,"-0,4",,1
5,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Bled ; froment,Angleterre,260,charges,24,6240,0,,1
6,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Caffé ; des Isles,Angleterre,7035,livres,"0,75",5350,"73,75",,1
7,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Capres,Angleterre,1000,livres,"0,3",300,0,,1
8,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Chandelle,Angleterre,10290,livres,"0,4",4116,0,,1
9,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Chanvre ; peigné,Angleterre,660,livres,"0,5",330,0,,1
10,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1769 (-).csv,Local,1769,Exports,Marseille,1,Chapeaux ; poil et laine,Angleterre,22,douzaines,60,1320,0,,1
