numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Alun,Angleterre,"750,00",livres,"0,2",150,0,,1
2,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Anchoix,Angleterre,"600,00",livres,"0,5",300,0,,1
3,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Bas ; fil de coton,Angleterre,"1 000,00",livres,5,5000,0,,1
4,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Bas ; de soye,Angleterre,"132,00",livres,40,5280,0,,1
5,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Capres,Angleterre,"1 890,00",livres,"0,75",1417,"-0,5",,1
6,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Cercles ; de bois,Angleterre,"200,00",paquets,1,200,0,,1
7,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Chandelle,Angleterre,"3 550,00",livres,"0,5",1775,0,,1
8,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Cochenille,Angleterre,"400,00",livres,18,7200,0,,1
9,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Corail ; ouvré,Angleterre,"30,00",livres,160,4800,0,,1
10,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Cotton ; en laine,Angleterre,"6 294,00",livres,1,6294,0,,1
11,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Cuirs ; de Russie,Angleterre,"400,00",livres,1,400,0,,1
12,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Cuirs ; de vache ; tannés,Angleterre,"400,00",livres,"0,5",200,0,,1
13,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Drogueries,Angleterre,"500,00",livres,2,1000,0,,1
14,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Eau de vie,Angleterre,"6 350,00",livres,"0,3",1905,0,,1
15,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Etoffe ; de soye,Angleterre,"416,00",livres,2,832,0,,1
16,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Fil ; masse,Angleterre,"748,00",livres,2,1496,0,,1
17,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,19,Gerofle,Angleterre,"54,00",livres,10,540,0,,1
18,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,20,Gingembre,Angleterre,"2 520,00",livres,"0,2",504,0,,1
19,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,20,Huile ; d'olive,Angleterre,"30 066,00",livres,"0,4",12026,"-0,4",,1
20,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,20,Liqueurs,Angleterre,"1 200,00",livres,1,1200,0,,1
21,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,20,marchandises ; melées,Angleterre,"1,00",valeur,183,183,0,,1
22,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,20,Mercerie,Angleterre,"95,00",livres,"3,5",332,"-0,5",,1
23,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,20,Millet,Angleterre,"387 000,00",livres,"0,1",38700,0,,1
24,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports - 1776.csv,Local,1776,Exports,Marseille,20,Papier ; blanc,Angleterre,"3 150,00",livres,"0,6",3465,1575,erreur,1
